Month,House Prices
2017-01,381080
2017-02,387400
2017-03,392280
2017-04,396180
2017-05,400400
2017-06,403480
2017-07,400700
2017-08,399640
2017-09,395000
2017-10,390420
2017-11,387080
2017-12,391420
2018-01,388260
2018-02,391160
2018-03,404460
2018-04,409520
2018-05,407160
2018-06,413020
2018-07,416760
2018-08,416900
2018-09,414400
2018-10,409120
2018-11,410760
2018-12,413220
2019-01,418820
2019-02,416640
2019-03,418260
2019-04,420800
2019-05,417300
2019-06,417320
2019-07,415200
2019-08,416140
2019-09,418680
2019-10,418600
2019-11,416200
2019-12,415700
2020-01,419480
2020-02,421680
2020-03,423400
2020-04,428000
2020-05,428700
2020-06,428040
2020-07,428740
2020-08,429640
2020-09,542800
2020-10,444920
2020-11,444620
2020-12,449080
2021-01,450260
2021-02,457180
2021-03,461520
2021-04,492600
2021-05,507480
2021-06,512280
2021-07,508480
2021-08,490980
2021-09,485920
2021-10,402440
2021-11,403380
2021-12,407140
2022-01,411260
2022-02,419280
2022-03,449340
2022-04,457940
2022-05,481620
2022-06,456200
2022-07,446640
2022-08,432140
