Month,Crimes
2017-01,104
2017-02,81
2017-03,127
2017-04,100
2017-05,123
2017-06,121
2017-07,138
2017-08,119
2017-09,109
2017-10,97
2017-11,113
2017-12,96
2018-01,113
2018-02,90
2018-03,108
2018-04,132
2018-05,134
2018-06,96
2018-07,110
2018-08,118
2018-09,127
2018-10,122
2018-11,113
2018-12,106
2019-01,95
2019-02,90
2019-03,92
2019-04,108
2019-05,79
2019-06,89
2019-07,127
2019-08,111
2019-09,103
2019-10,105
2019-11,109
2019-12,106
2020-01,98
2020-02,100
2020-03,89
2020-04,91
2020-05,113
2020-06,106
2020-07,113
2020-08,131
2020-09,118
2020-10,114
2020-11,89
2020-12,87
2021-01,125
2021-02,103
2021-03,138
2021-04,133
2021-05,160
2021-06,119
2021-07,112
2021-08,119
2021-09,150
2021-10,139
2021-11,141
2021-12,108
2022-01,117
2022-02,97
2022-03,131
2022-04,142
2022-05,113
2022-06,110
2022-07,128
2022-08,140
