Month,House Prices
2017-01,223988
2017-02,225122
2017-03,229033
2017-04,241655
2017-05,244555
2017-06,248733
2017-07,250155
2017-08,252722
2017-09,254688
2017-10,255833
2017-11,254577
2017-12,260644
2018-01,261566
2018-02,265566
2018-03,270355
2018-04,271988
2018-05,272911
2018-06,273544
2018-07,277288
2018-08,279277
2018-09,281044
2018-10,281733
2018-11,282322
2018-12,284133
2019-01,285133
2019-02,284544
2019-03,283088
2019-04,286566
2019-05,286111
2019-06,285066
2019-07,287466
2019-08,287544
2019-09,287088
2019-10,288788
2019-11,291933
2019-12,293455
2020-01,294388
2020-02,296022
2020-03,297211
2020-04,294644
2020-05,295255
2020-06,298700
2020-07,301355
2020-08,306077
2020-09,306333
2020-10,312933
2020-11,320055
2020-12,323588
2021-01,327055
2021-02,331922
2021-03,340933
2021-04,362444
2021-05,354877
2021-06,348388
2021-07,358355
2021-08,351911
2021-09,349622
2021-10,351100
2021-11,359366
2021-12,358677
2022-01,359866
2022-02,366033
2022-03,393955
2022-04,410033
2022-05,422355
2022-06,421444
2022-07,409155
2022-08,397988
2022-09,389888
2022-10,381822
2022-11,371177
