,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
340,13357126,https://www.zillow.com/homedetails/1460-W-Alaska-Pl-Denver-CO-80223/13357126_zpid/,490000.0,"1460 W Alaska Place, Denver, CO 80223",1460 W Alaska Place,Denver,CO,80223,485333.0,2022.0,375300.0,379000.0,429100.0,454400.0,459700.0,451400.0,434400.0,416500.0,427400.0,488700.0,484800.0,0.0,Athmar Park
341,13357126,https://www.zillow.com/homedetails/1460-W-Alaska-Pl-Denver-CO-80223/13357126_zpid/,490000.0,"1460 W Alaska Place, Denver, CO 80223",1460 W Alaska Place,Denver,CO,80223,485333.0,2021.0,374600.0,383900.0,390400.0,416600.0,434000.0,409500.0,396400.0,381100.0,376700.0,377300.0,373700.0,372200.0,Athmar Park
342,13357126,https://www.zillow.com/homedetails/1460-W-Alaska-Pl-Denver-CO-80223/13357126_zpid/,490000.0,"1460 W Alaska Place, Denver, CO 80223",1460 W Alaska Place,Denver,CO,80223,485333.0,2020.0,329500.0,328600.0,334200.0,342400.0,344200.0,343300.0,342300.0,341400.0,346200.0,351900.0,357600.0,361700.0,Athmar Park
343,13357126,https://www.zillow.com/homedetails/1460-W-Alaska-Pl-Denver-CO-80223/13357126_zpid/,490000.0,"1460 W Alaska Place, Denver, CO 80223",1460 W Alaska Place,Denver,CO,80223,485333.0,2019.0,319300.0,319600.0,322300.0,323500.0,324000.0,323000.0,320000.0,327900.0,323900.0,324800.0,330200.0,332600.0,Athmar Park
344,13357126,https://www.zillow.com/homedetails/1460-W-Alaska-Pl-Denver-CO-80223/13357126_zpid/,490000.0,"1460 W Alaska Place, Denver, CO 80223",1460 W Alaska Place,Denver,CO,80223,485333.0,2018.0,282400.0,279200.0,302600.0,310200.0,314400.0,315500.0,314300.0,322400.0,318800.0,321200.0,316500.0,319800.0,Athmar Park
345,13357126,https://www.zillow.com/homedetails/1460-W-Alaska-Pl-Denver-CO-80223/13357126_zpid/,490000.0,"1460 W Alaska Place, Denver, CO 80223",1460 W Alaska Place,Denver,CO,80223,485333.0,2017.0,259800.0,263500.0,266400.0,269000.0,269700.0,274100.0,275800.0,279000.0,288200.0,292900.0,293700.0,295200.0,Athmar Park
346,13357126,https://www.zillow.com/homedetails/1460-W-Alaska-Pl-Denver-CO-80223/13357126_zpid/,490000.0,"1460 W Alaska Place, Denver, CO 80223",1460 W Alaska Place,Denver,CO,80223,485333.0,2016.0,221600.0,225300.0,226700.0,229600.0,231200.0,237400.0,239600.0,232000.0,234800.0,232700.0,238800.0,267200.0,Athmar Park
347,13357126,https://www.zillow.com/homedetails/1460-W-Alaska-Pl-Denver-CO-80223/13357126_zpid/,490000.0,"1460 W Alaska Place, Denver, CO 80223",1460 W Alaska Place,Denver,CO,80223,485333.0,2015.0,191500.0,197600.0,200600.0,204100.0,199100.0,198800.0,197600.0,205400.0,212000.0,217700.0,217000.0,220800.0,Athmar Park
348,13357126,https://www.zillow.com/homedetails/1460-W-Alaska-Pl-Denver-CO-80223/13357126_zpid/,490000.0,"1460 W Alaska Place, Denver, CO 80223",1460 W Alaska Place,Denver,CO,80223,485333.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athmar Park
349,13357126,https://www.zillow.com/homedetails/1460-W-Alaska-Pl-Denver-CO-80223/13357126_zpid/,490000.0,"1460 W Alaska Place, Denver, CO 80223",1460 W Alaska Place,Denver,CO,80223,485333.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athmar Park
