,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
300,337912854,https://www.zillow.com/homedetails/475-N-Galapago-St-2-Denver-CO-80204/337912854_zpid/,599900.0,"475 N Galapago Street  Unit 2, Denver, CO 80204",475 N Galapago Street  Unit 2,Denver,CO,80204,593059.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498000.0,473800.0,592800.0,593100.0,0.0,Baker
301,337912854,https://www.zillow.com/homedetails/475-N-Galapago-St-2-Denver-CO-80204/337912854_zpid/,599900.0,"475 N Galapago Street  Unit 2, Denver, CO 80204",475 N Galapago Street  Unit 2,Denver,CO,80204,593059.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baker
302,337912854,https://www.zillow.com/homedetails/475-N-Galapago-St-2-Denver-CO-80204/337912854_zpid/,599900.0,"475 N Galapago Street  Unit 2, Denver, CO 80204",475 N Galapago Street  Unit 2,Denver,CO,80204,593059.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baker
303,337912854,https://www.zillow.com/homedetails/475-N-Galapago-St-2-Denver-CO-80204/337912854_zpid/,599900.0,"475 N Galapago Street  Unit 2, Denver, CO 80204",475 N Galapago Street  Unit 2,Denver,CO,80204,593059.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baker
304,337912854,https://www.zillow.com/homedetails/475-N-Galapago-St-2-Denver-CO-80204/337912854_zpid/,599900.0,"475 N Galapago Street  Unit 2, Denver, CO 80204",475 N Galapago Street  Unit 2,Denver,CO,80204,593059.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baker
305,337912854,https://www.zillow.com/homedetails/475-N-Galapago-St-2-Denver-CO-80204/337912854_zpid/,599900.0,"475 N Galapago Street  Unit 2, Denver, CO 80204",475 N Galapago Street  Unit 2,Denver,CO,80204,593059.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baker
306,337912854,https://www.zillow.com/homedetails/475-N-Galapago-St-2-Denver-CO-80204/337912854_zpid/,599900.0,"475 N Galapago Street  Unit 2, Denver, CO 80204",475 N Galapago Street  Unit 2,Denver,CO,80204,593059.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baker
307,337912854,https://www.zillow.com/homedetails/475-N-Galapago-St-2-Denver-CO-80204/337912854_zpid/,599900.0,"475 N Galapago Street  Unit 2, Denver, CO 80204",475 N Galapago Street  Unit 2,Denver,CO,80204,593059.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baker
308,337912854,https://www.zillow.com/homedetails/475-N-Galapago-St-2-Denver-CO-80204/337912854_zpid/,599900.0,"475 N Galapago Street  Unit 2, Denver, CO 80204",475 N Galapago Street  Unit 2,Denver,CO,80204,593059.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baker
309,337912854,https://www.zillow.com/homedetails/475-N-Galapago-St-2-Denver-CO-80204/337912854_zpid/,599900.0,"475 N Galapago Street  Unit 2, Denver, CO 80204",475 N Galapago Street  Unit 2,Denver,CO,80204,593059.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baker
2400,82591510,https://www.zillow.com/homedetails/410-Acoma-St-UNIT-414-Denver-CO-80204/82591510_zpid/,660000.0,"410 Acoma Street  Unit 414, Denver, CO 80204",410 Acoma Street  Unit 414,Denver,CO,80204,649400.0,2022.0,625600.0,634800.0,652900.0,670200.0,673800.0,665900.0,652200.0,641000.0,654400.0,649300.0,649400.0,0.0,Baker
2401,82591510,https://www.zillow.com/homedetails/410-Acoma-St-UNIT-414-Denver-CO-80204/82591510_zpid/,660000.0,"410 Acoma Street  Unit 414, Denver, CO 80204",410 Acoma Street  Unit 414,Denver,CO,80204,649400.0,2021.0,663000.0,665300.0,667100.0,679500.0,695000.0,707500.0,724700.0,725400.0,704900.0,650800.0,630000.0,619600.0,Baker
2402,82591510,https://www.zillow.com/homedetails/410-Acoma-St-UNIT-414-Denver-CO-80204/82591510_zpid/,660000.0,"410 Acoma Street  Unit 414, Denver, CO 80204",410 Acoma Street  Unit 414,Denver,CO,80204,649400.0,2020.0,630000.0,615100.0,617800.0,620300.0,620900.0,626400.0,623100.0,621700.0,627200.0,639600.0,649600.0,655400.0,Baker
2403,82591510,https://www.zillow.com/homedetails/410-Acoma-St-UNIT-414-Denver-CO-80204/82591510_zpid/,660000.0,"410 Acoma Street  Unit 414, Denver, CO 80204",410 Acoma Street  Unit 414,Denver,CO,80204,649400.0,2019.0,623200.0,621800.0,619300.0,620300.0,619000.0,621800.0,622000.0,624800.0,625800.0,621800.0,622100.0,629100.0,Baker
2404,82591510,https://www.zillow.com/homedetails/410-Acoma-St-UNIT-414-Denver-CO-80204/82591510_zpid/,660000.0,"410 Acoma Street  Unit 414, Denver, CO 80204",410 Acoma Street  Unit 414,Denver,CO,80204,649400.0,2018.0,576900.0,581300.0,590800.0,598800.0,603500.0,605300.0,608500.0,609700.0,615100.0,618000.0,620000.0,624900.0,Baker
2405,82591510,https://www.zillow.com/homedetails/410-Acoma-St-UNIT-414-Denver-CO-80204/82591510_zpid/,660000.0,"410 Acoma Street  Unit 414, Denver, CO 80204",410 Acoma Street  Unit 414,Denver,CO,80204,649400.0,2017.0,517500.0,535200.0,540800.0,546400.0,552400.0,555000.0,554700.0,553900.0,557600.0,559300.0,565100.0,569100.0,Baker
2406,82591510,https://www.zillow.com/homedetails/410-Acoma-St-UNIT-414-Denver-CO-80204/82591510_zpid/,660000.0,"410 Acoma Street  Unit 414, Denver, CO 80204",410 Acoma Street  Unit 414,Denver,CO,80204,649400.0,2016.0,522000.0,522100.0,518500.0,501100.0,489800.0,499800.0,506300.0,502400.0,516500.0,514700.00000000006,504100.0,483700.0,Baker
2407,82591510,https://www.zillow.com/homedetails/410-Acoma-St-UNIT-414-Denver-CO-80204/82591510_zpid/,660000.0,"410 Acoma Street  Unit 414, Denver, CO 80204",410 Acoma Street  Unit 414,Denver,CO,80204,649400.0,2015.0,457700.0,490000.0,488400.0,488400.0,488400.0,495500.0,502100.0,502500.0,500800.0,503700.0,505400.0,518100.0,Baker
2408,82591510,https://www.zillow.com/homedetails/410-Acoma-St-UNIT-414-Denver-CO-80204/82591510_zpid/,660000.0,"410 Acoma Street  Unit 414, Denver, CO 80204",410 Acoma Street  Unit 414,Denver,CO,80204,649400.0,2014.0,287600.0,261400.0,267200.0,266700.0,268200.0,267100.0,220700.0,190400.0,179400.0,181400.0,178500.0,190500.0,Baker
2409,82591510,https://www.zillow.com/homedetails/410-Acoma-St-UNIT-414-Denver-CO-80204/82591510_zpid/,660000.0,"410 Acoma Street  Unit 414, Denver, CO 80204",410 Acoma Street  Unit 414,Denver,CO,80204,649400.0,2013.0,273700.0,264100.0,293600.0,288000.0,251900.0,257500.0,261300.0,249900.0,242500.0,273100.0,278700.0,270000.0,Baker
3290,13344539,https://www.zillow.com/homedetails/150-W-Bayaud-Ave-Denver-CO-80223/13344539_zpid/,725000.0,"150 W Bayaud Avenue, Denver, CO 80223",150 W Bayaud Avenue,Denver,CO,80223,720734.0,2022.0,616800.0,632700.0,682600.0,706300.0,703900.0,690700.0,666600.0,639300.0,623300.0,719300.0,725000.0,0.0,Baker
3291,13344539,https://www.zillow.com/homedetails/150-W-Bayaud-Ave-Denver-CO-80223/13344539_zpid/,725000.0,"150 W Bayaud Avenue, Denver, CO 80223",150 W Bayaud Avenue,Denver,CO,80223,720734.0,2021.0,537200.0,545900.0,549100.0,578200.0,597700.0,613300.0,613600.0,599900.0,594800.0,597200.0,599200.0,607400.0,Baker
3292,13344539,https://www.zillow.com/homedetails/150-W-Bayaud-Ave-Denver-CO-80223/13344539_zpid/,725000.0,"150 W Bayaud Avenue, Denver, CO 80223",150 W Bayaud Avenue,Denver,CO,80223,720734.0,2020.0,450200.0,451500.0,451100.0,453000.0,456100.0,457600.0,462800.0,458600.0,528800.0,530900.0,526900.0,536500.0,Baker
3293,13344539,https://www.zillow.com/homedetails/150-W-Bayaud-Ave-Denver-CO-80223/13344539_zpid/,725000.0,"150 W Bayaud Avenue, Denver, CO 80223",150 W Bayaud Avenue,Denver,CO,80223,720734.0,2019.0,462000.0,459800.0,452000.0,445700.0,441400.0,438100.0,435700.0,438400.0,465400.0,463000.0,454400.0,452700.0,Baker
3294,13344539,https://www.zillow.com/homedetails/150-W-Bayaud-Ave-Denver-CO-80223/13344539_zpid/,725000.0,"150 W Bayaud Avenue, Denver, CO 80223",150 W Bayaud Avenue,Denver,CO,80223,720734.0,2018.0,401400.0,408900.0,430000.0,435300.0,435800.0,436100.0,433000.0,431500.0,435500.0,437400.0,440700.0,455600.0,Baker
3295,13344539,https://www.zillow.com/homedetails/150-W-Bayaud-Ave-Denver-CO-80223/13344539_zpid/,725000.0,"150 W Bayaud Avenue, Denver, CO 80223",150 W Bayaud Avenue,Denver,CO,80223,720734.0,2017.0,366200.0,372100.0,388600.0,394200.0,405000.0,405200.0,410800.0,416300.0,416000.0,411400.0,419900.0,435100.0,Baker
3296,13344539,https://www.zillow.com/homedetails/150-W-Bayaud-Ave-Denver-CO-80223/13344539_zpid/,725000.0,"150 W Bayaud Avenue, Denver, CO 80223",150 W Bayaud Avenue,Denver,CO,80223,720734.0,2016.0,343100.0,338300.0,341600.0,345800.0,353900.0,355100.0,357500.0,361900.0,369400.0,373800.0,366600.0,364700.0,Baker
3297,13344539,https://www.zillow.com/homedetails/150-W-Bayaud-Ave-Denver-CO-80223/13344539_zpid/,725000.0,"150 W Bayaud Avenue, Denver, CO 80223",150 W Bayaud Avenue,Denver,CO,80223,720734.0,2015.0,330000.0,332600.0,333700.0,335000.0,319900.0,325900.0,328700.0,332100.0,336000.0,337600.0,340400.0,341700.0,Baker
3298,13344539,https://www.zillow.com/homedetails/150-W-Bayaud-Ave-Denver-CO-80223/13344539_zpid/,725000.0,"150 W Bayaud Avenue, Denver, CO 80223",150 W Bayaud Avenue,Denver,CO,80223,720734.0,2014.0,303000.0,301000.0,306400.0,320400.0,332900.0,320100.0,319800.0,322700.0,317800.0,316700.0,324500.0,334400.0,Baker
