,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
330,13340466,https://www.zillow.com/homedetails/243-S-Osceola-St-Denver-CO-80219/13340466_zpid/,520000.0,"243 S Osceola Street, Denver, CO 80219",243 S Osceola Street,Denver,CO,80219,509803.0,2022.0,388500.0,398700.0,429400.0,442800.0,475700.0,462900.0,448200.0,437300.0,550100.0,520400.0,509600.0,0.0,Barnum
331,13340466,https://www.zillow.com/homedetails/243-S-Osceola-St-Denver-CO-80219/13340466_zpid/,520000.0,"243 S Osceola Street, Denver, CO 80219",243 S Osceola Street,Denver,CO,80219,509803.0,2021.0,331500.0,346200.0,351400.0,356500.0,368200.0,379700.0,380800.0,375300.0,373800.0,376000.0,377500.0,382000.0,Barnum
332,13340466,https://www.zillow.com/homedetails/243-S-Osceola-St-Denver-CO-80219/13340466_zpid/,520000.0,"243 S Osceola Street, Denver, CO 80219",243 S Osceola Street,Denver,CO,80219,509803.0,2020.0,304700.0,310200.0,313300.0,320100.0,323900.0,326200.0,331200.0,334200.0,308800.0,312200.0,318500.0,324800.0,Barnum
333,13340466,https://www.zillow.com/homedetails/243-S-Osceola-St-Denver-CO-80219/13340466_zpid/,520000.0,"243 S Osceola Street, Denver, CO 80219",243 S Osceola Street,Denver,CO,80219,509803.0,2019.0,275000.0,316200.0,308100.0,306600.0,317200.0,319300.0,314100.0,309300.0,309000.0,308000.0,304000.0,303300.0,Barnum
334,13340466,https://www.zillow.com/homedetails/243-S-Osceola-St-Denver-CO-80219/13340466_zpid/,520000.0,"243 S Osceola Street, Denver, CO 80219",243 S Osceola Street,Denver,CO,80219,509803.0,2018.0,286200.0,289100.0,295400.0,299500.0,303600.0,312500.0,315300.0,315400.0,275000.0,274600.0,275000.0,275000.0,Barnum
335,13340466,https://www.zillow.com/homedetails/243-S-Osceola-St-Denver-CO-80219/13340466_zpid/,520000.0,"243 S Osceola Street, Denver, CO 80219",243 S Osceola Street,Denver,CO,80219,509803.0,2017.0,253700.0,254200.0,252800.0,256800.0,268300.0,267800.0,284500.0,291300.0,293200.0,298500.0,300400.0,300800.0,Barnum
336,13340466,https://www.zillow.com/homedetails/243-S-Osceola-St-Denver-CO-80219/13340466_zpid/,520000.0,"243 S Osceola Street, Denver, CO 80219",243 S Osceola Street,Denver,CO,80219,509803.0,2016.0,195900.0,193600.0,201200.0,217400.0,221400.0,220600.0,224800.0,228600.0,233600.0,242700.0,242500.0,244200.0,Barnum
337,13340466,https://www.zillow.com/homedetails/243-S-Osceola-St-Denver-CO-80219/13340466_zpid/,520000.0,"243 S Osceola Street, Denver, CO 80219",243 S Osceola Street,Denver,CO,80219,509803.0,2015.0,171000.0,176000.0,186500.0,186100.0,177400.0,181200.0,187600.0,182500.0,183500.0,189500.0,187100.0,194500.0,Barnum
338,13340466,https://www.zillow.com/homedetails/243-S-Osceola-St-Denver-CO-80219/13340466_zpid/,520000.0,"243 S Osceola Street, Denver, CO 80219",243 S Osceola Street,Denver,CO,80219,509803.0,2014.0,156700.0,151300.0,155900.0,159500.0,164100.0,165200.0,164500.0,167000.0,164300.0,165500.0,175100.0,182500.0,Barnum
339,13340466,https://www.zillow.com/homedetails/243-S-Osceola-St-Denver-CO-80219/13340466_zpid/,520000.0,"243 S Osceola Street, Denver, CO 80219",243 S Osceola Street,Denver,CO,80219,509803.0,2013.0,134900.0,131400.0,144100.0,144300.0,140600.0,141000.0,146800.0,143900.0,147400.0,152400.0,150500.0,153900.0,Barnum
1100,13340835,https://www.zillow.com/homedetails/426-Knox-Ct-Denver-CO-80204/13340835_zpid/,549900.0,"426 Knox Court, Denver, CO 80204",426 Knox Court,Denver,CO,80204,542568.0,2022.0,404000.0,378800.0,373600.0,582000.0,603200.0,574700.0,551200.0,590000.0,579800.0,574100.0,541100.0,0.0,Barnum
1101,13340835,https://www.zillow.com/homedetails/426-Knox-Ct-Denver-CO-80204/13340835_zpid/,549900.0,"426 Knox Court, Denver, CO 80204",426 Knox Court,Denver,CO,80204,542568.0,2021.0,352300.0,367200.0,383800.0,414500.0,409900.0,407100.0,401700.0,390800.0,392100.0,393600.0,392600.0,397500.0,Barnum
1102,13340835,https://www.zillow.com/homedetails/426-Knox-Ct-Denver-CO-80204/13340835_zpid/,549900.0,"426 Knox Court, Denver, CO 80204",426 Knox Court,Denver,CO,80204,542568.0,2020.0,341500.0,336800.0,335200.0,335600.0,342300.0,346900.0,348400.0,350500.0,388800.0,377000.0,352200.0,371500.0,Barnum
1103,13340835,https://www.zillow.com/homedetails/426-Knox-Ct-Denver-CO-80204/13340835_zpid/,549900.0,"426 Knox Court, Denver, CO 80204",426 Knox Court,Denver,CO,80204,542568.0,2019.0,333800.0,339500.0,341500.0,337900.0,346400.0,355300.0,353500.0,344800.0,342600.0,341400.0,343600.0,344100.0,Barnum
1104,13340835,https://www.zillow.com/homedetails/426-Knox-Ct-Denver-CO-80204/13340835_zpid/,549900.0,"426 Knox Court, Denver, CO 80204",426 Knox Court,Denver,CO,80204,542568.0,2018.0,301000.0,307500.0,312900.0,324900.0,327400.0,331800.0,327700.0,326700.0,325400.0,326600.0,330700.0,333500.0,Barnum
1105,13340835,https://www.zillow.com/homedetails/426-Knox-Ct-Denver-CO-80204/13340835_zpid/,549900.0,"426 Knox Court, Denver, CO 80204",426 Knox Court,Denver,CO,80204,542568.0,2017.0,178200.0,181200.0,184500.0,184500.0,185900.0,186800.0,186300.0,186300.0,187200.0,188300.0,229100.0,279600.0,Barnum
1106,13340835,https://www.zillow.com/homedetails/426-Knox-Ct-Denver-CO-80204/13340835_zpid/,549900.0,"426 Knox Court, Denver, CO 80204",426 Knox Court,Denver,CO,80204,542568.0,2016.0,163800.0,166000.0,165700.0,167400.0,167800.0,169700.0,170400.0,171500.0,172100.0,172700.0,174500.0,175000.0,Barnum
1107,13340835,https://www.zillow.com/homedetails/426-Knox-Ct-Denver-CO-80204/13340835_zpid/,549900.0,"426 Knox Court, Denver, CO 80204",426 Knox Court,Denver,CO,80204,542568.0,2015.0,143900.0,146700.0,147800.0,148900.0,149500.0,150400.0,153400.0,155300.0,156600.0,158500.0,159900.0,161100.0,Barnum
1108,13340835,https://www.zillow.com/homedetails/426-Knox-Ct-Denver-CO-80204/13340835_zpid/,549900.0,"426 Knox Court, Denver, CO 80204",426 Knox Court,Denver,CO,80204,542568.0,2014.0,161000.0,163700.0,164200.0,167800.0,173200.0,171000.0,170800.0,157100.0,156600.0,140000.0,140800.0,142100.0,Barnum
1109,13340835,https://www.zillow.com/homedetails/426-Knox-Ct-Denver-CO-80204/13340835_zpid/,549900.0,"426 Knox Court, Denver, CO 80204",426 Knox Court,Denver,CO,80204,542568.0,2013.0,155800.0,155700.0,155600.0,161400.0,160100.0,162900.0,167100.0,163100.0,161100.0,162100.0,159200.0,162400.0,Barnum
1720,13338647,https://www.zillow.com/homedetails/216-Osceola-St-Denver-CO-80219/13338647_zpid/,425000.0,"216 Osceola Street, Denver, CO 80219",216 Osceola Street,Denver,CO,80219,416583.0,2022.0,487700.0,500100.0,527300.0,540000.0,546500.0,538800.0,514700.00000000006,475600.0,445700.0,415000.0,415400.0,0.0,Barnum
1721,13338647,https://www.zillow.com/homedetails/216-Osceola-St-Denver-CO-80219/13338647_zpid/,425000.0,"216 Osceola Street, Denver, CO 80219",216 Osceola Street,Denver,CO,80219,416583.0,2021.0,451900.0,462000.0,467200.0,491300.0,511000.0,498300.0,486000.0,471600.0,467100.0,470200.0,472600.0,476200.0,Barnum
1722,13338647,https://www.zillow.com/homedetails/216-Osceola-St-Denver-CO-80219/13338647_zpid/,425000.0,"216 Osceola Street, Denver, CO 80219",216 Osceola Street,Denver,CO,80219,416583.0,2020.0,386300.0,388700.0,391700.0,397400.0,399000.0,406600.0,410900.0,421300.0,428000.0,461600.0,435600.0,442700.0,Barnum
1723,13338647,https://www.zillow.com/homedetails/216-Osceola-St-Denver-CO-80219/13338647_zpid/,425000.0,"216 Osceola Street, Denver, CO 80219",216 Osceola Street,Denver,CO,80219,416583.0,2019.0,382800.0,381400.0,388900.0,385400.0,386400.0,391400.0,391600.0,391100.0,391700.0,387000.0,386000.0,384300.0,Barnum
1724,13338647,https://www.zillow.com/homedetails/216-Osceola-St-Denver-CO-80219/13338647_zpid/,425000.0,"216 Osceola Street, Denver, CO 80219",216 Osceola Street,Denver,CO,80219,416583.0,2018.0,347500.0,348600.0,361400.0,365600.0,376400.0,376800.0,375000.0,380300.0,380100.0,379400.0,382300.0,380400.0,Barnum
1725,13338647,https://www.zillow.com/homedetails/216-Osceola-St-Denver-CO-80219/13338647_zpid/,425000.0,"216 Osceola Street, Denver, CO 80219",216 Osceola Street,Denver,CO,80219,416583.0,2017.0,320100.0,323900.0,332500.0,323100.0,323200.0,329500.0,330900.0,332500.0,337800.0,336800.0,338100.0,348800.0,Barnum
1726,13338647,https://www.zillow.com/homedetails/216-Osceola-St-Denver-CO-80219/13338647_zpid/,425000.0,"216 Osceola Street, Denver, CO 80219",216 Osceola Street,Denver,CO,80219,416583.0,2016.0,272300.0,277800.0,283500.0,283300.0,286300.0,288400.0,293700.0,297900.0,301800.0,301400.0,306200.0,306400.0,Barnum
1727,13338647,https://www.zillow.com/homedetails/216-Osceola-St-Denver-CO-80219/13338647_zpid/,425000.0,"216 Osceola Street, Denver, CO 80219",216 Osceola Street,Denver,CO,80219,416583.0,2015.0,228100.0,222500.0,231300.0,225400.0,250300.0,248300.0,253000.0,251700.0,255400.0,261500.0,265900.0,267800.0,Barnum
1728,13338647,https://www.zillow.com/homedetails/216-Osceola-St-Denver-CO-80219/13338647_zpid/,425000.0,"216 Osceola Street, Denver, CO 80219",216 Osceola Street,Denver,CO,80219,416583.0,2014.0,161100.0,161200.0,161800.0,165100.0,170500.0,182700.0,185100.0,194100.0,196400.0,192200.0,192900.0,204800.0,Barnum
