,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1070,13339240,https://www.zillow.com/homedetails/595-Wolff-St-Denver-CO-80204/13339240_zpid/,350000.0,"595 Wolff Street, Denver, CO 80204",595 Wolff Street,Denver,CO,80204,349403.0,2022.0,360900.0,367900.0,416800.0,442700.0,455000.0,446600.0,436000.0,425400.0,400000.0,350000.0,350000.0,0.0,Barnum West
1071,13339240,https://www.zillow.com/homedetails/595-Wolff-St-Denver-CO-80204/13339240_zpid/,350000.0,"595 Wolff Street, Denver, CO 80204",595 Wolff Street,Denver,CO,80204,349403.0,2021.0,358600.0,368500.0,384600.0,401200.0,408500.0,397800.0,383700.0,368400.0,365200.0,363700.0,362800.0,361600.0,Barnum West
1072,13339240,https://www.zillow.com/homedetails/595-Wolff-St-Denver-CO-80204/13339240_zpid/,350000.0,"595 Wolff Street, Denver, CO 80204",595 Wolff Street,Denver,CO,80204,349403.0,2020.0,332100.0,335900.0,339300.0,340700.0,337100.0,337900.0,336000.0,337000.0,344300.0,350000.0,352100.0,354200.0,Barnum West
1073,13339240,https://www.zillow.com/homedetails/595-Wolff-St-Denver-CO-80204/13339240_zpid/,350000.0,"595 Wolff Street, Denver, CO 80204",595 Wolff Street,Denver,CO,80204,349403.0,2019.0,337600.0,342900.0,347700.0,343300.0,341000.0,335700.0,332900.0,316500.0,330000.0,330700.0,331800.0,332100.0,Barnum West
1074,13339240,https://www.zillow.com/homedetails/595-Wolff-St-Denver-CO-80204/13339240_zpid/,350000.0,"595 Wolff Street, Denver, CO 80204",595 Wolff Street,Denver,CO,80204,349403.0,2018.0,296900.0,297000.0,300500.0,328800.0,336300.0,343700.0,341800.0,339200.0,331300.0,340900.0,333300.0,332400.0,Barnum West
1075,13339240,https://www.zillow.com/homedetails/595-Wolff-St-Denver-CO-80204/13339240_zpid/,350000.0,"595 Wolff Street, Denver, CO 80204",595 Wolff Street,Denver,CO,80204,349403.0,2017.0,248300.0,253300.0,267900.0,270900.0,276500.0,275800.0,274300.0,292100.0,308800.0,298600.0,298100.0,302900.0,Barnum West
1076,13339240,https://www.zillow.com/homedetails/595-Wolff-St-Denver-CO-80204/13339240_zpid/,350000.0,"595 Wolff Street, Denver, CO 80204",595 Wolff Street,Denver,CO,80204,349403.0,2016.0,216800.0,220300.0,221600.0,228600.0,227300.0,233500.0,232800.0,229100.0,226200.0,238300.0,250200.0,264500.0,Barnum West
1077,13339240,https://www.zillow.com/homedetails/595-Wolff-St-Denver-CO-80204/13339240_zpid/,350000.0,"595 Wolff Street, Denver, CO 80204",595 Wolff Street,Denver,CO,80204,349403.0,2015.0,194200.0,198800.0,197600.0,207100.0,212300.0,213700.0,218200.0,212900.0,211500.0,212100.0,213700.0,217200.0,Barnum West
1078,13339240,https://www.zillow.com/homedetails/595-Wolff-St-Denver-CO-80204/13339240_zpid/,350000.0,"595 Wolff Street, Denver, CO 80204",595 Wolff Street,Denver,CO,80204,349403.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barnum West
1079,13339240,https://www.zillow.com/homedetails/595-Wolff-St-Denver-CO-80204/13339240_zpid/,350000.0,"595 Wolff Street, Denver, CO 80204",595 Wolff Street,Denver,CO,80204,349403.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barnum West
5530,13338613,https://www.zillow.com/homedetails/210-Quitman-St-Denver-CO-80219/13338613_zpid/,430000.0,"210 N Quitman Street, Denver, CO 80219",210 N Quitman Street,Denver,CO,80219,424100.0,2022.0,399700.0,412500.0,438400.0,447800.0,454300.0,448900.0,435000.0,420000.0,411500.0,424700.0,425100.0,0.0,Barnum West
5531,13338613,https://www.zillow.com/homedetails/210-Quitman-St-Denver-CO-80219/13338613_zpid/,430000.0,"210 N Quitman Street, Denver, CO 80219",210 N Quitman Street,Denver,CO,80219,424100.0,2021.0,348000.0,348900.0,358800.0,382900.0,382000.0,396300.0,398900.0,390900.0,387500.0,389600.0,391200.0,393700.0,Barnum West
5532,13338613,https://www.zillow.com/homedetails/210-Quitman-St-Denver-CO-80219/13338613_zpid/,430000.0,"210 N Quitman Street, Denver, CO 80219",210 N Quitman Street,Denver,CO,80219,424100.0,2020.0,319100.0,322600.0,326200.0,331700.0,335400.0,335700.0,334100.0,331900.0,340000.0,343100.0,340000.0,344300.0,Barnum West
5533,13338613,https://www.zillow.com/homedetails/210-Quitman-St-Denver-CO-80219/13338613_zpid/,430000.0,"210 N Quitman Street, Denver, CO 80219",210 N Quitman Street,Denver,CO,80219,424100.0,2019.0,305000.0,305000.0,306500.0,309500.0,307300.0,307700.0,309700.0,304100.0,317700.0,316200.0,316400.0,315500.0,Barnum West
5534,13338613,https://www.zillow.com/homedetails/210-Quitman-St-Denver-CO-80219/13338613_zpid/,430000.0,"210 N Quitman Street, Denver, CO 80219",210 N Quitman Street,Denver,CO,80219,424100.0,2018.0,282100.0,285900.0,293400.0,296300.0,301000.0,303900.0,302300.0,302700.0,300800.0,300700.0,303100.0,305700.0,Barnum West
5535,13338613,https://www.zillow.com/homedetails/210-Quitman-St-Denver-CO-80219/13338613_zpid/,430000.0,"210 N Quitman Street, Denver, CO 80219",210 N Quitman Street,Denver,CO,80219,424100.0,2017.0,260800.0,261000.0,268200.0,270000.0,272100.0,275400.0,276500.0,275400.0,276600.0,271000.0,270400.0,273400.0,Barnum West
5536,13338613,https://www.zillow.com/homedetails/210-Quitman-St-Denver-CO-80219/13338613_zpid/,430000.0,"210 N Quitman Street, Denver, CO 80219",210 N Quitman Street,Denver,CO,80219,424100.0,2016.0,229100.0,229500.0,230600.0,236400.0,237500.0,246500.0,247400.0,249200.0,252400.0,252300.0,256000.0,261000.0,Barnum West
5537,13338613,https://www.zillow.com/homedetails/210-Quitman-St-Denver-CO-80219/13338613_zpid/,430000.0,"210 N Quitman Street, Denver, CO 80219",210 N Quitman Street,Denver,CO,80219,424100.0,2015.0,173500.0,178500.0,185200.0,186400.0,195100.0,197400.0,204200.0,212400.0,215900.0,215000.0,215500.0,217200.0,Barnum West
5538,13338613,https://www.zillow.com/homedetails/210-Quitman-St-Denver-CO-80219/13338613_zpid/,430000.0,"210 N Quitman Street, Denver, CO 80219",210 N Quitman Street,Denver,CO,80219,424100.0,2014.0,146400.0,146300.0,149400.0,150800.0,154100.0,158900.0,158800.0,160200.0,165400.0,165800.0,166000.0,171700.0,Barnum West
5539,13338613,https://www.zillow.com/homedetails/210-Quitman-St-Denver-CO-80219/13338613_zpid/,430000.0,"210 N Quitman Street, Denver, CO 80219",210 N Quitman Street,Denver,CO,80219,424100.0,2013.0,133000.0,130600.0,130100.0,130600.0,134100.0,138600.0,139000.0,142400.0,143300.0,144800.0,145900.0,145400.0,Barnum West
5870,13340438,https://www.zillow.com/homedetails/245-S-Perry-St-Denver-CO-80219/13340438_zpid/,400000.0,"245 S Perry Street, Denver, CO 80209",245 S Perry Street,Denver,CO,80219,360800.0,2022.0,257000.0,260600.00000000003,289400.0,302600.0,308400.0,347600.0,339900.0,346900.0,353600.0,361100.0,361100.0,0.0,Barnum West
5871,13340438,https://www.zillow.com/homedetails/245-S-Perry-St-Denver-CO-80219/13340438_zpid/,400000.0,"245 S Perry Street, Denver, CO 80209",245 S Perry Street,Denver,CO,80219,360800.0,2021.0,280600.0,291300.0,301800.0,322700.0,327400.0,290800.0,272300.0,259800.0,253500.0,253300.0,252300.0,249400.0,Barnum West
5872,13340438,https://www.zillow.com/homedetails/245-S-Perry-St-Denver-CO-80219/13340438_zpid/,400000.0,"245 S Perry Street, Denver, CO 80209",245 S Perry Street,Denver,CO,80219,360800.0,2020.0,253400.0,260500.0,256900.0,256600.00000000003,253900.0,256100.00000000003,266100.0,266000.0,255300.0,253000.0,257900.0,270000.0,Barnum West
5873,13340438,https://www.zillow.com/homedetails/245-S-Perry-St-Denver-CO-80219/13340438_zpid/,400000.0,"245 S Perry Street, Denver, CO 80209",245 S Perry Street,Denver,CO,80219,360800.0,2019.0,235500.0,239100.0,244900.0,243300.0,248600.0,241100.0,243300.0,244600.0,254300.0,252300.0,253000.0,249600.0,Barnum West
5874,13340438,https://www.zillow.com/homedetails/245-S-Perry-St-Denver-CO-80219/13340438_zpid/,400000.0,"245 S Perry Street, Denver, CO 80209",245 S Perry Street,Denver,CO,80219,360800.0,2018.0,222500.0,231500.0,231100.0,233100.0,239000.0,247100.0,251400.0,262100.00000000003,254300.0,253900.0,238800.0,238100.0,Barnum West
5875,13340438,https://www.zillow.com/homedetails/245-S-Perry-St-Denver-CO-80219/13340438_zpid/,400000.0,"245 S Perry Street, Denver, CO 80209",245 S Perry Street,Denver,CO,80219,360800.0,2017.0,191600.0,180300.0,199300.0,199000.0,198300.0,200000.0,207600.0,220500.0,234600.0,231500.0,239200.0,232000.0,Barnum West
