,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
720,119692735,https://www.zillow.com/homedetails/401-S-Garfield-St-BUILDING-14-Denver-CO-80209/119692735_zpid/,4600000.0,"401 S Garfield Street  Unit 14, Denver, CO 80209",401 S Garfield Street  Unit 14,Denver,CO,80209,4474545.0,2022.0,0.0,0.0,0.0,0.0,2100000.0,2200000.0,2200000.0,2400000.0,2900000.0,4500000.0,4500000.0,0.0,Belcaro
721,119692735,https://www.zillow.com/homedetails/401-S-Garfield-St-BUILDING-14-Denver-CO-80209/119692735_zpid/,4600000.0,"401 S Garfield Street  Unit 14, Denver, CO 80209",401 S Garfield Street  Unit 14,Denver,CO,80209,4474545.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belcaro
722,119692735,https://www.zillow.com/homedetails/401-S-Garfield-St-BUILDING-14-Denver-CO-80209/119692735_zpid/,4600000.0,"401 S Garfield Street  Unit 14, Denver, CO 80209",401 S Garfield Street  Unit 14,Denver,CO,80209,4474545.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belcaro
723,119692735,https://www.zillow.com/homedetails/401-S-Garfield-St-BUILDING-14-Denver-CO-80209/119692735_zpid/,4600000.0,"401 S Garfield Street  Unit 14, Denver, CO 80209",401 S Garfield Street  Unit 14,Denver,CO,80209,4474545.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belcaro
724,119692735,https://www.zillow.com/homedetails/401-S-Garfield-St-BUILDING-14-Denver-CO-80209/119692735_zpid/,4600000.0,"401 S Garfield Street  Unit 14, Denver, CO 80209",401 S Garfield Street  Unit 14,Denver,CO,80209,4474545.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belcaro
725,119692735,https://www.zillow.com/homedetails/401-S-Garfield-St-BUILDING-14-Denver-CO-80209/119692735_zpid/,4600000.0,"401 S Garfield Street  Unit 14, Denver, CO 80209",401 S Garfield Street  Unit 14,Denver,CO,80209,4474545.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belcaro
726,119692735,https://www.zillow.com/homedetails/401-S-Garfield-St-BUILDING-14-Denver-CO-80209/119692735_zpid/,4600000.0,"401 S Garfield Street  Unit 14, Denver, CO 80209",401 S Garfield Street  Unit 14,Denver,CO,80209,4474545.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belcaro
727,119692735,https://www.zillow.com/homedetails/401-S-Garfield-St-BUILDING-14-Denver-CO-80209/119692735_zpid/,4600000.0,"401 S Garfield Street  Unit 14, Denver, CO 80209",401 S Garfield Street  Unit 14,Denver,CO,80209,4474545.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belcaro
728,119692735,https://www.zillow.com/homedetails/401-S-Garfield-St-BUILDING-14-Denver-CO-80209/119692735_zpid/,4600000.0,"401 S Garfield Street  Unit 14, Denver, CO 80209",401 S Garfield Street  Unit 14,Denver,CO,80209,4474545.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belcaro
729,119692735,https://www.zillow.com/homedetails/401-S-Garfield-St-BUILDING-14-Denver-CO-80209/119692735_zpid/,4600000.0,"401 S Garfield Street  Unit 14, Denver, CO 80209",401 S Garfield Street  Unit 14,Denver,CO,80209,4474545.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belcaro
1000,13351631,https://www.zillow.com/homedetails/840-S-Harrison-St-Denver-CO-80209/13351631_zpid/,1195000.0,"840 S Harrison Street, Denver, CO 80209",840 S Harrison Street,Denver,CO,80209,1195004.0,2022.0,886000.0,912900.0,972700.0,989700.0,1000000.0,1000000.0,983800.0,948300.0,936700.0,1200000.0,1200000.0,0.0,Belcaro
1001,13351631,https://www.zillow.com/homedetails/840-S-Harrison-St-Denver-CO-80209/13351631_zpid/,1195000.0,"840 S Harrison Street, Denver, CO 80209",840 S Harrison Street,Denver,CO,80209,1195004.0,2021.0,747500.0,794700.0,802100.0,842000.0,906700.0,895300.0,878600.0,854400.0,847300.0,853400.0,861200.0,879900.0,Belcaro
1002,13351631,https://www.zillow.com/homedetails/840-S-Harrison-St-Denver-CO-80209/13351631_zpid/,1195000.0,"840 S Harrison Street, Denver, CO 80209",840 S Harrison Street,Denver,CO,80209,1195004.0,2020.0,750500.0,774600.0,784800.0,787400.0,775400.0,760800.0,751400.0,752500.0,724200.0,738500.0,719600.0,770700.0,Belcaro
1003,13351631,https://www.zillow.com/homedetails/840-S-Harrison-St-Denver-CO-80209/13351631_zpid/,1195000.0,"840 S Harrison Street, Denver, CO 80209",840 S Harrison Street,Denver,CO,80209,1195004.0,2019.0,748700.0,740100.0,739900.0,762300.0,752600.0,752600.0,774200.0,771700.0,703400.0,718900.0,725100.0,739700.0,Belcaro
1004,13351631,https://www.zillow.com/homedetails/840-S-Harrison-St-Denver-CO-80209/13351631_zpid/,1195000.0,"840 S Harrison Street, Denver, CO 80209",840 S Harrison Street,Denver,CO,80209,1195004.0,2018.0,643300.0,642800.0,698700.0,700600.0,707000.0,709900.0,721100.0,728100.0,736500.0,741500.0,742300.0,744900.0,Belcaro
1005,13351631,https://www.zillow.com/homedetails/840-S-Harrison-St-Denver-CO-80209/13351631_zpid/,1195000.0,"840 S Harrison Street, Denver, CO 80209",840 S Harrison Street,Denver,CO,80209,1195004.0,2017.0,647300.0,658400.0,670400.0,663400.0,648700.0,668100.0,650000.0,650000.0,658700.0,674200.0,675900.0,659200.0,Belcaro
1006,13351631,https://www.zillow.com/homedetails/840-S-Harrison-St-Denver-CO-80209/13351631_zpid/,1195000.0,"840 S Harrison Street, Denver, CO 80209",840 S Harrison Street,Denver,CO,80209,1195004.0,2016.0,596800.0,602700.0,599200.0,608400.0,607800.0,616200.0,618700.0,622800.0,626200.0,630200.0,634200.0,638400.0,Belcaro
1007,13351631,https://www.zillow.com/homedetails/840-S-Harrison-St-Denver-CO-80209/13351631_zpid/,1195000.0,"840 S Harrison Street, Denver, CO 80209",840 S Harrison Street,Denver,CO,80209,1195004.0,2015.0,521000.0,531500.0,537600.0,542400.0,545900.0,548900.0,555900.0,563300.0,568100.0,574700.0,579600.0,585800.0,Belcaro
1008,13351631,https://www.zillow.com/homedetails/840-S-Harrison-St-Denver-CO-80209/13351631_zpid/,1195000.0,"840 S Harrison Street, Denver, CO 80209",840 S Harrison Street,Denver,CO,80209,1195004.0,2014.0,588200.0,483000.0,480600.0,484000.0,491900.0,488800.0,486700.0,490700.0,493100.0,499300.0,508000.0,513200.00000000006,Belcaro
