,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
170,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2022.0,494600.0,497700.0,569100.0,605300.0,627900.0,614700.0,594000.0,571600.0,565300.0,554500.0,560000.0,0.0,Berkeley
171,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2021.0,456700.0,489100.0,512200.00000000006,549500.0,567000.0,549300.0,529600.0,507700.0,496000.0,494200.0,491400.0,491000.0,Berkeley
172,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2020.0,451500.0,457700.0,456400.0,463200.0,459700.0,457700.0,447600.0,451300.0,467400.0,476300.0,468700.0,457300.0,Berkeley
173,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2019.0,457500.0,462300.0,462400.0,472200.0,471000.0,466600.0,480900.0,476200.0,450700.0,450500.0,451400.0,449900.0,Berkeley
174,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2018.0,416400.0,428400.0,428800.0,433200.0,440100.0,441800.0,444600.0,448400.0,452800.0,449500.0,449400.0,463900.0,Berkeley
175,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2017.0,398000.0,398600.0,411300.0,409200.0,427800.0,427400.0,443900.0,429100.0,428500.0,449300.0,454100.0,461500.0,Berkeley
176,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2016.0,368200.0,369300.0,371300.0,377600.0,379100.0,389900.0,390100.0,393700.0,397600.0,392400.0,394300.0,400300.0,Berkeley
177,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2015.0,314900.0,322900.0,330100.0,333500.0,332300.0,340200.0,337500.0,342700.0,338700.0,349600.0,357400.0,359600.0,Berkeley
178,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2014.0,320900.0,317100.0,331600.0,342100.0,390000.0,370600.0,353000.0,369500.0,384700.0,384700.0,367200.0,361500.0,Berkeley
179,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2013.0,261300.0,265300.0,265500.0,271700.0,270300.0,276400.0,302400.0,300500.0,305400.0,312900.0,311700.0,318300.0,Berkeley
1580,13295560,https://www.zillow.com/homedetails/3820-N-Winona-Ct-Denver-CO-80212/13295560_zpid/,850000.0,"3820 Winona Court, Denver, CO 80212",3820 Winona Court,Denver,CO,80212,858900.0,2022.0,889600.0,912800.0,978800.0,995900.0,999400.0,1100000.0,975400.0,919600.0,890000.0,861900.0,823100.0,0.0,Berkeley
1581,13295560,https://www.zillow.com/homedetails/3820-N-Winona-Ct-Denver-CO-80212/13295560_zpid/,850000.0,"3820 Winona Court, Denver, CO 80212",3820 Winona Court,Denver,CO,80212,858900.0,2021.0,712200.0,714700.0,720600.0,730100.0,747500.0,791500.0,826400.0,867700.0,853500.0,864900.0,867200.0,883700.0,Berkeley
1582,13295560,https://www.zillow.com/homedetails/3820-N-Winona-Ct-Denver-CO-80212/13295560_zpid/,850000.0,"3820 Winona Court, Denver, CO 80212",3820 Winona Court,Denver,CO,80212,858900.0,2020.0,659900.0,661200.0,668400.0,670300.0,667600.0,675900.0,671000.0,671600.0,679100.0,692900.0,699400.0,704300.0,Berkeley
1583,13295560,https://www.zillow.com/homedetails/3820-N-Winona-Ct-Denver-CO-80212/13295560_zpid/,850000.0,"3820 Winona Court, Denver, CO 80212",3820 Winona Court,Denver,CO,80212,858900.0,2019.0,703100.0,685700.0,711200.0,707500.0,694100.0,692400.0,699900.0,684700.0,679000.0,666400.0,664900.0,655600.0,Berkeley
