,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1600,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,77500.0,"891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520900.0,525100.0,526800.0,527500.0,0.0,Central Business District
1601,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,77500.0,"891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500.0,2021.0,524100.0,527600.0,531900.0,538600.0,0.0,0.0,0.0,0.0,580900.0,1200000.0,595300.0,0.0,Central Business District
1602,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,77500.0,"891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500.0,2020.0,0.0,0.0,0.0,0.0,555100.0,560400.0,557100.0,1000000.0,1000000.0,1100000.0,0.0,0.0,Central Business District
1603,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,77500.0,"891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Business District
1604,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,77500.0,"891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Business District
1605,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,77500.0,"891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Business District
1606,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,77500.0,"891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Business District
1607,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,77500.0,"891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Business District
1608,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,77500.0,"891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Business District
1609,247388632,https://www.zillow.com/homedetails/891-14th-St-Denver-CO-80202/247388632_zpid/,77500.0,"891 14th Street, Denver, CO 80202",891 14th Street,Denver,CO,80202,526500.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Business District
