,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1230,13291867,https://www.zillow.com/homedetails/4941-Wyandot-St-Denver-CO-80221/13291867_zpid/,575000.0,"4941 Wyandot Street, Denver, CO 80221",4941 Wyandot Street,Denver,CO,80221,573400.0,2022.0,398900.0,404200.0,457200.0,487100.0,495300.0,509500.0,500000.0,493400.0,460500.0,568000.0,574900.0,0.0,Chaffee Park
1231,13291867,https://www.zillow.com/homedetails/4941-Wyandot-St-Denver-CO-80221/13291867_zpid/,575000.0,"4941 Wyandot Street, Denver, CO 80221",4941 Wyandot Street,Denver,CO,80221,573400.0,2021.0,423300.0,426800.0,432900.0,447300.0,460000.0,434900.0,416700.0,400900.0,395100.0,393600.0,394700.0,396200.0,Chaffee Park
1232,13291867,https://www.zillow.com/homedetails/4941-Wyandot-St-Denver-CO-80221/13291867_zpid/,575000.0,"4941 Wyandot Street, Denver, CO 80221",4941 Wyandot Street,Denver,CO,80221,573400.0,2020.0,366000.0,370200.0,386800.0,382500.0,384500.0,382600.0,382000.0,381600.0,381800.0,397600.0,401100.0,412100.0,Chaffee Park
1233,13291867,https://www.zillow.com/homedetails/4941-Wyandot-St-Denver-CO-80221/13291867_zpid/,575000.0,"4941 Wyandot Street, Denver, CO 80221",4941 Wyandot Street,Denver,CO,80221,573400.0,2019.0,356600.0,359000.0,360500.0,363700.0,361900.0,362400.0,362100.0,375800.0,358000.0,359500.0,371700.0,364500.0,Chaffee Park
1234,13291867,https://www.zillow.com/homedetails/4941-Wyandot-St-Denver-CO-80221/13291867_zpid/,575000.0,"4941 Wyandot Street, Denver, CO 80221",4941 Wyandot Street,Denver,CO,80221,573400.0,2018.0,366800.0,370100.0,358700.0,373300.0,367500.0,364600.0,363300.0,361400.0,362100.0,356400.0,352300.0,354900.0,Chaffee Park
1235,13291867,https://www.zillow.com/homedetails/4941-Wyandot-St-Denver-CO-80221/13291867_zpid/,575000.0,"4941 Wyandot Street, Denver, CO 80221",4941 Wyandot Street,Denver,CO,80221,573400.0,2017.0,314200.0,322400.0,328200.0,334900.0,343600.0,340000.0,342800.0,339300.0,339200.0,346600.0,351800.0,356000.0,Chaffee Park
1236,13291867,https://www.zillow.com/homedetails/4941-Wyandot-St-Denver-CO-80221/13291867_zpid/,575000.0,"4941 Wyandot Street, Denver, CO 80221",4941 Wyandot Street,Denver,CO,80221,573400.0,2016.0,301900.0,305600.0,296900.0,299100.0,291800.0,283000.0,294800.0,298900.0,312500.0,322200.0,322000.0,323000.0,Chaffee Park
1237,13291867,https://www.zillow.com/homedetails/4941-Wyandot-St-Denver-CO-80221/13291867_zpid/,575000.0,"4941 Wyandot Street, Denver, CO 80221",4941 Wyandot Street,Denver,CO,80221,573400.0,2015.0,210500.0,216100.0,223500.0,220900.0,235000.0,257600.00000000003,268300.0,275400.0,284300.0,283800.0,296100.0,305200.0,Chaffee Park
1238,13291867,https://www.zillow.com/homedetails/4941-Wyandot-St-Denver-CO-80221/13291867_zpid/,575000.0,"4941 Wyandot Street, Denver, CO 80221",4941 Wyandot Street,Denver,CO,80221,573400.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chaffee Park
1239,13291867,https://www.zillow.com/homedetails/4941-Wyandot-St-Denver-CO-80221/13291867_zpid/,575000.0,"4941 Wyandot Street, Denver, CO 80221",4941 Wyandot Street,Denver,CO,80221,573400.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chaffee Park
2050,13292854,https://www.zillow.com/homedetails/4930-Clay-St-Denver-CO-80221/13292854_zpid/,500000.0,"4930 Clay St, Denver, CO 80221",4930 Clay St,Denver,CO,80221,489912.0,2022.0,386900.0,389700.0,432800.0,457700.0,453800.0,446600.0,435000.0,425300.0,324000.0,511700.0,494400.0,0.0,Chaffee Park
