,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
150,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2022.0,559100.0,570600.0,599300.0,613200.0,616900.0,611900.0,595900.0,578100.0,581300.0,724000.0,653600.0,0.0,Cheesman Park
151,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2021.0,565000.0,569400.0,572100.0,594700.0,610100.0,579000.0,559500.0,553200.0,550700.0,554700.0,554600.0,556500.0,Cheesman Park
152,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2020.0,500400.0,505000.0,517800.0,524900.0,525400.0,527400.0,529900.0,529300.0,529300.0,536400.0,545600.0,556100.0,Cheesman Park
153,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2019.0,542300.0,539500.0,547800.0,526500.0,530500.0,524600.0,517800.0,522500.0,491500.0,493000.0,501700.0,502200.0,Cheesman Park
154,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2018.0,468700.0,473400.0,512300.0,515300.0,531900.0,531400.0,539400.0,544500.0,528800.0,537600.0,540000.0,561500.0,Cheesman Park
155,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2017.0,457900.0,470800.0,469500.0,479900.0,482100.0,465800.0,473100.0,468100.0,463700.0,466200.0,477000.0,471100.0,Cheesman Park
156,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2016.0,445300.0,454000.0,453500.0,456500.0,447800.0,449400.0,448700.0,446400.0,445900.0,450500.0,452900.0,450200.0,Cheesman Park
157,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2015.0,400900.0,417300.0,423700.0,430200.0,424800.0,419300.0,417700.0,418900.0,427800.0,432400.0,437500.0,440600.0,Cheesman Park
158,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2014.0,337400.0,347100.0,356900.0,367300.0,378000.0,377000.0,370400.0,367300.0,370400.0,366700.0,369400.0,374100.0,Cheesman Park
159,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2013.0,306400.0,304700.0,318500.0,325300.0,337800.0,339300.0,341000.0,339400.0,327500.0,332900.0,336700.0,332400.0,Cheesman Park
1010,13328694,https://www.zillow.com/homedetails/1315-N-High-St-Denver-CO-80218/13328694_zpid/,1649000.0,"1315 N High Street, Denver, CO 80218",1315 N High Street,Denver,CO,80218,1649000.0,2022.0,1500000.0,1600000.0,1700000.0,1800000.0,1900000.0,1900000.0,1800000.0,1700000.0,1900000.0,1600000.0,1600000.0,0.0,Cheesman Park
1011,13328694,https://www.zillow.com/homedetails/1315-N-High-St-Denver-CO-80218/13328694_zpid/,1649000.0,"1315 N High Street, Denver, CO 80218",1315 N High Street,Denver,CO,80218,1649000.0,2021.0,1400000.0,1400000.0,1400000.0,1500000.0,1500000.0,1500000.0,1600000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,Cheesman Park
1012,13328694,https://www.zillow.com/homedetails/1315-N-High-St-Denver-CO-80218/13328694_zpid/,1649000.0,"1315 N High Street, Denver, CO 80218",1315 N High Street,Denver,CO,80218,1649000.0,2020.0,1200000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1400000.0,Cheesman Park
1013,13328694,https://www.zillow.com/homedetails/1315-N-High-St-Denver-CO-80218/13328694_zpid/,1649000.0,"1315 N High Street, Denver, CO 80218",1315 N High Street,Denver,CO,80218,1649000.0,2019.0,1300000.0,1300000.0,1300000.0,1200000.0,1200000.0,1300000.0,1300000.0,1300000.0,1200000.0,1200000.0,1200000.0,1200000.0,Cheesman Park
1014,13328694,https://www.zillow.com/homedetails/1315-N-High-St-Denver-CO-80218/13328694_zpid/,1649000.0,"1315 N High Street, Denver, CO 80218",1315 N High Street,Denver,CO,80218,1649000.0,2018.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1300000.0,1300000.0,Cheesman Park
1015,13328694,https://www.zillow.com/homedetails/1315-N-High-St-Denver-CO-80218/13328694_zpid/,1649000.0,"1315 N High Street, Denver, CO 80218",1315 N High Street,Denver,CO,80218,1649000.0,2017.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1200000.0,1100000.0,Cheesman Park
1016,13328694,https://www.zillow.com/homedetails/1315-N-High-St-Denver-CO-80218/13328694_zpid/,1649000.0,"1315 N High Street, Denver, CO 80218",1315 N High Street,Denver,CO,80218,1649000.0,2016.0,1000000.0,994900.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1100000.0,1100000.0,Cheesman Park
1017,13328694,https://www.zillow.com/homedetails/1315-N-High-St-Denver-CO-80218/13328694_zpid/,1649000.0,"1315 N High Street, Denver, CO 80218",1315 N High Street,Denver,CO,80218,1649000.0,2015.0,1000000.0,1000000.0,1000000.0,1100000.0,830700.0,844300.0,859900.0,854200.0,905900.0,898900.0,982300.0,958600.0,Cheesman Park
1018,13328694,https://www.zillow.com/homedetails/1315-N-High-St-Denver-CO-80218/13328694_zpid/,1649000.0,"1315 N High Street, Denver, CO 80218",1315 N High Street,Denver,CO,80218,1649000.0,2014.0,757700.0,768300.0,803800.0,810600.0,838600.0,838000.0,821800.0,831900.0,830500.0,861100.0,892800.0,896600.0,Cheesman Park
1019,13328694,https://www.zillow.com/homedetails/1315-N-High-St-Denver-CO-80218/13328694_zpid/,1649000.0,"1315 N High Street, Denver, CO 80218",1315 N High Street,Denver,CO,80218,1649000.0,2013.0,720400.0,743800.0,774800.0,794100.0,722100.0,711600.0,744700.0,784300.0,749100.0,751100.0,741400.0,753000.0,Cheesman Park
1650,58296090,https://www.zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,300000.0,"1267 N Lafayette Street  Unit 302, Denver, CO 80218",1267 N Lafayette Street  Unit 302,Denver,CO,80218,300000.0,2022.0,299000.0,306900.0,320600.0,327000.0,329200.0,325000.0,317600.0,314600.0,318300.0,317800.0,318500.0,0.0,Cheesman Park
1651,58296090,https://www.zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,300000.0,"1267 N Lafayette Street  Unit 302, Denver, CO 80218",1267 N Lafayette Street  Unit 302,Denver,CO,80218,300000.0,2021.0,0.0,0.0,0.0,0.0,0.0,278300.0,282600.0,283400.0,285100.0,289400.0,294500.0,298800.0,Cheesman Park
1652,58296090,https://www.zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,300000.0,"1267 N Lafayette Street  Unit 302, Denver, CO 80218",1267 N Lafayette Street  Unit 302,Denver,CO,80218,300000.0,2020.0,259700.0,259900.0,265000.0,265100.0,264100.0,266600.0,265900.0,265900.0,268500.0,269800.0,0.0,0.0,Cheesman Park
1653,58296090,https://www.zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,300000.0,"1267 N Lafayette Street  Unit 302, Denver, CO 80218",1267 N Lafayette Street  Unit 302,Denver,CO,80218,300000.0,2019.0,255000.0,254200.0,252800.0,255700.0,253700.0,254000.0,254100.0,255000.0,256900.0,255400.0,256300.0,259900.0,Cheesman Park
1654,58296090,https://www.zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,300000.0,"1267 N Lafayette Street  Unit 302, Denver, CO 80218",1267 N Lafayette Street  Unit 302,Denver,CO,80218,300000.0,2018.0,236800.0,238500.0,242000.0,245800.0,247200.0,246800.0,248200.0,249500.0,252100.0,252900.0,253300.0,255400.0,Cheesman Park
1655,58296090,https://www.zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,300000.0,"1267 N Lafayette Street  Unit 302, Denver, CO 80218",1267 N Lafayette Street  Unit 302,Denver,CO,80218,300000.0,2017.0,230400.0,233500.0,237900.0,234700.0,240000.0,237100.0,227800.0,224100.0,226900.0,230800.0,232300.0,234800.0,Cheesman Park
1656,58296090,https://www.zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,300000.0,"1267 N Lafayette Street  Unit 302, Denver, CO 80218",1267 N Lafayette Street  Unit 302,Denver,CO,80218,300000.0,2016.0,186000.0,189600.0,189600.0,191000.0,187200.0,203100.0,204800.0,203500.0,206500.0,213600.0,215100.0,222200.0,Cheesman Park
1657,58296090,https://www.zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,300000.0,"1267 N Lafayette Street  Unit 302, Denver, CO 80218",1267 N Lafayette Street  Unit 302,Denver,CO,80218,300000.0,2015.0,147400.0,149100.0,151700.0,154200.0,160200.0,157600.0,169800.0,176200.0,178600.0,181000.0,181000.0,184400.0,Cheesman Park
1658,58296090,https://www.zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,300000.0,"1267 N Lafayette Street  Unit 302, Denver, CO 80218",1267 N Lafayette Street  Unit 302,Denver,CO,80218,300000.0,2014.0,128900.0,128800.0,130400.0,136000.0,139600.0,140800.0,139000.0,140800.0,141700.0,141900.0,144300.0,147200.0,Cheesman Park
1659,58296090,https://www.zillow.com/homedetails/1267-N-Lafayette-St-APT-302-Denver-CO-80218/58296090_zpid/,300000.0,"1267 N Lafayette Street  Unit 302, Denver, CO 80218",1267 N Lafayette Street  Unit 302,Denver,CO,80218,300000.0,2013.0,124400.0,115300.0,119400.0,123900.0,117300.0,125300.0,128500.0,133500.0,128700.0,125800.0,127800.0,128800.0,Cheesman Park
1830,13328872,https://www.zillow.com/homedetails/1243-N-Gaylord-St-APT-410-Denver-CO-80206/13328872_zpid/,255000.0,"1243 Gaylord Street  Unit 410, Denver, CO 80206",1243 Gaylord Street  Unit 410,Denver,CO,80206,255000.0,2022.0,242900.0,248300.0,258200.0,263900.0,266800.0,262500.0,255800.0,252500.0,255600.0,259900.0,255000.0,0.0,Cheesman Park
1831,13328872,https://www.zillow.com/homedetails/1243-N-Gaylord-St-APT-410-Denver-CO-80206/13328872_zpid/,255000.0,"1243 Gaylord Street  Unit 410, Denver, CO 80206",1243 Gaylord Street  Unit 410,Denver,CO,80206,255000.0,2021.0,196000.0,197900.0,194000.0,206100.0,209700.0,220900.0,230100.0,231200.0,232000.0,234000.0,237400.0,241600.0,Cheesman Park
1832,13328872,https://www.zillow.com/homedetails/1243-N-Gaylord-St-APT-410-Denver-CO-80206/13328872_zpid/,255000.0,"1243 Gaylord Street  Unit 410, Denver, CO 80206",1243 Gaylord Street  Unit 410,Denver,CO,80206,255000.0,2020.0,220000.0,220700.0,224100.0,225300.0,224400.0,225900.0,220600.0,208900.0,192000.0,188500.0,188500.0,192100.0,Cheesman Park
1833,13328872,https://www.zillow.com/homedetails/1243-N-Gaylord-St-APT-410-Denver-CO-80206/13328872_zpid/,255000.0,"1243 Gaylord Street  Unit 410, Denver, CO 80206",1243 Gaylord Street  Unit 410,Denver,CO,80206,255000.0,2019.0,216800.0,216200.0,215200.0,217200.0,215300.0,215800.0,216200.0,217300.0,218000.0,216900.0,217200.0,219700.0,Cheesman Park
1834,13328872,https://www.zillow.com/homedetails/1243-N-Gaylord-St-APT-410-Denver-CO-80206/13328872_zpid/,255000.0,"1243 Gaylord Street  Unit 410, Denver, CO 80206",1243 Gaylord Street  Unit 410,Denver,CO,80206,255000.0,2018.0,200900.0,202400.0,205700.0,208700.0,209500.0,210000.0,211100.0,212000.0,214000.0,215100.0,215500.0,217300.0,Cheesman Park
1835,13328872,https://www.zillow.com/homedetails/1243-N-Gaylord-St-APT-410-Denver-CO-80206/13328872_zpid/,255000.0,"1243 Gaylord Street  Unit 410, Denver, CO 80206",1243 Gaylord Street  Unit 410,Denver,CO,80206,255000.0,2017.0,167500.0,170400.0,173500.0,173700.0,180600.0,191500.0,192100.0,193000.0,194000.0,194700.0,196600.0,198100.0,Cheesman Park
1836,13328872,https://www.zillow.com/homedetails/1243-N-Gaylord-St-APT-410-Denver-CO-80206/13328872_zpid/,255000.0,"1243 Gaylord Street  Unit 410, Denver, CO 80206",1243 Gaylord Street  Unit 410,Denver,CO,80206,255000.0,2016.0,154500.0,155900.0,155100.0,157600.0,157400.0,159400.0,160000.0,161100.0,162000.0,163000.0,164100.0,165200.0,Cheesman Park
