,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1260,13320351,https://www.zillow.com/homedetails/2017-Park-Pl-Denver-CO-80205/13320351_zpid/,839000.0,"2017 Park Place, Denver, CO 80205",2017 Park Place,Denver,CO,80205,828200.0,2022.0,887800.0,902200.0,994500.0,1000000.0,1100000.0,1000000.0,995300.0,953300.0,839000.0,828200.0,829900.0,0.0,City Park West
1261,13320351,https://www.zillow.com/homedetails/2017-Park-Pl-Denver-CO-80205/13320351_zpid/,839000.0,"2017 Park Place, Denver, CO 80205",2017 Park Place,Denver,CO,80205,828200.0,2021.0,800600.0,817100.0,828700.0,900500.0,934000.0,932000.0,920300.0,889900.0,876800.0,882000.0,876900.0,879500.0,City Park West
1262,13320351,https://www.zillow.com/homedetails/2017-Park-Pl-Denver-CO-80205/13320351_zpid/,839000.0,"2017 Park Place, Denver, CO 80205",2017 Park Place,Denver,CO,80205,828200.0,2020.0,737800.0,742200.0,744100.0,751400.0,748300.0,749700.0,757100.0,763500.0,785500.0,795800.0,793300.0,802300.0,City Park West
1263,13320351,https://www.zillow.com/homedetails/2017-Park-Pl-Denver-CO-80205/13320351_zpid/,839000.0,"2017 Park Place, Denver, CO 80205",2017 Park Place,Denver,CO,80205,828200.0,2019.0,736700.0,733500.0,729900.0,736100.0,728100.0,732000.0,726800.0,732000.0,754600.0,751900.0,740200.0,735700.0,City Park West
1264,13320351,https://www.zillow.com/homedetails/2017-Park-Pl-Denver-CO-80205/13320351_zpid/,839000.0,"2017 Park Place, Denver, CO 80205",2017 Park Place,Denver,CO,80205,828200.0,2018.0,653900.0,653600.0,700000.0,710700.0,711200.0,726800.0,734500.0,737800.0,734700.0,734200.0,732900.0,729200.0,City Park West
1265,13320351,https://www.zillow.com/homedetails/2017-Park-Pl-Denver-CO-80205/13320351_zpid/,839000.0,"2017 Park Place, Denver, CO 80205",2017 Park Place,Denver,CO,80205,828200.0,2017.0,647500.0,660900.0,664300.0,674100.0,688500.0,695400.0,683100.0,676800.0,663100.0,658900.0,663400.0,662300.0,City Park West
1266,13320351,https://www.zillow.com/homedetails/2017-Park-Pl-Denver-CO-80205/13320351_zpid/,839000.0,"2017 Park Place, Denver, CO 80205",2017 Park Place,Denver,CO,80205,828200.0,2016.0,580000.0,584000.0,585100.0,592600.0,601800.0,601600.0,611800.0,636300.0,641100.0,636600.0,635000.0,653900.0,City Park West
1267,13320351,https://www.zillow.com/homedetails/2017-Park-Pl-Denver-CO-80205/13320351_zpid/,839000.0,"2017 Park Place, Denver, CO 80205",2017 Park Place,Denver,CO,80205,828200.0,2015.0,483000.0,488500.0,494300.0,497400.0,545000.0,552600.0,553600.0,558100.0,562200.0,561400.0,565000.0,580500.0,City Park West
1268,13320351,https://www.zillow.com/homedetails/2017-Park-Pl-Denver-CO-80205/13320351_zpid/,839000.0,"2017 Park Place, Denver, CO 80205",2017 Park Place,Denver,CO,80205,828200.0,2014.0,444500.0,448200.0,447000.0,449300.0,455600.0,453800.0,453300.0,457200.0,458300.0,466600.0,477100.0,490500.0,City Park West
1269,13320351,https://www.zillow.com/homedetails/2017-Park-Pl-Denver-CO-80205/13320351_zpid/,839000.0,"2017 Park Place, Denver, CO 80205",2017 Park Place,Denver,CO,80205,828200.0,2013.0,393200.0,395700.0,399600.0,403300.0,432800.0,441500.0,445300.0,452800.0,440200.0,446100.0,448100.0,441300.0,City Park West
3450,58685353,https://www.zillow.com/homedetails/2121-E-16th-Ave-Denver-CO-80206/58685353_zpid/,695000.0,"2121 E 16th Avenue, Denver, CO 80206",2121 E 16th Avenue,Denver,CO,80206,690105.0,2022.0,587100.0,598900.0,620700.0,634700.0,642000.0,631400.0,614900.0,605900.0,614700.0,686500.0,693100.0,0.0,City Park West
