,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
230,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2022.0,401800.0,408800.0,425700.0,432400.0,435600.0,433700.0,428400.0,421000.0,400000.0,395200.0,374000.0,0.0,Civic Center
231,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2021.0,364400.0,381100.0,386700.0,405600.0,413800.0,402600.0,394900.0,388800.0,386900.0,392200.0,394600.0,396500.0,Civic Center
232,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2020.0,368300.0,364900.0,365700.0,368100.0,367300.0,366600.0,367500.0,369300.0,368100.0,359600.0,353500.0,353800.0,Civic Center
233,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2019.0,386800.0,385500.0,382700.0,385900.0,386900.0,376700.0,372800.0,372300.0,367300.0,368900.0,365900.0,366800.0,Civic Center
234,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2018.0,342400.0,348800.0,357400.0,361300.0,367500.0,371000.0,374800.0,377400.0,379700.0,380000.0,383200.0,385200.0,Civic Center
235,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2017.0,364100.0,369400.0,376000.0,378400.0,379600.0,384000.0,379800.0,374900.0,374900.0,362500.0,370200.0,375700.0,Civic Center
236,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2016.0,313900.0,312800.0,313900.0,324900.0,327900.0,332100.0,338200.0,339800.0,339300.0,339300.0,334800.0,339700.0,Civic Center
237,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2015.0,261200.0,263100.0,265500.0,276300.0,284200.0,284600.0,285400.0,300600.0,301700.0,304600.0,304200.0,308500.0,Civic Center
238,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2014.0,243100.0,251000.0,253400.0,250800.0,248600.0,251300.0,253400.0,253100.0,248700.0,247600.0,251400.0,253100.0,Civic Center
239,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2013.0,252000.0,256100.00000000003,259300.0,255400.0,231100.0,231800.0,233400.0,236800.0,238800.0,237300.0,238900.0,240900.0,Civic Center
