,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
290,13302575,https://www.zillow.com/homedetails/3801-N-Adams-St-Denver-CO-80205/13302575_zpid/,550000.0,"3801 Adams Street, Denver, CO 80205",3801 Adams Street,Denver,CO,80205,539100.0,2022.0,616900.0,634700.0,678000.0,699100.0,700200.0,689700.0,663700.0,628200.0,600000.0,563900.0,539800.0,0.0,Clayton
291,13302575,https://www.zillow.com/homedetails/3801-N-Adams-St-Denver-CO-80205/13302575_zpid/,550000.0,"3801 Adams Street, Denver, CO 80205",3801 Adams Street,Denver,CO,80205,539100.0,2021.0,585200.0,594000.0,606200.0,642200.0,658300.0,642900.0,624800.0,608500.0,601800.0,603000.0,606200.0,609300.0,Clayton
292,13302575,https://www.zillow.com/homedetails/3801-N-Adams-St-Denver-CO-80205/13302575_zpid/,550000.0,"3801 Adams Street, Denver, CO 80205",3801 Adams Street,Denver,CO,80205,539100.0,2020.0,514300.0,517300.0,523600.0,527200.0,524500.0,528200.0,536100.0,541800.0,568800.0,571100.0,575700.0,579400.0,Clayton
293,13302575,https://www.zillow.com/homedetails/3801-N-Adams-St-Denver-CO-80205/13302575_zpid/,550000.0,"3801 Adams Street, Denver, CO 80205",3801 Adams Street,Denver,CO,80205,539100.0,2019.0,461600.0,464900.0,466900.0,470000.0,473900.0,467100.0,464500.0,469700.0,510700.0,511000.0,508800.0,511600.0,Clayton
294,13302575,https://www.zillow.com/homedetails/3801-N-Adams-St-Denver-CO-80205/13302575_zpid/,550000.0,"3801 Adams Street, Denver, CO 80205",3801 Adams Street,Denver,CO,80205,539100.0,2018.0,432200.0,436800.0,443100.0,451000.0,450200.0,450400.0,444100.0,444900.0,447000.0,449400.0,456000.0,462400.0,Clayton
295,13302575,https://www.zillow.com/homedetails/3801-N-Adams-St-Denver-CO-80205/13302575_zpid/,550000.0,"3801 Adams Street, Denver, CO 80205",3801 Adams Street,Denver,CO,80205,539100.0,2017.0,418100.0,423300.0,428200.0,422700.0,418600.0,419000.0,427600.0,426400.0,426800.0,421900.0,423500.0,428400.0,Clayton
296,13302575,https://www.zillow.com/homedetails/3801-N-Adams-St-Denver-CO-80205/13302575_zpid/,550000.0,"3801 Adams Street, Denver, CO 80205",3801 Adams Street,Denver,CO,80205,539100.0,2016.0,363700.0,374600.0,374000.0,380100.0,376300.0,387000.0,389300.0,393100.0,396000.0,394400.0,397400.0,395800.0,Clayton
297,13302575,https://www.zillow.com/homedetails/3801-N-Adams-St-Denver-CO-80205/13302575_zpid/,550000.0,"3801 Adams Street, Denver, CO 80205",3801 Adams Street,Denver,CO,80205,539100.0,2015.0,309300.0,315500.0,321400.0,327500.0,325700.0,325900.0,337600.0,343300.0,351700.0,357600.0,353100.0,353800.0,Clayton
298,13302575,https://www.zillow.com/homedetails/3801-N-Adams-St-Denver-CO-80205/13302575_zpid/,550000.0,"3801 Adams Street, Denver, CO 80205",3801 Adams Street,Denver,CO,80205,539100.0,2014.0,259800.0,260500.0,267600.0,276700.0,282600.0,283600.0,284700.0,281700.0,288100.0,289700.0,301400.0,306400.0,Clayton
299,13302575,https://www.zillow.com/homedetails/3801-N-Adams-St-Denver-CO-80205/13302575_zpid/,550000.0,"3801 Adams Street, Denver, CO 80205",3801 Adams Street,Denver,CO,80205,539100.0,2013.0,185300.0,186400.0,188400.0,189500.0,193100.0,193600.0,197800.0,205700.0,224500.0,245100.0,253900.0,259900.0,Clayton
