,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1520,13305058,https://www.zillow.com/homedetails/3411-N-Vine-St-Denver-CO-80205/13305058_zpid/,775000.0,"3411 N Vine Street, Denver, CO 80205",3411 N Vine Street,Denver,CO,80205,775000.0,2022.0,716500.0,727400.0,766700.0,789400.0,806500.0,792700.0,757900.0,713000.0,711600.0,710200.0,775000.0,0.0,Cole
1521,13305058,https://www.zillow.com/homedetails/3411-N-Vine-St-Denver-CO-80205/13305058_zpid/,775000.0,"3411 N Vine Street, Denver, CO 80205",3411 N Vine Street,Denver,CO,80205,775000.0,2021.0,682400.0,692700.0,698700.0,726600.0,742700.0,737800.0,729000.0,703800.0,694200.0,700600.0,700700.0,697900.0,Cole
1522,13305058,https://www.zillow.com/homedetails/3411-N-Vine-St-Denver-CO-80205/13305058_zpid/,775000.0,"3411 N Vine Street, Denver, CO 80205",3411 N Vine Street,Denver,CO,80205,775000.0,2020.0,610900.0,613800.0,625200.0,630400.0,627400.0,633700.0,638300.0,641600.0,647300.0,655300.0,664100.0,674600.0,Cole
1523,13305058,https://www.zillow.com/homedetails/3411-N-Vine-St-Denver-CO-80205/13305058_zpid/,775000.0,"3411 N Vine Street, Denver, CO 80205",3411 N Vine Street,Denver,CO,80205,775000.0,2019.0,564800.0,570300.0,557000.0,570800.0,569500.0,578000.0,583400.0,585600.0,600600.0,601100.0,605500.0,607900.0,Cole
1524,13305058,https://www.zillow.com/homedetails/3411-N-Vine-St-Denver-CO-80205/13305058_zpid/,775000.0,"3411 N Vine Street, Denver, CO 80205",3411 N Vine Street,Denver,CO,80205,775000.0,2018.0,536000.0,545500.0,560300.0,564400.0,568800.0,574600.0,573600.0,569900.0,570000.0,571200.0,565700.0,558000.0,Cole
1525,13305058,https://www.zillow.com/homedetails/3411-N-Vine-St-Denver-CO-80205/13305058_zpid/,775000.0,"3411 N Vine Street, Denver, CO 80205",3411 N Vine Street,Denver,CO,80205,775000.0,2017.0,538200.0,535700.0,544700.0,547000.0,546300.0,556900.0,559400.0,560400.0,569700.0,573200.0,572600.0,595200.0,Cole
1526,13305058,https://www.zillow.com/homedetails/3411-N-Vine-St-Denver-CO-80205/13305058_zpid/,775000.0,"3411 N Vine Street, Denver, CO 80205",3411 N Vine Street,Denver,CO,80205,775000.0,2016.0,469600.0,477700.0,479600.0,485000.0,490300.0,485700.0,484400.0,499100.0,501200.0,501400.0,506800.0,489400.0,Cole
1527,13305058,https://www.zillow.com/homedetails/3411-N-Vine-St-Denver-CO-80205/13305058_zpid/,775000.0,"3411 N Vine Street, Denver, CO 80205",3411 N Vine Street,Denver,CO,80205,775000.0,2015.0,440700.0,455300.0,462300.0,465900.0,444800.0,447000.0,451100.0,454900.0,455600.0,456300.0,456400.0,458100.0,Cole
1528,13305058,https://www.zillow.com/homedetails/3411-N-Vine-St-Denver-CO-80205/13305058_zpid/,775000.0,"3411 N Vine Street, Denver, CO 80205",3411 N Vine Street,Denver,CO,80205,775000.0,2014.0,306300.0,307400.0,312300.0,320900.0,343700.0,338000.0,335800.0,336400.0,348100.0,351700.0,355800.0,365600.0,Cole
1529,13305058,https://www.zillow.com/homedetails/3411-N-Vine-St-Denver-CO-80205/13305058_zpid/,775000.0,"3411 N Vine Street, Denver, CO 80205",3411 N Vine Street,Denver,CO,80205,775000.0,2013.0,236100.0,240400.0,244200.0,268100.0,299200.0,281500.0,283900.0,284800.0,281900.0,292100.0,312400.0,308500.0,Cole
