,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
2010,13379570,https://www.zillow.com/homedetails/2010-W-Jewell-Ave-Denver-CO-80223/13379570_zpid/,539900.0,"2010 W Jewell Avenue, Denver, CO 80223",2010 W Jewell Avenue,Denver,CO,80223,539900.0,2022.0,344600.0,367200.0,490800.0,498200.0,493800.0,482300.0,471500.0,461300.0,560000.0,544900.0,532200.0,0.0,College View - South Platte
2011,13379570,https://www.zillow.com/homedetails/2010-W-Jewell-Ave-Denver-CO-80223/13379570_zpid/,539900.0,"2010 W Jewell Avenue, Denver, CO 80223",2010 W Jewell Avenue,Denver,CO,80223,539900.0,2021.0,387200.0,363900.0,394200.0,399700.0,437400.0,429200.0,422500.0,412700.0,411200.0,412800.0,412500.0,410700.0,College View - South Platte
2012,13379570,https://www.zillow.com/homedetails/2010-W-Jewell-Ave-Denver-CO-80223/13379570_zpid/,539900.0,"2010 W Jewell Avenue, Denver, CO 80223",2010 W Jewell Avenue,Denver,CO,80223,539900.0,2020.0,342800.0,349900.0,354000.0,358900.0,359400.0,361800.0,362100.0,364700.0,353000.0,359000.0,381400.0,359300.0,College View - South Platte
2013,13379570,https://www.zillow.com/homedetails/2010-W-Jewell-Ave-Denver-CO-80223/13379570_zpid/,539900.0,"2010 W Jewell Avenue, Denver, CO 80223",2010 W Jewell Avenue,Denver,CO,80223,539900.0,2019.0,330900.0,333300.0,332300.0,337100.0,333300.0,333200.0,336100.0,337500.0,331400.0,334900.0,338200.0,340900.0,College View - South Platte
2014,13379570,https://www.zillow.com/homedetails/2010-W-Jewell-Ave-Denver-CO-80223/13379570_zpid/,539900.0,"2010 W Jewell Avenue, Denver, CO 80223",2010 W Jewell Avenue,Denver,CO,80223,539900.0,2018.0,311900.0,313900.0,322700.0,323500.0,327800.0,330900.0,335700.0,335600.0,333600.0,330600.0,329500.0,331400.0,College View - South Platte
2015,13379570,https://www.zillow.com/homedetails/2010-W-Jewell-Ave-Denver-CO-80223/13379570_zpid/,539900.0,"2010 W Jewell Avenue, Denver, CO 80223",2010 W Jewell Avenue,Denver,CO,80223,539900.0,2017.0,263500.0,264300.0,272200.0,277000.0,282400.0,295800.0,296200.0,298100.0,304300.0,311000.0,311200.0,315700.0,College View - South Platte
2016,13379570,https://www.zillow.com/homedetails/2010-W-Jewell-Ave-Denver-CO-80223/13379570_zpid/,539900.0,"2010 W Jewell Avenue, Denver, CO 80223",2010 W Jewell Avenue,Denver,CO,80223,539900.0,2016.0,231000.0,230900.0,231300.0,236500.0,235600.0,237500.0,244600.0,248300.0,250400.0,256700.0,259100.00000000003,261300.0,College View - South Platte
2017,13379570,https://www.zillow.com/homedetails/2010-W-Jewell-Ave-Denver-CO-80223/13379570_zpid/,539900.0,"2010 W Jewell Avenue, Denver, CO 80223",2010 W Jewell Avenue,Denver,CO,80223,539900.0,2015.0,203000.0,205500.0,217400.0,220800.0,215800.0,214800.0,222100.0,227000.0,230100.0,230700.0,233700.0,234800.0,College View - South Platte
2018,13379570,https://www.zillow.com/homedetails/2010-W-Jewell-Ave-Denver-CO-80223/13379570_zpid/,539900.0,"2010 W Jewell Avenue, Denver, CO 80223",2010 W Jewell Avenue,Denver,CO,80223,539900.0,2014.0,192000.0,195500.0,196600.0,197600.0,206200.0,197700.0,199100.0,199800.0,207700.0,211700.0,209500.0,212300.0,College View - South Platte
2019,13379570,https://www.zillow.com/homedetails/2010-W-Jewell-Ave-Denver-CO-80223/13379570_zpid/,539900.0,"2010 W Jewell Avenue, Denver, CO 80223",2010 W Jewell Avenue,Denver,CO,80223,539900.0,2013.0,157600.0,157700.0,163200.0,166800.0,168300.0,172500.0,178300.0,179700.0,187700.0,190500.0,190000.0,190500.0,College View - South Platte
4770,13381239,https://www.zillow.com/homedetails/2714-W-Wesley-Ave-Denver-CO-80219/13381239_zpid/,435000.0,"2714 W Wesley Avenue, Denver, CO 80219",2714 W Wesley Avenue,Denver,CO,80219,427750.0,2022.0,377700.0,386900.0,416400.0,430400.0,435000.0,429900.0,417400.0,405000.0,450000.0,426600.0,425500.0,0.0,College View - South Platte
4771,13381239,https://www.zillow.com/homedetails/2714-W-Wesley-Ave-Denver-CO-80219/13381239_zpid/,435000.0,"2714 W Wesley Avenue, Denver, CO 80219",2714 W Wesley Avenue,Denver,CO,80219,427750.0,2021.0,347200.0,344600.0,360700.0,376500.0,402700.0,390400.0,380400.0,371500.0,370500.0,370700.0,366600.0,368700.0,College View - South Platte
4772,13381239,https://www.zillow.com/homedetails/2714-W-Wesley-Ave-Denver-CO-80219/13381239_zpid/,435000.0,"2714 W Wesley Avenue, Denver, CO 80219",2714 W Wesley Avenue,Denver,CO,80219,427750.0,2020.0,313100.0,317900.0,319100.0,316400.0,321100.0,322100.0,322700.0,320800.0,313500.0,318600.0,325000.0,332800.0,College View - South Platte
4773,13381239,https://www.zillow.com/homedetails/2714-W-Wesley-Ave-Denver-CO-80219/13381239_zpid/,435000.0,"2714 W Wesley Avenue, Denver, CO 80219",2714 W Wesley Avenue,Denver,CO,80219,427750.0,2019.0,263700.0,263100.0,261900.0,264000.0,262100.00000000003,262500.0,264200.0,284800.0,300600.0,311200.0,310700.0,311300.0,College View - South Platte
4774,13381239,https://www.zillow.com/homedetails/2714-W-Wesley-Ave-Denver-CO-80219/13381239_zpid/,435000.0,"2714 W Wesley Avenue, Denver, CO 80219",2714 W Wesley Avenue,Denver,CO,80219,427750.0,2018.0,244500.0,246300.0,250000.0,254400.0,254900.0,255800.0,257200.0,258200.0,260800.0,262200.0,262000.0,264100.0,College View - South Platte
4775,13381239,https://www.zillow.com/homedetails/2714-W-Wesley-Ave-Denver-CO-80219/13381239_zpid/,435000.0,"2714 W Wesley Avenue, Denver, CO 80219",2714 W Wesley Avenue,Denver,CO,80219,427750.0,2017.0,226200.0,230500.0,235200.0,234100.0,236200.0,237200.0,236900.0,236900.0,238700.0,239500.0,241400.0,243800.0,College View - South Platte
