,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
2420,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,2490000.0,"379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300.0,2022.0,2100000.0,2100000.0,2300000.0,2400000.0,2400000.0,2400000.0,2300000.0,2200000.0,2600000.0,2500000.0,2500000.0,0.0,Country Club
2421,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,2490000.0,"379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300.0,2021.0,2100000.0,2100000.0,2100000.0,2200000.0,2200000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,2100000.0,Country Club
2422,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,2490000.0,"379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300.0,2020.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2100000.0,Country Club
2423,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,2490000.0,"379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300.0,2019.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1900000.0,1900000.0,2000000.0,2000000.0,2000000.0,2000000.0,Country Club
2424,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,2490000.0,"379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300.0,2018.0,1500000.0,1500000.0,1700000.0,1700000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,Country Club
2425,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,2490000.0,"379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300.0,2017.0,1400000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,Country Club
2426,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,2490000.0,"379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300.0,2016.0,1300000.0,1300000.0,1300000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,Country Club
2427,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,2490000.0,"379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300.0,2015.0,1200000.0,1200000.0,1200000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,Country Club
2428,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,2490000.0,"379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300.0,2014.0,1200000.0,1200000.0,1200000.0,1300000.0,1200000.0,1200000.0,1200000.0,1200000.0,1300000.0,1200000.0,1300000.0,1300000.0,Country Club
2429,13346406,https://www.zillow.com/homedetails/379-N-Marion-St-Denver-CO-80218/13346406_zpid/,2490000.0,"379 N Marion Street, Denver, CO 80218",379 N Marion Street,Denver,CO,80218,2488300.0,2013.0,1200000.0,1200000.0,1300000.0,1300000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1300000.0,1300000.0,Country Club
5260,13346139,https://www.zillow.com/homedetails/543-N-Lafayette-St-Denver-CO-80218/13346139_zpid/,950000.0,"543 N Lafayette Street, Denver, CO 80218",543 N Lafayette Street,Denver,CO,80218,1039400.0,2022.0,1100000.0,1100000.0,1100000.0,1200000.0,1200000.0,1100000.0,1100000.0,1100000.0,1000000.0,1000000.0,950000.0,0.0,Country Club
5261,13346139,https://www.zillow.com/homedetails/543-N-Lafayette-St-Denver-CO-80218/13346139_zpid/,950000.0,"543 N Lafayette Street, Denver, CO 80218",543 N Lafayette Street,Denver,CO,80218,1039400.0,2021.0,798000.0,809500.0,819600.0,873100.0,906300.0,998600.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,Country Club
5262,13346139,https://www.zillow.com/homedetails/543-N-Lafayette-St-Denver-CO-80218/13346139_zpid/,950000.0,"543 N Lafayette Street, Denver, CO 80218",543 N Lafayette Street,Denver,CO,80218,1039400.0,2020.0,769700.0,762200.0,764300.0,765900.0,766700.0,768200.0,762900.0,764600.0,786900.0,795900.0,790000.0,792700.0,Country Club
5263,13346139,https://www.zillow.com/homedetails/543-N-Lafayette-St-Denver-CO-80218/13346139_zpid/,950000.0,"543 N Lafayette Street, Denver, CO 80218",543 N Lafayette Street,Denver,CO,80218,1039400.0,2019.0,759500.0,760900.0,769700.0,763000.0,765700.0,749600.0,757800.0,753100.0,781400.0,774400.0,765300.0,758000.0,Country Club
5264,13346139,https://www.zillow.com/homedetails/543-N-Lafayette-St-Denver-CO-80218/13346139_zpid/,950000.0,"543 N Lafayette Street, Denver, CO 80218",543 N Lafayette Street,Denver,CO,80218,1039400.0,2018.0,715900.0,715700.0,727700.0,729200.0,740900.0,741100.0,744200.0,753800.0,762100.0,758400.0,762700.0,760800.0,Country Club
5265,13346139,https://www.zillow.com/homedetails/543-N-Lafayette-St-Denver-CO-80218/13346139_zpid/,950000.0,"543 N Lafayette Street, Denver, CO 80218",543 N Lafayette Street,Denver,CO,80218,1039400.0,2017.0,701100.0,704800.0,706600.0,710300.0,724100.0,720200.0,711300.0,707500.0,700900.0,713600.0,719700.0,716000.0,Country Club
5266,13346139,https://www.zillow.com/homedetails/543-N-Lafayette-St-Denver-CO-80218/13346139_zpid/,950000.0,"543 N Lafayette Street, Denver, CO 80218",543 N Lafayette Street,Denver,CO,80218,1039400.0,2016.0,685300.0,688100.0,682300.0,708300.0,707200.0,691500.0,689400.0,687800.0,697200.0,701100.0,704800.0,698300.0,Country Club
5267,13346139,https://www.zillow.com/homedetails/543-N-Lafayette-St-Denver-CO-80218/13346139_zpid/,950000.0,"543 N Lafayette Street, Denver, CO 80218",543 N Lafayette Street,Denver,CO,80218,1039400.0,2015.0,640700.0,648400.0,666800.0,666000.0,639700.0,660200.0,673200.0,679200.0,669800.0,687700.0,693900.0,696700.0,Country Club
