,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
660,13388878,https://www.zillow.com/homedetails/1239-Valentia-St-Denver-CO-80220/13388878_zpid/,600000.0,"1239 Valentia Street, Denver, CO 80220",1239 Valentia Street,Denver,CO,80220,589100.0,2022.0,450500.0,456500.0,486000.0,498200.0,497700.0,488400.0,491400.0,493900.0,500300.0,502500.0,590000.0,0.0,East Colfax
661,13388878,https://www.zillow.com/homedetails/1239-Valentia-St-Denver-CO-80220/13388878_zpid/,600000.0,"1239 Valentia Street, Denver, CO 80220",1239 Valentia Street,Denver,CO,80220,589100.0,2021.0,430400.0,437100.0,441400.0,460900.0,472400.0,467100.0,461200.0,446700.0,440400.0,444900.0,445700.0,443600.0,East Colfax
662,13388878,https://www.zillow.com/homedetails/1239-Valentia-St-Denver-CO-80220/13388878_zpid/,600000.0,"1239 Valentia Street, Denver, CO 80220",1239 Valentia Street,Denver,CO,80220,589100.0,2020.0,395800.0,395900.0,393000.0,393200.0,396100.0,397100.0,391600.0,393900.0,408900.0,413700.0,420400.0,425900.0,East Colfax
663,13388878,https://www.zillow.com/homedetails/1239-Valentia-St-Denver-CO-80220/13388878_zpid/,600000.0,"1239 Valentia Street, Denver, CO 80220",1239 Valentia Street,Denver,CO,80220,589100.0,2019.0,372500.0,379000.0,380500.0,379300.0,367500.0,359500.0,359400.0,371900.0,389400.0,386500.0,387500.0,390900.0,East Colfax
664,13388878,https://www.zillow.com/homedetails/1239-Valentia-St-Denver-CO-80220/13388878_zpid/,600000.0,"1239 Valentia Street, Denver, CO 80220",1239 Valentia Street,Denver,CO,80220,589100.0,2018.0,330400.0,333300.0,348200.0,353900.0,357400.0,359300.0,359800.0,360200.0,365500.0,367900.0,366000.0,373300.0,East Colfax
665,13388878,https://www.zillow.com/homedetails/1239-Valentia-St-Denver-CO-80220/13388878_zpid/,600000.0,"1239 Valentia Street, Denver, CO 80220",1239 Valentia Street,Denver,CO,80220,589100.0,2017.0,314500.0,317800.0,329200.0,335600.0,336700.0,345800.0,330600.0,330700.0,331300.0,328400.0,329300.0,329500.0,East Colfax
666,13388878,https://www.zillow.com/homedetails/1239-Valentia-St-Denver-CO-80220/13388878_zpid/,600000.0,"1239 Valentia Street, Denver, CO 80220",1239 Valentia Street,Denver,CO,80220,589100.0,2016.0,271100.0,270000.0,267900.0,272000.0,274000.0,277000.0,280600.0,284400.0,294400.0,298500.0,303700.0,310300.0,East Colfax
667,13388878,https://www.zillow.com/homedetails/1239-Valentia-St-Denver-CO-80220/13388878_zpid/,600000.0,"1239 Valentia Street, Denver, CO 80220",1239 Valentia Street,Denver,CO,80220,589100.0,2015.0,227000.0,234500.0,242300.0,245300.0,236200.0,239500.0,247100.0,249600.0,253100.0,255300.0,256100.00000000003,262400.0,East Colfax
668,13388878,https://www.zillow.com/homedetails/1239-Valentia-St-Denver-CO-80220/13388878_zpid/,600000.0,"1239 Valentia Street, Denver, CO 80220",1239 Valentia Street,Denver,CO,80220,589100.0,2014.0,188100.0,189500.0,188800.0,193300.0,195200.0,195300.0,198700.0,196200.0,198900.0,219200.0,220000.0,232000.0,East Colfax
669,13388878,https://www.zillow.com/homedetails/1239-Valentia-St-Denver-CO-80220/13388878_zpid/,600000.0,"1239 Valentia Street, Denver, CO 80220",1239 Valentia Street,Denver,CO,80220,589100.0,2013.0,156900.0,167400.0,169400.0,166600.0,171700.0,174100.0,177800.0,177000.0,177600.0,183400.0,186400.0,187200.0,East Colfax
880,13289846,https://www.zillow.com/homedetails/1600-Quebec-St-Denver-CO-80220/13289846_zpid/,515000.0,"1600 Quebec Street, Denver, CO 80220",1600 Quebec Street,Denver,CO,80220,462800.0,2022.0,468000.0,480200.0,514600.0,529200.0,527900.0,508000.0,489000.0,473800.0,467300.0,463600.0,509300.0,0.0,East Colfax
