,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
3860,68051074,https://www.zillow.com/homedetails/4695-Gaylord-St-Denver-CO-80216/68051074_zpid/,389000.0,"4695 Gaylord, Denver, CO 80216",4695 Gaylord,Denver,CO,80216,388700.0,2022.0,313400.0,322900.0,332000.0,335700.0,333300.0,336300.0,334100.0,330200.0,389000.0,385500.0,389000.0,0.0,Elyria Swansea
3861,68051074,https://www.zillow.com/homedetails/4695-Gaylord-St-Denver-CO-80216/68051074_zpid/,389000.0,"4695 Gaylord, Denver, CO 80216",4695 Gaylord,Denver,CO,80216,388700.0,2021.0,242100.0,254600.0,270900.0,286400.0,292500.0,298700.0,303000.0,301700.0,299600.0,304400.0,304000.0,308000.0,Elyria Swansea
3862,68051074,https://www.zillow.com/homedetails/4695-Gaylord-St-Denver-CO-80216/68051074_zpid/,389000.0,"4695 Gaylord, Denver, CO 80216",4695 Gaylord,Denver,CO,80216,388700.0,2020.0,236400.0,232600.0,227800.0,224800.0,216800.0,218900.0,222100.0,220600.0,240900.0,235000.0,236300.0,245900.0,Elyria Swansea
3863,68051074,https://www.zillow.com/homedetails/4695-Gaylord-St-Denver-CO-80216/68051074_zpid/,389000.0,"4695 Gaylord, Denver, CO 80216",4695 Gaylord,Denver,CO,80216,388700.0,2019.0,249700.0,253700.0,262000.0,259300.0,264200.0,260900.0,263100.0,268500.0,237600.0,237800.0,240400.0,240700.0,Elyria Swansea
3864,68051074,https://www.zillow.com/homedetails/4695-Gaylord-St-Denver-CO-80216/68051074_zpid/,389000.0,"4695 Gaylord, Denver, CO 80216",4695 Gaylord,Denver,CO,80216,388700.0,2018.0,231300.0,240800.0,241200.0,243600.0,242800.0,215100.0,215100.0,215000.0,247900.0,249600.0,255200.0,247000.0,Elyria Swansea
3865,68051074,https://www.zillow.com/homedetails/4695-Gaylord-St-Denver-CO-80216/68051074_zpid/,389000.0,"4695 Gaylord, Denver, CO 80216",4695 Gaylord,Denver,CO,80216,388700.0,2017.0,197900.0,198900.0,204000.0,213600.0,222000.0,220400.0,224000.0,220700.0,224000.0,219900.0,225800.0,223000.0,Elyria Swansea
3866,68051074,https://www.zillow.com/homedetails/4695-Gaylord-St-Denver-CO-80216/68051074_zpid/,389000.0,"4695 Gaylord, Denver, CO 80216",4695 Gaylord,Denver,CO,80216,388700.0,2016.0,155000.0,158700.0,166600.0,170500.0,177500.0,181100.0,182900.0,186100.0,197000.0,213500.0,211200.0,210600.0,Elyria Swansea
3867,68051074,https://www.zillow.com/homedetails/4695-Gaylord-St-Denver-CO-80216/68051074_zpid/,389000.0,"4695 Gaylord, Denver, CO 80216",4695 Gaylord,Denver,CO,80216,388700.0,2015.0,179900.0,186000.0,187300.0,193000.0,140600.0,145500.0,149300.0,152200.0,164100.0,150000.0,148600.0,152200.0,Elyria Swansea
3868,68051074,https://www.zillow.com/homedetails/4695-Gaylord-St-Denver-CO-80216/68051074_zpid/,389000.0,"4695 Gaylord, Denver, CO 80216",4695 Gaylord,Denver,CO,80216,388700.0,2014.0,136400.0,134800.0,136800.0,142700.0,148800.0,155000.0,158600.0,161700.0,167000.0,169900.0,173200.0,175400.0,Elyria Swansea
3869,68051074,https://www.zillow.com/homedetails/4695-Gaylord-St-Denver-CO-80216/68051074_zpid/,389000.0,"4695 Gaylord, Denver, CO 80216",4695 Gaylord,Denver,CO,80216,388700.0,2013.0,134600.0,133700.0,129600.0,133300.0,135500.0,138600.0,139800.0,136200.0,135100.0,131100.0,126400.0,130400.0,Elyria Swansea
