,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
70,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2022.0,768200.0,790200.0,846600.0,866400.0,737700.0,682500.0,624900.0,589300.0,578300.0,581800.0,515900.0,0.0,Five Points
71,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2021.0,679000.0,694300.0,704500.0,811800.0,774800.0,783400.0,780400.0,763100.0,756600.0,755300.0,758800.0,761000.0,Five Points
72,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2020.0,616800.0,627100.0,629100.0,633500.0,626400.0,630200.0,640500.0,646100.0,648200.0,645500.0,660000.0,666500.0,Five Points
73,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2019.0,580100.0,589200.0,601000.0,609800.0,607800.0,606900.0,603600.0,608200.0,600000.0,607900.0,611200.0,611200.0,Five Points
74,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2018.0,566900.0,574200.0,556300.0,555700.0,562100.0,562500.0,563900.0,563800.0,572200.0,569000.0,570700.0,575700.0,Five Points
75,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2017.0,524300.0,526700.0,537700.0,539500.0,543500.0,550900.0,550900.0,552000.0,552900.0,553900.0,566700.0,569800.0,Five Points
76,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2016.0,407000.0,411300.0,409700.0,432800.0,470500.0,498400.0,505500.0,505900.0,514500.0,520500.0,533500.0,524700.0,Five Points
77,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2015.0,355300.0,363400.0,366500.0,369600.0,371300.0,373600.0,379000.0,384000.0,386900.0,392000.0,396400.0,400200.0,Five Points
78,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2014.0,318800.0,319000.0,322600.0,331300.0,335200.0,335300.0,333700.0,336200.0,337700.0,340700.0,346200.0,350200.0,Five Points
79,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2013.0,328500.0,335200.0,335000.0,306100.0,308600.0,310000.0,314100.0,315100.0,316000.0,318800.0,316800.0,318200.0,Five Points
1950,63358432,https://www.zillow.com/homedetails/2945-Curtis-St-Denver-CO-80205/63358432_zpid/,1024000.0,"2945 Curtis Street, Denver, CO 80205",2945 Curtis Street,Denver,CO,80205,1010036.0,2022.0,839400.0,862700.0,912400.0,931200.0,948200.0,1200000.0,1100000.0,1100000.0,1100000.0,1000000.0,1000000.0,0.0,Five Points
1951,63358432,https://www.zillow.com/homedetails/2945-Curtis-St-Denver-CO-80205/63358432_zpid/,1024000.0,"2945 Curtis Street, Denver, CO 80205",2945 Curtis Street,Denver,CO,80205,1010036.0,2021.0,802300.0,819100.0,831500.0,883600.0,897800.0,853300.0,826500.0,805700.0,803000.0,812200.0,815600.0,828300.0,Five Points
1952,63358432,https://www.zillow.com/homedetails/2945-Curtis-St-Denver-CO-80205/63358432_zpid/,1024000.0,"2945 Curtis Street, Denver, CO 80205",2945 Curtis Street,Denver,CO,80205,1010036.0,2020.0,735900.0,742700.0,748800.0,754300.0,749300.0,762200.0,760900.0,756100.0,699700.0,705400.0,794700.0,789100.0,Five Points
1953,63358432,https://www.zillow.com/homedetails/2945-Curtis-St-Denver-CO-80205/63358432_zpid/,1024000.0,"2945 Curtis Street, Denver, CO 80205",2945 Curtis Street,Denver,CO,80205,1010036.0,2019.0,713200.0,712200.0,727300.0,740400.0,705000.0,682700.0,699100.0,699800.0,742300.0,738700.0,733800.0,731200.0,Five Points
1954,63358432,https://www.zillow.com/homedetails/2945-Curtis-St-Denver-CO-80205/63358432_zpid/,1024000.0,"2945 Curtis Street, Denver, CO 80205",2945 Curtis Street,Denver,CO,80205,1010036.0,2018.0,612200.0,616500.0,643600.0,669500.0,694200.0,692400.0,684900.0,705100.0,697800.0,716300.0,715500.0,723600.0,Five Points
1955,63358432,https://www.zillow.com/homedetails/2945-Curtis-St-Denver-CO-80205/63358432_zpid/,1024000.0,"2945 Curtis Street, Denver, CO 80205",2945 Curtis Street,Denver,CO,80205,1010036.0,2017.0,567300.0,577900.0,589300.0,589800.0,595200.0,597600.0,597400.0,594500.0,598100.0,599900.0,605800.0,611400.0,Five Points
1956,63358432,https://www.zillow.com/homedetails/2945-Curtis-St-Denver-CO-80205/63358432_zpid/,1024000.0,"2945 Curtis Street, Denver, CO 80205",2945 Curtis Street,Denver,CO,80205,1010036.0,2016.0,523400.0,528500.0,525300.0,531000.0,532900.0,540900.0,543100.0,546300.0,549600.0,552700.0,555900.0,558000.0,Five Points
1957,63358432,https://www.zillow.com/homedetails/2945-Curtis-St-Denver-CO-80205/63358432_zpid/,1024000.0,"2945 Curtis Street, Denver, CO 80205",2945 Curtis Street,Denver,CO,80205,1010036.0,2015.0,562500.0,581800.0,472200.0,476900.0,479300.0,482000.0,488400.0,493700.0,498400.0,506000.0,511200.0,515200.00000000006,Five Points
1958,63358432,https://www.zillow.com/homedetails/2945-Curtis-St-Denver-CO-80205/63358432_zpid/,1024000.0,"2945 Curtis Street, Denver, CO 80205",2945 Curtis Street,Denver,CO,80205,1010036.0,2014.0,498800.0,506000.0,505400.0,520200.00000000006,503700.0,506100.0,499100.0,511600.0,494400.0,524800.0,523900.0,513200.00000000006,Five Points
1959,63358432,https://www.zillow.com/homedetails/2945-Curtis-St-Denver-CO-80205/63358432_zpid/,1024000.0,"2945 Curtis Street, Denver, CO 80205",2945 Curtis Street,Denver,CO,80205,1010036.0,2013.0,435200.0,457100.0,459700.0,463200.0,456600.0,474700.0,493600.0,488700.0,476100.0,481500.0,510300.0,511100.0,Five Points
3190,68049617,https://www.zillow.com/homedetails/3149-Blake-St-APT-304-Denver-CO-80205/68049617_zpid/,455000.0,"3149 Blake Street  Unit 304, Denver, CO 80205",3149 Blake Street  Unit 304,Denver,CO,80205,475000.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468200.0,472900.0,474800.0,447700.0,0.0,Five Points
3191,68049617,https://www.zillow.com/homedetails/3149-Blake-St-APT-304-Denver-CO-80205/68049617_zpid/,455000.0,"3149 Blake Street  Unit 304, Denver, CO 80205",3149 Blake Street  Unit 304,Denver,CO,80205,475000.0,2021.0,427500.0,427600.0,427100.0,441500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Five Points
3192,68049617,https://www.zillow.com/homedetails/3149-Blake-St-APT-304-Denver-CO-80205/68049617_zpid/,455000.0,"3149 Blake Street  Unit 304, Denver, CO 80205",3149 Blake Street  Unit 304,Denver,CO,80205,475000.0,2020.0,409600.0,412400.0,419500.0,422800.0,403800.0,410500.0,414900.0,417900.0,416500.0,418100.0,421200.0,424300.0,Five Points
3193,68049617,https://www.zillow.com/homedetails/3149-Blake-St-APT-304-Denver-CO-80205/68049617_zpid/,455000.0,"3149 Blake Street  Unit 304, Denver, CO 80205",3149 Blake Street  Unit 304,Denver,CO,80205,475000.0,2019.0,403300.0,402100.0,401000.0,404000.0,401200.0,402200.0,402000.0,403800.0,404500.0,400700.0,401800.0,409900.0,Five Points
3194,68049617,https://www.zillow.com/homedetails/3149-Blake-St-APT-304-Denver-CO-80205/68049617_zpid/,455000.0,"3149 Blake Street  Unit 304, Denver, CO 80205",3149 Blake Street  Unit 304,Denver,CO,80205,475000.0,2018.0,373500.0,376300.0,382000.0,388400.0,391300.0,391300.0,393500.0,394600.0,398200.0,400200.0,400800.0,403700.0,Five Points
3195,68049617,https://www.zillow.com/homedetails/3149-Blake-St-APT-304-Denver-CO-80205/68049617_zpid/,455000.0,"3149 Blake Street  Unit 304, Denver, CO 80205",3149 Blake Street  Unit 304,Denver,CO,80205,475000.0,2017.0,345500.0,350700.0,357500.0,357500.0,360200.0,362000.0,362000.0,361200.0,363700.0,364700.0,367500.0,371000.0,Five Points
3196,68049617,https://www.zillow.com/homedetails/3149-Blake-St-APT-304-Denver-CO-80205/68049617_zpid/,455000.0,"3149 Blake Street  Unit 304, Denver, CO 80205",3149 Blake Street  Unit 304,Denver,CO,80205,475000.0,2016.0,357300.0,357200.0,344100.0,353800.0,351800.0,357400.0,362600.0,367300.0,359500.0,336300.0,338600.0,340800.0,Five Points
3197,68049617,https://www.zillow.com/homedetails/3149-Blake-St-APT-304-Denver-CO-80205/68049617_zpid/,455000.0,"3149 Blake Street  Unit 304, Denver, CO 80205",3149 Blake Street  Unit 304,Denver,CO,80205,475000.0,2015.0,290300.0,296500.0,301600.0,303600.0,310700.0,314100.0,322200.0,323500.0,329900.0,328000.0,336200.0,347000.0,Five Points
3198,68049617,https://www.zillow.com/homedetails/3149-Blake-St-APT-304-Denver-CO-80205/68049617_zpid/,455000.0,"3149 Blake Street  Unit 304, Denver, CO 80205",3149 Blake Street  Unit 304,Denver,CO,80205,475000.0,2014.0,260700.0,260200.0,262800.0,266000.0,275400.0,277700.0,278000.0,281200.0,280300.0,284700.0,287800.0,291000.0,Five Points
3199,68049617,https://www.zillow.com/homedetails/3149-Blake-St-APT-304-Denver-CO-80205/68049617_zpid/,455000.0,"3149 Blake Street  Unit 304, Denver, CO 80205",3149 Blake Street  Unit 304,Denver,CO,80205,475000.0,2013.0,247900.0,249800.0,252000.0,255800.0,262700.0,260500.0,257400.0,256800.0,256200.0,260000.0,261100.00000000003,262700.0,Five Points
3430,61470755,https://www.zillow.com/homedetails/2245-Blake-St-APT-M-Denver-CO-80205/61470755_zpid/,12000000.0,"2245 Blake Street  Unit M, Denver, CO 80205",2245 Blake Street  Unit M,Denver,CO,80205,1381700.0,2022.0,1500000.0,1500000.0,1700000.0,1800000.0,1500000.0,1500000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,0.0,Five Points
3431,61470755,https://www.zillow.com/homedetails/2245-Blake-St-APT-M-Denver-CO-80205/61470755_zpid/,12000000.0,"2245 Blake Street  Unit M, Denver, CO 80205",2245 Blake Street  Unit M,Denver,CO,80205,1381700.0,2021.0,1300000.0,1300000.0,1400000.0,1400000.0,1500000.0,1600000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,Five Points
