,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1920,13427702,https://www.zillow.com/homedetails/4232-W-Quinn-Pl-Denver-CO-80236/13427702_zpid/,450000.0,"4232 W Quinn Place, Denver, CO 80236",4232 W Quinn Place,Denver,CO,80236,450002.0,2022.0,447200.0,452900.0,495000.0,518700.00000000006,519500.0,510300.0,495300.0,466900.0,471600.0,469900.0,445000.0,0.0,Fort Logan
1921,13427702,https://www.zillow.com/homedetails/4232-W-Quinn-Pl-Denver-CO-80236/13427702_zpid/,450000.0,"4232 W Quinn Place, Denver, CO 80236",4232 W Quinn Place,Denver,CO,80236,450002.0,2021.0,434500.0,442100.0,444900.0,469200.0,483300.0,471400.0,461400.0,444800.0,439300.0,440100.0,441600.0,441500.0,Fort Logan
1922,13427702,https://www.zillow.com/homedetails/4232-W-Quinn-Pl-Denver-CO-80236/13427702_zpid/,450000.0,"4232 W Quinn Place, Denver, CO 80236",4232 W Quinn Place,Denver,CO,80236,450002.0,2020.0,398700.0,400500.0,405600.0,405000.0,400100.0,398100.0,401300.0,403900.0,412800.0,420000.0,422700.0,427800.0,Fort Logan
1923,13427702,https://www.zillow.com/homedetails/4232-W-Quinn-Pl-Denver-CO-80236/13427702_zpid/,450000.0,"4232 W Quinn Place, Denver, CO 80236",4232 W Quinn Place,Denver,CO,80236,450002.0,2019.0,393100.0,394700.0,394900.0,397400.0,392700.0,391400.0,392600.0,393900.0,388500.0,389100.0,391300.0,394400.0,Fort Logan
1924,13427702,https://www.zillow.com/homedetails/4232-W-Quinn-Pl-Denver-CO-80236/13427702_zpid/,450000.0,"4232 W Quinn Place, Denver, CO 80236",4232 W Quinn Place,Denver,CO,80236,450002.0,2018.0,348800.0,354200.0,369300.0,375100.0,377700.0,376700.0,380500.0,385900.0,390200.0,390800.0,394300.0,391400.0,Fort Logan
1925,13427702,https://www.zillow.com/homedetails/4232-W-Quinn-Pl-Denver-CO-80236/13427702_zpid/,450000.0,"4232 W Quinn Place, Denver, CO 80236",4232 W Quinn Place,Denver,CO,80236,450002.0,2017.0,332400.0,335600.0,344100.0,343700.0,348300.0,344600.0,351400.0,352300.0,349900.0,349200.0,355000.0,353700.0,Fort Logan
1926,13427702,https://www.zillow.com/homedetails/4232-W-Quinn-Pl-Denver-CO-80236/13427702_zpid/,450000.0,"4232 W Quinn Place, Denver, CO 80236",4232 W Quinn Place,Denver,CO,80236,450002.0,2016.0,311600.0,313200.0,310100.0,313600.0,314100.0,314000.0,317900.0,321600.0,322600.0,325900.0,328400.0,330500.0,Fort Logan
1927,13427702,https://www.zillow.com/homedetails/4232-W-Quinn-Pl-Denver-CO-80236/13427702_zpid/,450000.0,"4232 W Quinn Place, Denver, CO 80236",4232 W Quinn Place,Denver,CO,80236,450002.0,2015.0,260000.0,265000.0,271600.0,279900.0,279800.0,280000.0,284400.0,288700.0,292400.0,302600.0,303700.0,306100.0,Fort Logan
1928,13427702,https://www.zillow.com/homedetails/4232-W-Quinn-Pl-Denver-CO-80236/13427702_zpid/,450000.0,"4232 W Quinn Place, Denver, CO 80236",4232 W Quinn Place,Denver,CO,80236,450002.0,2014.0,221000.0,223100.0,223400.0,228000.0,233500.0,238900.0,242100.0,252200.0,251200.0,256200.0,263000.0,255100.0,Fort Logan
1929,13427702,https://www.zillow.com/homedetails/4232-W-Quinn-Pl-Denver-CO-80236/13427702_zpid/,450000.0,"4232 W Quinn Place, Denver, CO 80236",4232 W Quinn Place,Denver,CO,80236,450002.0,2013.0,205200.0,202700.0,202300.0,200500.0,198000.0,209800.0,212700.0,208000.0,207500.0,215700.0,215100.0,213900.0,Fort Logan
