,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
400,13276750,https://www.zillow.com/homedetails/20420-Kelly-Pl-Denver-CO-80249/13276750_zpid/,549000.0,"20420 Kelly Place, Denver, CO 80249",20420 Kelly Place,Denver,CO,80249,544347.0,2022.0,541100.0,556000.0,586600.0,598600.0,598100.0,588300.0,572100.0,557400.0,556200.0,544800.0,544300.0,0.0,Gateway - Green Valley Ranch
401,13276750,https://www.zillow.com/homedetails/20420-Kelly-Pl-Denver-CO-80249/13276750_zpid/,549000.0,"20420 Kelly Place, Denver, CO 80249",20420 Kelly Place,Denver,CO,80249,544347.0,2021.0,427100.0,429200.0,434500.0,452900.0,466400.0,499200.0,517000.0,514200.00000000006,515100.0,520200.00000000006,525800.0,533600.0,Gateway - Green Valley Ranch
402,13276750,https://www.zillow.com/homedetails/20420-Kelly-Pl-Denver-CO-80249/13276750_zpid/,549000.0,"20420 Kelly Place, Denver, CO 80249",20420 Kelly Place,Denver,CO,80249,544347.0,2020.0,396500.0,402400.0,408600.0,414300.0,413000.0,410500.0,408600.0,410200.0,436000.0,439000.0,422100.0,426800.0,Gateway - Green Valley Ranch
403,13276750,https://www.zillow.com/homedetails/20420-Kelly-Pl-Denver-CO-80249/13276750_zpid/,549000.0,"20420 Kelly Place, Denver, CO 80249",20420 Kelly Place,Denver,CO,80249,544347.0,2019.0,390600.0,390300.0,392600.0,397200.0,399900.0,400700.0,404000.0,400400.0,399100.0,397400.0,398900.0,396800.0,Gateway - Green Valley Ranch
404,13276750,https://www.zillow.com/homedetails/20420-Kelly-Pl-Denver-CO-80249/13276750_zpid/,549000.0,"20420 Kelly Place, Denver, CO 80249",20420 Kelly Place,Denver,CO,80249,544347.0,2018.0,361400.0,363900.0,370400.0,374100.0,378100.0,378100.0,380100.0,381200.0,384700.0,386500.0,389000.0,392000.0,Gateway - Green Valley Ranch
405,13276750,https://www.zillow.com/homedetails/20420-Kelly-Pl-Denver-CO-80249/13276750_zpid/,549000.0,"20420 Kelly Place, Denver, CO 80249",20420 Kelly Place,Denver,CO,80249,544347.0,2017.0,335400.0,341200.0,347100.0,347600.0,350200.0,352400.0,352300.0,350900.0,353100.0,354800.0,358400.0,361100.0,Gateway - Green Valley Ranch
406,13276750,https://www.zillow.com/homedetails/20420-Kelly-Pl-Denver-CO-80249/13276750_zpid/,549000.0,"20420 Kelly Place, Denver, CO 80249",20420 Kelly Place,Denver,CO,80249,544347.0,2016.0,314900.0,305600.0,308800.0,312600.0,314300.0,317600.0,318000.0,320100.0,322400.0,324000.0,326800.0,328300.0,Gateway - Green Valley Ranch
407,13276750,https://www.zillow.com/homedetails/20420-Kelly-Pl-Denver-CO-80249/13276750_zpid/,549000.0,"20420 Kelly Place, Denver, CO 80249",20420 Kelly Place,Denver,CO,80249,544347.0,2015.0,267400.0,274700.0,279800.0,283400.0,289400.0,292600.0,299500.0,304400.0,306600.0,310300.0,312600.0,311000.0,Gateway - Green Valley Ranch
408,13276750,https://www.zillow.com/homedetails/20420-Kelly-Pl-Denver-CO-80249/13276750_zpid/,549000.0,"20420 Kelly Place, Denver, CO 80249",20420 Kelly Place,Denver,CO,80249,544347.0,2014.0,229200.0,229500.0,226000.0,230300.0,243200.0,244800.0,249500.0,252800.0,256800.0,256300.0,259600.00000000003,262700.0,Gateway - Green Valley Ranch
409,13276750,https://www.zillow.com/homedetails/20420-Kelly-Pl-Denver-CO-80249/13276750_zpid/,549000.0,"20420 Kelly Place, Denver, CO 80249",20420 Kelly Place,Denver,CO,80249,544347.0,2013.0,201100.0,204000.0,208700.0,217400.0,222200.0,225000.0,222900.0,226700.0,224200.0,228100.0,228800.0,228200.0,Gateway - Green Valley Ranch
410,82592119,https://www.zillow.com/homedetails/5174-Kirk-Ct-Denver-CO-80249/82592119_zpid/,758000.0,"5174 Kirk Court, Denver, CO 80249",5174 Kirk Court,Denver,CO,80249,744600.0,2022.0,742900.0,763200.0,794100.0,800000.0,806200.0,792400.0,776700.0,638600.0,760000.0,747300.0,745200.0,0.0,Gateway - Green Valley Ranch
