,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
180,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2022.0,188100.0,193100.0,204300.0,211600.0,213500.0,213500.0,212000.0,208200.0,204800.0,195000.0,195000.0,0.0,Goldsmith
181,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2021.0,157500.0,158800.0,160700.0,170100.0,171800.0,175800.0,180500.0,179400.0,181800.0,183900.0,185300.0,185400.0,Goldsmith
182,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2020.0,152400.0,152400.0,154100.0,157600.0,159600.0,158700.0,155800.0,154200.0,154300.0,154200.0,155100.0,156400.0,Goldsmith
183,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2019.0,152800.0,152900.0,154200.0,154000.0,154400.0,154700.0,152500.0,154500.0,153700.0,153500.0,153100.0,151400.0,Goldsmith
184,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2018.0,134000.0,135900.0,141400.0,142900.0,143700.0,144500.0,144900.0,144200.0,147200.0,151300.0,153100.0,155300.0,Goldsmith
185,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2017.0,116200.0,119200.0,121700.0,122700.0,125400.0,125800.0,126800.0,128400.0,128900.0,129800.0,131500.0,133000.0,Goldsmith
186,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2016.0,92600.0,93600.0,94800.0,95700.0,95900.0,100700.0,112500.0,112500.0,111300.0,116000.0,115700.0,115700.0,Goldsmith
187,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2015.0,77500.0,78600.0,79400.0,80100.0,81900.0,83000.0,83300.0,83700.0,84300.0,87900.0,89700.0,91000.0,Goldsmith
188,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2014.0,73200.0,71600.0,72700.0,72800.0,71900.0,72700.0,72600.0,74000.0,73900.0,74800.0,75500.0,76300.0,Goldsmith
189,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2013.0,58400.0,59800.0,60400.0,60200.0,62000.0,67100.0,67700.0,66800.0,71200.0,73000.0,72100.0,72800.0,Goldsmith
