,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1080,13056931,https://www.zillow.com/homedetails/6442-E-Cornell-Ave-Denver-CO-80222/13056931_zpid/,900000.0,"6442 E Cornell Avenue, Denver, CO 80222",6442 E Cornell Avenue,Denver,CO,80222,869999.0,2022.0,580800.0,587900.0,704500.0,697200.0,719300.0,708100.0,695200.0,689500.0,683100.0,871100.0,863500.0,0.0,Hampden
1081,13056931,https://www.zillow.com/homedetails/6442-E-Cornell-Ave-Denver-CO-80222/13056931_zpid/,900000.0,"6442 E Cornell Avenue, Denver, CO 80222",6442 E Cornell Avenue,Denver,CO,80222,869999.0,2021.0,523500.0,534200.0,541200.0,580900.0,600900.0,595800.0,587900.0,566700.0,560200.0,571400.0,576600.0,576200.0,Hampden
1082,13056931,https://www.zillow.com/homedetails/6442-E-Cornell-Ave-Denver-CO-80222/13056931_zpid/,900000.0,"6442 E Cornell Avenue, Denver, CO 80222",6442 E Cornell Avenue,Denver,CO,80222,869999.0,2020.0,533100.0,536700.0,548800.0,541100.0,574200.0,572400.0,514200.00000000006,507700.0,513900.0,523900.0,524600.0,522100.0,Hampden
1083,13056931,https://www.zillow.com/homedetails/6442-E-Cornell-Ave-Denver-CO-80222/13056931_zpid/,900000.0,"6442 E Cornell Avenue, Denver, CO 80222",6442 E Cornell Avenue,Denver,CO,80222,869999.0,2019.0,487000.0,510100.0,525800.0,522100.0,541700.0,540400.0,540100.0,528200.0,521500.0,530100.0,536200.0,536300.0,Hampden
1084,13056931,https://www.zillow.com/homedetails/6442-E-Cornell-Ave-Denver-CO-80222/13056931_zpid/,900000.0,"6442 E Cornell Avenue, Denver, CO 80222",6442 E Cornell Avenue,Denver,CO,80222,869999.0,2018.0,469400.0,458300.0,463200.0,453000.0,458600.0,461200.0,475200.0,473000.0,491000.0,484400.0,487400.0,489800.0,Hampden
1085,13056931,https://www.zillow.com/homedetails/6442-E-Cornell-Ave-Denver-CO-80222/13056931_zpid/,900000.0,"6442 E Cornell Avenue, Denver, CO 80222",6442 E Cornell Avenue,Denver,CO,80222,869999.0,2017.0,463600.0,471500.0,472000.0,453900.0,462500.0,462400.0,457400.0,457700.0,460900.0,462900.0,465200.0,474100.0,Hampden
1086,13056931,https://www.zillow.com/homedetails/6442-E-Cornell-Ave-Denver-CO-80222/13056931_zpid/,900000.0,"6442 E Cornell Avenue, Denver, CO 80222",6442 E Cornell Avenue,Denver,CO,80222,869999.0,2016.0,385500.0,392100.0,397100.0,405000.0,412500.0,423200.0,424800.0,438800.0,452500.0,451700.0,450000.0,452400.0,Hampden
1087,13056931,https://www.zillow.com/homedetails/6442-E-Cornell-Ave-Denver-CO-80222/13056931_zpid/,900000.0,"6442 E Cornell Avenue, Denver, CO 80222",6442 E Cornell Avenue,Denver,CO,80222,869999.0,2015.0,394000.0,392400.0,407500.0,378300.0,369000.0,383200.0,398300.0,398000.0,398500.0,387900.0,385900.0,379300.0,Hampden
1088,13056931,https://www.zillow.com/homedetails/6442-E-Cornell-Ave-Denver-CO-80222/13056931_zpid/,900000.0,"6442 E Cornell Avenue, Denver, CO 80222",6442 E Cornell Avenue,Denver,CO,80222,869999.0,2014.0,314900.0,324800.0,321300.0,334000.0,335600.0,344400.0,358500.0,347900.0,365800.0,375400.0,374800.0,378400.0,Hampden
1089,13056931,https://www.zillow.com/homedetails/6442-E-Cornell-Ave-Denver-CO-80222/13056931_zpid/,900000.0,"6442 E Cornell Avenue, Denver, CO 80222",6442 E Cornell Avenue,Denver,CO,80222,869999.0,2013.0,299000.0,293200.0,294300.0,292900.0,296500.0,299100.0,305000.0,300100.0,298300.0,299600.0,298400.0,302100.0,Hampden
1360,13056636,https://www.zillow.com/homedetails/2961-S-Kearney-St-Denver-CO-80222/13056636_zpid/,599900.0,"2961 S Kearney Street, Denver, CO 80222",2961 S Kearney Street,Denver,CO,80222,571779.0,2022.0,591000.0,606000.0,648900.0,664200.0,667200.0,651400.0,630200.0,630600.0,625000.0,569200.0,581600.0,0.0,Hampden
1361,13056636,https://www.zillow.com/homedetails/2961-S-Kearney-St-Denver-CO-80222/13056636_zpid/,599900.0,"2961 S Kearney Street, Denver, CO 80222",2961 S Kearney Street,Denver,CO,80222,571779.0,2021.0,514700.00000000006,521700.00000000006,512000.0,545100.0,557400.0,552800.0,543400.0,529100.0,524300.0,553300.0,568000.0,577000.0,Hampden
1362,13056636,https://www.zillow.com/homedetails/2961-S-Kearney-St-Denver-CO-80222/13056636_zpid/,599900.0,"2961 S Kearney Street, Denver, CO 80222",2961 S Kearney Street,Denver,CO,80222,571779.0,2020.0,505000.0,502100.0,508200.0,508800.0,551700.0,527600.0,492500.0,493500.0,502800.0,497500.0,500800.0,506600.0,Hampden
1363,13056636,https://www.zillow.com/homedetails/2961-S-Kearney-St-Denver-CO-80222/13056636_zpid/,599900.0,"2961 S Kearney Street, Denver, CO 80222",2961 S Kearney Street,Denver,CO,80222,571779.0,2019.0,433200.0,438400.0,454800.0,454700.0,478600.0,499900.0,504100.0,499900.0,503200.0,502800.0,509200.0,510100.0,Hampden
1364,13056636,https://www.zillow.com/homedetails/2961-S-Kearney-St-Denver-CO-80222/13056636_zpid/,599900.0,"2961 S Kearney Street, Denver, CO 80222",2961 S Kearney Street,Denver,CO,80222,571779.0,2018.0,425800.0,441500.0,437700.0,437000.0,444100.0,437100.0,436300.0,440200.0,440700.0,436300.0,442500.0,444500.0,Hampden
1365,13056636,https://www.zillow.com/homedetails/2961-S-Kearney-St-Denver-CO-80222/13056636_zpid/,599900.0,"2961 S Kearney Street, Denver, CO 80222",2961 S Kearney Street,Denver,CO,80222,571779.0,2017.0,394600.0,398900.0,410400.0,414800.0,418000.0,413000.0,409200.0,409700.0,410200.0,422300.0,427800.0,435200.0,Hampden
1366,13056636,https://www.zillow.com/homedetails/2961-S-Kearney-St-Denver-CO-80222/13056636_zpid/,599900.0,"2961 S Kearney Street, Denver, CO 80222",2961 S Kearney Street,Denver,CO,80222,571779.0,2016.0,374100.0,378500.0,383800.0,390300.0,393300.0,392900.0,392600.0,397100.0,387600.0,396900.0,398900.0,397800.0,Hampden
1367,13056636,https://www.zillow.com/homedetails/2961-S-Kearney-St-Denver-CO-80222/13056636_zpid/,599900.0,"2961 S Kearney Street, Denver, CO 80222",2961 S Kearney Street,Denver,CO,80222,571779.0,2015.0,344400.0,342500.0,344800.0,350100.0,360400.0,359700.0,360400.0,355000.0,355000.0,365700.0,370800.0,375000.0,Hampden
1368,13056636,https://www.zillow.com/homedetails/2961-S-Kearney-St-Denver-CO-80222/13056636_zpid/,599900.0,"2961 S Kearney Street, Denver, CO 80222",2961 S Kearney Street,Denver,CO,80222,571779.0,2014.0,304800.0,309200.0,312700.0,314500.0,318900.0,318100.0,319900.0,330000.0,324500.0,325000.0,327300.0,337700.0,Hampden
