,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
100,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2022.0,375100.0,384800.0,420300.0,441700.0,449800.0,442400.0,429500.0,365000.0,365000.0,351000.0,349500.0,0.0,Hampden South
101,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2021.0,296500.0,302600.0,303900.0,325900.0,335000.0,365000.0,375400.0,367800.0,367400.0,366600.0,365900.0,367000.0,Hampden South
102,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2020.0,279500.0,280700.0,283200.0,284800.0,283500.0,283800.0,283800.0,285400.0,328600.0,311700.0,289500.0,292100.0,Hampden South
103,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2019.0,298000.0,298700.0,296100.0,294100.0,299100.0,290100.0,290000.0,281900.0,279700.0,278600.0,277900.0,279100.0,Hampden South
104,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2018.0,268600.0,270600.0,275100.0,278100.0,280000.0,281400.0,282800.0,283300.0,285500.0,286600.0,291800.0,293300.0,Hampden South
105,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2017.0,249800.0,253300.0,257600.00000000003,258000.0,259800.0,261500.0,261100.00000000003,260900.0,263000.0,263800.0,266100.0,267900.0,Hampden South
106,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2016.0,227300.0,230100.0,231200.0,233600.0,233600.0,236100.0,236900.0,238800.0,239800.0,240900.0,243300.0,244800.0,Hampden South
107,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2015.0,191600.0,192100.0,194500.0,198400.0,199600.0,203400.0,207400.0,208400.0,213800.0,220100.0,221700.0,223700.0,Hampden South
108,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2014.0,178900.0,173900.0,167600.0,169900.0,172300.0,171700.0,171800.0,175500.0,177600.0,178900.0,179200.0,182300.0,Hampden South
109,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2013.0,162200.0,162700.0,159200.0,154500.0,150000.0,153000.0,157700.0,162900.0,161600.0,175200.0,177800.0,182600.0,Hampden South
