,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
160,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2022.0,368400.0,371000.0,402300.0,423600.0,431900.0,424600.0,412900.0,400600.0,391100.0,425200.0,418200.0,0.0,Harvey Park
161,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2021.0,340100.0,350400.0,357500.0,370900.0,389800.0,380300.0,377400.0,367700.0,363700.0,365100.0,364400.0,363600.0,Harvey Park
162,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2020.0,297600.0,298000.0,301200.0,304700.0,312500.0,315600.0,313300.0,311600.0,320800.0,324700.0,332700.0,337000.0,Harvey Park
163,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2019.0,294900.0,293000.0,293300.0,292100.0,293100.0,298600.0,300600.0,293400.0,295600.0,295000.0,298200.0,298400.0,Harvey Park
164,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2018.0,276100.0,276600.0,283200.0,288100.0,287800.0,288600.0,290500.0,294000.0,294100.0,295000.0,294600.0,295200.0,Harvey Park
165,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2017.0,254500.0,254100.0,261500.0,266300.0,265700.0,269300.0,271000.0,267600.0,269700.0,270900.0,273100.0,278300.0,Harvey Park
166,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2016.0,224700.0,224000.0,227000.0,233100.0,236800.0,238300.0,243000.0,245200.0,246600.0,247000.0,248400.0,252100.0,Harvey Park
167,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2015.0,187200.0,192500.0,193500.0,194400.0,188200.0,191200.0,194800.0,200800.0,205400.0,214800.0,217800.0,217800.0,Harvey Park
168,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2014.0,152800.0,154500.0,158800.0,163100.0,171500.0,169400.0,176300.0,177800.0,174600.0,176100.0,180100.0,180000.0,Harvey Park
169,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2013.0,141500.0,143900.0,141700.0,148100.0,145100.0,150600.0,154100.0,152800.0,155500.0,155300.0,154100.0,155900.0,Harvey Park
