,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
870,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,859000.0,"3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946.0,2022.0,598600.0,602800.0,661600.0,691200.0,703600.0,697800.0,675700.0,660100.0,654900.0,859000.0,859000.0,0.0,Harvey Park South
871,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,859000.0,"3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946.0,2021.0,570700.0,575400.0,582800.0,617200.0,637300.0,628400.0,619300.0,596100.0,588200.0,589400.0,589300.0,591300.0,Harvey Park South
872,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,859000.0,"3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946.0,2020.0,511600.0,513300.0,510900.0,504900.0,514100.0,522200.00000000006,530300.0,531900.0,531000.0,535900.0,545500.0,564000.0,Harvey Park South
873,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,859000.0,"3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946.0,2019.0,518100.0,520100.0,518900.0,516500.0,511100.0,513100.0,512500.0,523500.0,505800.0,505900.0,507000.0,512300.0,Harvey Park South
874,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,859000.0,"3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946.0,2018.0,449800.0,446400.0,500600.0,500300.0,507400.0,498000.0,513600.0,506500.0,515400.0,503800.0,502900.0,511100.0,Harvey Park South
875,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,859000.0,"3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946.0,2017.0,429800.0,432100.0,432800.0,432500.0,434000.0,442900.0,434600.0,442300.0,447600.0,446000.0,453000.0,458800.0,Harvey Park South
876,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,859000.0,"3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946.0,2016.0,405400.0,407400.0,408900.0,412200.0,414600.0,417200.0,413200.0,409700.0,413800.0,415200.0,410500.0,411300.0,Harvey Park South
877,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,859000.0,"3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946.0,2015.0,317200.0,323100.0,334600.0,337900.0,355400.0,363200.0,370700.0,384400.0,394600.0,395100.0,391100.0,402600.0,Harvey Park South
878,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,859000.0,"3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946.0,2014.0,315800.0,313200.0,308100.0,313200.0,322600.0,322500.0,324000.0,324900.0,325500.0,328100.0,321900.0,328200.0,Harvey Park South
879,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,859000.0,"3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946.0,2013.0,320700.0,325700.0,333500.0,340000.0,304200.0,316200.0,320700.0,321200.0,318100.0,318300.0,317400.0,316500.0,Harvey Park South
1040,13384904,https://www.zillow.com/homedetails/3176-S-Wolff-St-Denver-CO-80236/13384904_zpid/,625000.0,"3176 S Wolff Street, Denver, CO 80236",3176 S Wolff Street,Denver,CO,80236,621323.0,2022.0,583600.0,597900.0,620300.0,635900.0,650000.0,645000.0,618200.0,606800.0,599800.0,622200.0,620700.0,0.0,Harvey Park South
1041,13384904,https://www.zillow.com/homedetails/3176-S-Wolff-St-Denver-CO-80236/13384904_zpid/,625000.0,"3176 S Wolff Street, Denver, CO 80236",3176 S Wolff Street,Denver,CO,80236,621323.0,2021.0,500500.0,503300.0,507600.0,515100.0,527900.0,539300.0,554800.0,555100.0,555400.0,563800.0,569400.0,576400.0,Harvey Park South
1042,13384904,https://www.zillow.com/homedetails/3176-S-Wolff-St-Denver-CO-80236/13384904_zpid/,625000.0,"3176 S Wolff Street, Denver, CO 80236",3176 S Wolff Street,Denver,CO,80236,621323.0,2020.0,453200.0,454300.0,462400.0,459300.0,458700.0,464500.0,468000.0,471700.0,469900.0,488500.0,491500.0,495800.0,Harvey Park South
1043,13384904,https://www.zillow.com/homedetails/3176-S-Wolff-St-Denver-CO-80236/13384904_zpid/,625000.0,"3176 S Wolff Street, Denver, CO 80236",3176 S Wolff Street,Denver,CO,80236,621323.0,2019.0,443300.0,441200.0,448100.0,439700.0,431700.0,426500.0,425000.0,416600.0,431000.0,440900.0,446000.0,447900.0,Harvey Park South
1044,13384904,https://www.zillow.com/homedetails/3176-S-Wolff-St-Denver-CO-80236/13384904_zpid/,625000.0,"3176 S Wolff Street, Denver, CO 80236",3176 S Wolff Street,Denver,CO,80236,621323.0,2018.0,396400.0,400900.0,413600.0,420000.0,427800.0,429500.0,432500.0,433600.0,436700.0,431800.0,437700.0,445100.0,Harvey Park South
1045,13384904,https://www.zillow.com/homedetails/3176-S-Wolff-St-Denver-CO-80236/13384904_zpid/,625000.0,"3176 S Wolff Street, Denver, CO 80236",3176 S Wolff Street,Denver,CO,80236,621323.0,2017.0,350700.0,354600.0,362900.0,361300.0,372000.0,374500.0,369300.0,371300.0,374200.0,378800.0,374500.0,383400.0,Harvey Park South
1046,13384904,https://www.zillow.com/homedetails/3176-S-Wolff-St-Denver-CO-80236/13384904_zpid/,625000.0,"3176 S Wolff Street, Denver, CO 80236",3176 S Wolff Street,Denver,CO,80236,621323.0,2016.0,315400.0,318700.0,318800.0,321300.0,322500.0,326500.0,328000.0,329900.0,332500.0,344200.0,350800.0,359500.0,Harvey Park South
1047,13384904,https://www.zillow.com/homedetails/3176-S-Wolff-St-Denver-CO-80236/13384904_zpid/,625000.0,"3176 S Wolff Street, Denver, CO 80236",3176 S Wolff Street,Denver,CO,80236,621323.0,2015.0,275900.0,281400.0,284800.0,287300.0,288700.0,290100.0,295700.0,298100.0,300500.0,304300.0,307000.0,309700.0,Harvey Park South
1048,13384904,https://www.zillow.com/homedetails/3176-S-Wolff-St-Denver-CO-80236/13384904_zpid/,625000.0,"3176 S Wolff Street, Denver, CO 80236",3176 S Wolff Street,Denver,CO,80236,621323.0,2014.0,251400.0,251300.0,252300.0,256700.0,261900.0,258600.00000000003,258100.00000000003,260900.0,265200.0,265300.0,269000.0,271600.0,Harvey Park South
1049,13384904,https://www.zillow.com/homedetails/3176-S-Wolff-St-Denver-CO-80236/13384904_zpid/,625000.0,"3176 S Wolff Street, Denver, CO 80236",3176 S Wolff Street,Denver,CO,80236,621323.0,2013.0,233600.0,235600.0,240700.0,241000.0,248300.0,248800.0,253100.0,239900.0,245100.0,246300.0,247300.0,249100.0,Harvey Park South
5490,13385202,https://www.zillow.com/homedetails/2983-S-Quitman-St-Denver-CO-80236/13385202_zpid/,500000.0,"2983 S Quitman Street, Denver, CO 80236",2983 S Quitman Street,Denver,CO,80236,500000.0,2022.0,461900.0,468100.0,518200.00000000006,544700.0,544400.0,531900.0,515800.0,501000.0,520000.0,499300.0,500000.0,0.0,Harvey Park South
5491,13385202,https://www.zillow.com/homedetails/2983-S-Quitman-St-Denver-CO-80236/13385202_zpid/,500000.0,"2983 S Quitman Street, Denver, CO 80236",2983 S Quitman Street,Denver,CO,80236,500000.0,2021.0,442700.0,446300.0,449200.0,474200.0,489900.0,486000.0,480000.0,461900.0,455100.0,457900.0,456900.0,457600.0,Harvey Park South
5492,13385202,https://www.zillow.com/homedetails/2983-S-Quitman-St-Denver-CO-80236/13385202_zpid/,500000.0,"2983 S Quitman Street, Denver, CO 80236",2983 S Quitman Street,Denver,CO,80236,500000.0,2020.0,408200.0,406900.0,407000.0,409100.0,411800.0,409300.0,407600.0,406500.0,421800.0,426600.0,429100.0,437900.0,Harvey Park South
5493,13385202,https://www.zillow.com/homedetails/2983-S-Quitman-St-Denver-CO-80236/13385202_zpid/,500000.0,"2983 S Quitman Street, Denver, CO 80236",2983 S Quitman Street,Denver,CO,80236,500000.0,2019.0,385000.0,385300.0,389800.0,391300.0,384900.0,394100.0,405100.0,406800.0,408600.0,405300.0,408400.0,409000.0,Harvey Park South
5494,13385202,https://www.zillow.com/homedetails/2983-S-Quitman-St-Denver-CO-80236/13385202_zpid/,500000.0,"2983 S Quitman Street, Denver, CO 80236",2983 S Quitman Street,Denver,CO,80236,500000.0,2018.0,371800.0,370400.0,372700.0,380500.0,388000.0,384000.0,385700.0,384100.0,385400.0,387900.0,389500.0,389300.0,Harvey Park South
5495,13385202,https://www.zillow.com/homedetails/2983-S-Quitman-St-Denver-CO-80236/13385202_zpid/,500000.0,"2983 S Quitman Street, Denver, CO 80236",2983 S Quitman Street,Denver,CO,80236,500000.0,2017.0,330100.0,334400.0,342500.0,346400.0,347300.0,352000.0,352000.0,354300.0,355000.0,358600.0,366700.0,372200.0,Harvey Park South
5496,13385202,https://www.zillow.com/homedetails/2983-S-Quitman-St-Denver-CO-80236/13385202_zpid/,500000.0,"2983 S Quitman Street, Denver, CO 80236",2983 S Quitman Street,Denver,CO,80236,500000.0,2016.0,309000.0,311700.0,313200.0,317800.0,316900.0,320100.0,323500.0,324800.0,327300.0,326900.0,328700.0,330700.0,Harvey Park South
5497,13385202,https://www.zillow.com/homedetails/2983-S-Quitman-St-Denver-CO-80236/13385202_zpid/,500000.0,"2983 S Quitman Street, Denver, CO 80236",2983 S Quitman Street,Denver,CO,80236,500000.0,2015.0,256400.0,260800.0,266900.0,268400.0,272300.0,279100.0,284300.0,287800.0,294700.0,303500.0,307000.0,309500.0,Harvey Park South
5498,13385202,https://www.zillow.com/homedetails/2983-S-Quitman-St-Denver-CO-80236/13385202_zpid/,500000.0,"2983 S Quitman Street, Denver, CO 80236",2983 S Quitman Street,Denver,CO,80236,500000.0,2014.0,249800.0,252600.0,254400.0,259600.00000000003,264100.0,251900.0,255200.0,255500.0,257600.00000000003,258600.00000000003,258500.0,254200.0,Harvey Park South
5499,13385202,https://www.zillow.com/homedetails/2983-S-Quitman-St-Denver-CO-80236/13385202_zpid/,500000.0,"2983 S Quitman Street, Denver, CO 80236",2983 S Quitman Street,Denver,CO,80236,500000.0,2013.0,214500.0,212300.0,210300.0,218700.0,217800.0,219000.0,227900.0,233500.0,233600.0,234400.0,242300.0,248100.0,Harvey Park South
