,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
370,67451139,https://www.zillow.com/homedetails/2580-17th-St-UNIT-111-Denver-CO-80211/67451139_zpid/,435000.0,"2580 17th Street  Unit 111, Denver, CO 80211",2580 17th Street  Unit 111,Denver,CO,80211,430166.0,2022.0,382900.0,389600.0,413900.0,428700.0,428500.0,411900.0,401400.0,393400.0,394100.0,396600.0,430200.0,0.0,Highland
371,67451139,https://www.zillow.com/homedetails/2580-17th-St-UNIT-111-Denver-CO-80211/67451139_zpid/,435000.0,"2580 17th Street  Unit 111, Denver, CO 80211",2580 17th Street  Unit 111,Denver,CO,80211,430166.0,2021.0,364400.0,369400.0,371700.0,380400.0,388300.0,384100.0,374100.0,364700.0,362500.0,367600.0,368300.0,374400.0,Highland
372,67451139,https://www.zillow.com/homedetails/2580-17th-St-UNIT-111-Denver-CO-80211/67451139_zpid/,435000.0,"2580 17th Street  Unit 111, Denver, CO 80211",2580 17th Street  Unit 111,Denver,CO,80211,430166.0,2020.0,352800.0,352300.0,356700.0,364100.0,367100.0,365900.0,372700.0,376100.0,372400.0,367600.0,371000.0,366300.0,Highland
373,67451139,https://www.zillow.com/homedetails/2580-17th-St-UNIT-111-Denver-CO-80211/67451139_zpid/,435000.0,"2580 17th Street  Unit 111, Denver, CO 80211",2580 17th Street  Unit 111,Denver,CO,80211,430166.0,2019.0,360000.0,358900.0,368300.0,365600.0,362600.0,365100.0,365800.0,362600.0,360400.0,347600.0,346300.0,350100.0,Highland
374,67451139,https://www.zillow.com/homedetails/2580-17th-St-UNIT-111-Denver-CO-80211/67451139_zpid/,435000.0,"2580 17th Street  Unit 111, Denver, CO 80211",2580 17th Street  Unit 111,Denver,CO,80211,430166.0,2018.0,333000.0,334600.0,339900.0,342700.0,343800.0,340800.0,348000.0,352700.0,354400.0,353900.0,356900.0,358900.0,Highland
375,67451139,https://www.zillow.com/homedetails/2580-17th-St-UNIT-111-Denver-CO-80211/67451139_zpid/,435000.0,"2580 17th Street  Unit 111, Denver, CO 80211",2580 17th Street  Unit 111,Denver,CO,80211,430166.0,2017.0,308100.0,309800.0,319700.0,319500.0,323000.0,323500.0,324700.0,320600.0,324000.0,325400.0,327600.0,328900.0,Highland
376,67451139,https://www.zillow.com/homedetails/2580-17th-St-UNIT-111-Denver-CO-80211/67451139_zpid/,435000.0,"2580 17th Street  Unit 111, Denver, CO 80211",2580 17th Street  Unit 111,Denver,CO,80211,430166.0,2016.0,309600.0,307300.0,311800.0,304800.0,297600.0,292400.0,293500.0,300500.0,298900.0,296900.0,305900.0,304000.0,Highland
377,67451139,https://www.zillow.com/homedetails/2580-17th-St-UNIT-111-Denver-CO-80211/67451139_zpid/,435000.0,"2580 17th Street  Unit 111, Denver, CO 80211",2580 17th Street  Unit 111,Denver,CO,80211,430166.0,2015.0,250600.0,252900.0,255300.0,268300.0,269600.0,281400.0,294700.0,302500.0,303400.0,297600.0,301700.0,303200.0,Highland
378,67451139,https://www.zillow.com/homedetails/2580-17th-St-UNIT-111-Denver-CO-80211/67451139_zpid/,435000.0,"2580 17th Street  Unit 111, Denver, CO 80211",2580 17th Street  Unit 111,Denver,CO,80211,430166.0,2014.0,217000.0,224200.0,224400.0,226300.0,228800.0,228800.0,228000.0,235600.0,235100.0,239000.0,242400.0,243900.0,Highland
379,67451139,https://www.zillow.com/homedetails/2580-17th-St-UNIT-111-Denver-CO-80211/67451139_zpid/,435000.0,"2580 17th Street  Unit 111, Denver, CO 80211",2580 17th Street  Unit 111,Denver,CO,80211,430166.0,2013.0,188000.0,188200.0,189600.0,194700.0,191300.0,195200.0,198900.0,206600.0,209400.0,213800.0,215500.0,216100.0,Highland
460,68051347,https://www.zillow.com/homedetails/2530-W-35th-Ave-D-Denver-CO-80211/68051347_zpid/,399900.0,"2530 W 35th Avenue  Unit D, Denver, CO 80211",2530 W 35th Avenue  Unit D,Denver,CO,80211,399902.0,2022.0,388400.0,399000.0,449000.0,450600.0,450300.0,446700.0,433000.0,414200.0,415000.0,399800.0,399900.0,0.0,Highland
461,68051347,https://www.zillow.com/homedetails/2530-W-35th-Ave-D-Denver-CO-80211/68051347_zpid/,399900.0,"2530 W 35th Avenue  Unit D, Denver, CO 80211",2530 W 35th Avenue  Unit D,Denver,CO,80211,399902.0,2021.0,376100.0,379200.0,380600.0,420700.0,431500.0,397300.0,378300.0,371800.0,368900.0,369000.0,373900.0,378200.0,Highland
462,68051347,https://www.zillow.com/homedetails/2530-W-35th-Ave-D-Denver-CO-80211/68051347_zpid/,399900.0,"2530 W 35th Avenue  Unit D, Denver, CO 80211",2530 W 35th Avenue  Unit D,Denver,CO,80211,399902.0,2020.0,334700.0,337400.0,348000.0,353800.0,357000.0,359800.0,359500.0,355600.0,356500.0,364100.0,365500.0,368400.0,Highland
