,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
2060,13396979,https://www.zillow.com/homedetails/280-Jersey-St-Denver-CO-80220/13396979_zpid/,1465000.0,"280 Jersey Street, Denver, CO 80220",280 Jersey Street,Denver,CO,80220,1465000.0,2022.0,1800000.0,1800000.0,1900000.0,2000000.0,2000000.0,2100000.0,2000000.0,2000000.0,1900000.0,1900000.0,1500000.0,0.0,Hilltop
2061,13396979,https://www.zillow.com/homedetails/280-Jersey-St-Denver-CO-80220/13396979_zpid/,1465000.0,"280 Jersey Street, Denver, CO 80220",280 Jersey Street,Denver,CO,80220,1465000.0,2021.0,1500000.0,1500000.0,1500000.0,1600000.0,1600000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,Hilltop
2062,13396979,https://www.zillow.com/homedetails/280-Jersey-St-Denver-CO-80220/13396979_zpid/,1465000.0,"280 Jersey Street, Denver, CO 80220",280 Jersey Street,Denver,CO,80220,1465000.0,2020.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1300000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,Hilltop
2063,13396979,https://www.zillow.com/homedetails/280-Jersey-St-Denver-CO-80220/13396979_zpid/,1465000.0,"280 Jersey Street, Denver, CO 80220",280 Jersey Street,Denver,CO,80220,1465000.0,2019.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1300000.0,1400000.0,1400000.0,1400000.0,1400000.0,1300000.0,Hilltop
2064,13396979,https://www.zillow.com/homedetails/280-Jersey-St-Denver-CO-80220/13396979_zpid/,1465000.0,"280 Jersey Street, Denver, CO 80220",280 Jersey Street,Denver,CO,80220,1465000.0,2018.0,1100000.0,1100000.0,1300000.0,1300000.0,1300000.0,1300000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,Hilltop
2065,13396979,https://www.zillow.com/homedetails/280-Jersey-St-Denver-CO-80220/13396979_zpid/,1465000.0,"280 Jersey Street, Denver, CO 80220",280 Jersey Street,Denver,CO,80220,1465000.0,2017.0,1100000.0,1100000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,Hilltop
2066,13396979,https://www.zillow.com/homedetails/280-Jersey-St-Denver-CO-80220/13396979_zpid/,1465000.0,"280 Jersey Street, Denver, CO 80220",280 Jersey Street,Denver,CO,80220,1465000.0,2016.0,1000000.0,1100000.0,1000000.0,1000000.0,1000000.0,1000000.0,1100000.0,1100000.0,1000000.0,1100000.0,1100000.0,1100000.0,Hilltop
2067,13396979,https://www.zillow.com/homedetails/280-Jersey-St-Denver-CO-80220/13396979_zpid/,1465000.0,"280 Jersey Street, Denver, CO 80220",280 Jersey Street,Denver,CO,80220,1465000.0,2015.0,921800.0,933300.0,916800.0,935900.0,970900.0,981900.0,980100.0,973800.0,976400.0,1000000.0,1000000.0,1000000.0,Hilltop
2068,13396979,https://www.zillow.com/homedetails/280-Jersey-St-Denver-CO-80220/13396979_zpid/,1465000.0,"280 Jersey Street, Denver, CO 80220",280 Jersey Street,Denver,CO,80220,1465000.0,2014.0,822700.0,870600.0,875700.0,903100.0,899000.0,902200.0,900500.0,903300.0,936100.0,962100.0,972400.0,976800.0,Hilltop
2069,13396979,https://www.zillow.com/homedetails/280-Jersey-St-Denver-CO-80220/13396979_zpid/,1465000.0,"280 Jersey Street, Denver, CO 80220",280 Jersey Street,Denver,CO,80220,1465000.0,2013.0,805700.0,795900.0,808100.0,836000.0,770300.0,794600.0,793500.0,785600.0,791800.0,804100.0,798700.0,818200.0,Hilltop
