,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
2680,13409932,https://www.zillow.com/homedetails/1530-S-Quebec-Way-APT-33-Denver-CO-80231/13409932_zpid/,550000.0,"1530 S Quebec Way  Unit 33, Denver, CO 80231",1530 S Quebec Way  Unit 33,Denver,CO,80231,549900.0,2022.0,488500.0,496600.0,523000.0,536600.0,531800.0,519000.0,505600.0,499600.0,488900.0,546200.0,550000.0,0.0,Indian Creek
2681,13409932,https://www.zillow.com/homedetails/1530-S-Quebec-Way-APT-33-Denver-CO-80231/13409932_zpid/,550000.0,"1530 S Quebec Way  Unit 33, Denver, CO 80231",1530 S Quebec Way  Unit 33,Denver,CO,80231,549900.0,2021.0,440200.0,441500.0,440900.0,459100.0,469100.0,480300.0,482200.0,476400.0,473500.0,478400.0,480000.0,482300.0,Indian Creek
2682,13409932,https://www.zillow.com/homedetails/1530-S-Quebec-Way-APT-33-Denver-CO-80231/13409932_zpid/,550000.0,"1530 S Quebec Way  Unit 33, Denver, CO 80231",1530 S Quebec Way  Unit 33,Denver,CO,80231,549900.0,2020.0,425200.0,427900.0,431900.0,431300.0,417600.0,413500.0,414600.0,413400.0,423300.0,435200.0,435300.0,437300.0,Indian Creek
2683,13409932,https://www.zillow.com/homedetails/1530-S-Quebec-Way-APT-33-Denver-CO-80231/13409932_zpid/,550000.0,"1530 S Quebec Way  Unit 33, Denver, CO 80231",1530 S Quebec Way  Unit 33,Denver,CO,80231,549900.0,2019.0,390600.0,401000.0,410600.0,401800.0,393400.0,388500.0,402500.0,402400.0,430100.0,425000.0,421200.0,422500.0,Indian Creek
2684,13409932,https://www.zillow.com/homedetails/1530-S-Quebec-Way-APT-33-Denver-CO-80231/13409932_zpid/,550000.0,"1530 S Quebec Way  Unit 33, Denver, CO 80231",1530 S Quebec Way  Unit 33,Denver,CO,80231,549900.0,2018.0,399700.0,402000.0,402600.0,407100.0,411000.0,410100.0,403800.0,396900.0,397000.0,389500.0,390200.0,391200.0,Indian Creek
2685,13409932,https://www.zillow.com/homedetails/1530-S-Quebec-Way-APT-33-Denver-CO-80231/13409932_zpid/,550000.0,"1530 S Quebec Way  Unit 33, Denver, CO 80231",1530 S Quebec Way  Unit 33,Denver,CO,80231,549900.0,2017.0,386500.0,387200.0,392400.0,386900.0,384600.0,382100.0,386900.0,387100.0,389300.0,390900.0,392000.0,392800.0,Indian Creek
2686,13409932,https://www.zillow.com/homedetails/1530-S-Quebec-Way-APT-33-Denver-CO-80231/13409932_zpid/,550000.0,"1530 S Quebec Way  Unit 33, Denver, CO 80231",1530 S Quebec Way  Unit 33,Denver,CO,80231,549900.0,2016.0,352400.0,356600.0,358900.0,365400.0,365500.0,366900.0,367400.0,371200.0,368800.0,365500.0,364100.0,365000.0,Indian Creek
2687,13409932,https://www.zillow.com/homedetails/1530-S-Quebec-Way-APT-33-Denver-CO-80231/13409932_zpid/,550000.0,"1530 S Quebec Way  Unit 33, Denver, CO 80231",1530 S Quebec Way  Unit 33,Denver,CO,80231,549900.0,2015.0,311300.0,315700.0,319800.0,325700.0,332400.0,334900.0,332500.0,334700.0,337800.0,341100.0,345200.0,346800.0,Indian Creek
2688,13409932,https://www.zillow.com/homedetails/1530-S-Quebec-Way-APT-33-Denver-CO-80231/13409932_zpid/,550000.0,"1530 S Quebec Way  Unit 33, Denver, CO 80231",1530 S Quebec Way  Unit 33,Denver,CO,80231,549900.0,2014.0,282500.0,283300.0,285400.0,299800.0,307800.0,310500.0,302700.0,299700.0,308900.0,309300.0,309900.0,310300.0,Indian Creek
2689,13409932,https://www.zillow.com/homedetails/1530-S-Quebec-Way-APT-33-Denver-CO-80231/13409932_zpid/,550000.0,"1530 S Quebec Way  Unit 33, Denver, CO 80231",1530 S Quebec Way  Unit 33,Denver,CO,80231,549900.0,2013.0,242200.0,244600.0,250200.0,252500.0,262000.0,267500.0,279100.0,282600.0,285700.0,288400.0,288200.0,284400.0,Indian Creek
4680,13409828,https://www.zillow.com/homedetails/1772-S-Trenton-St-APT-5-Denver-CO-80231/13409828_zpid/,375000.0,"1772 S Trenton Street  Unit 5, Denver, CO 80231",1772 S Trenton Street  Unit 5,Denver,CO,80231,375000.0,2022.0,305500.0,310500.0,322000.0,326700.0,330000.0,327300.0,322900.0,315500.0,316800.0,317800.0,375000.0,0.0,Indian Creek
4681,13409828,https://www.zillow.com/homedetails/1772-S-Trenton-St-APT-5-Denver-CO-80231/13409828_zpid/,375000.0,"1772 S Trenton Street  Unit 5, Denver, CO 80231",1772 S Trenton Street  Unit 5,Denver,CO,80231,375000.0,2021.0,289900.0,292400.0,294000.0,309900.0,315000.0,305200.0,297000.0,291300.0,290300.0,294600.0,296800.0,299000.0,Indian Creek
4682,13409828,https://www.zillow.com/homedetails/1772-S-Trenton-St-APT-5-Denver-CO-80231/13409828_zpid/,375000.0,"1772 S Trenton Street  Unit 5, Denver, CO 80231",1772 S Trenton Street  Unit 5,Denver,CO,80231,375000.0,2020.0,269200.0,273600.0,276100.0,276700.0,276100.0,277500.0,277600.0,277200.0,274700.0,278900.0,284400.0,287300.0,Indian Creek
