,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
550,13431435,https://www.zillow.com/homedetails/4965-S-Independence-Way-Denver-CO-80123/13431435_zpid/,485000.0,"4965 S Independence Way, Denver, CO 80123",4965 S Independence Way,Denver,CO,80123,485001.0,2022.0,508500.0,532400.0,572300.0,580200.0,576000.0,568300.0,548400.0,523900.0,521800.0,485000.0,485000.0,0.0,Marston
551,13431435,https://www.zillow.com/homedetails/4965-S-Independence-Way-Denver-CO-80123/13431435_zpid/,485000.0,"4965 S Independence Way, Denver, CO 80123",4965 S Independence Way,Denver,CO,80123,485001.0,2021.0,433400.0,435300.0,437500.0,445400.0,456500.0,465400.0,477000.0,476900.0,477300.0,485000.0,491700.0,499400.0,Marston
552,13431435,https://www.zillow.com/homedetails/4965-S-Independence-Way-Denver-CO-80123/13431435_zpid/,485000.0,"4965 S Independence Way, Denver, CO 80123",4965 S Independence Way,Denver,CO,80123,485001.0,2020.0,388500.0,390600.0,397200.0,400800.0,402000.0,408100.0,412200.0,412200.0,413900.0,417600.0,423500.0,428500.0,Marston
553,13431435,https://www.zillow.com/homedetails/4965-S-Independence-Way-Denver-CO-80123/13431435_zpid/,485000.0,"4965 S Independence Way, Denver, CO 80123",4965 S Independence Way,Denver,CO,80123,485001.0,2019.0,388400.0,386000.0,388700.0,385900.0,384100.0,385600.0,389200.0,387900.0,387100.0,385500.0,387100.0,387000.0,Marston
554,13431435,https://www.zillow.com/homedetails/4965-S-Independence-Way-Denver-CO-80123/13431435_zpid/,485000.0,"4965 S Independence Way, Denver, CO 80123",4965 S Independence Way,Denver,CO,80123,485001.0,2018.0,364200.0,365300.0,373300.0,378000.0,380100.0,368100.0,376500.0,382500.0,381400.0,382900.0,384100.0,388000.0,Marston
555,13431435,https://www.zillow.com/homedetails/4965-S-Independence-Way-Denver-CO-80123/13431435_zpid/,485000.0,"4965 S Independence Way, Denver, CO 80123",4965 S Independence Way,Denver,CO,80123,485001.0,2017.0,319000.0,324600.0,330500.0,333600.0,342200.0,352700.0,352800.0,354300.0,353800.0,357100.0,357800.0,363100.0,Marston
556,13431435,https://www.zillow.com/homedetails/4965-S-Independence-Way-Denver-CO-80123/13431435_zpid/,485000.0,"4965 S Independence Way, Denver, CO 80123",4965 S Independence Way,Denver,CO,80123,485001.0,2016.0,294300.0,297100.0,295500.0,300100.0,299700.0,303700.0,304900.0,307000.0,308600.0,310500.0,312600.0,314700.0,Marston
557,13431435,https://www.zillow.com/homedetails/4965-S-Independence-Way-Denver-CO-80123/13431435_zpid/,485000.0,"4965 S Independence Way, Denver, CO 80123",4965 S Independence Way,Denver,CO,80123,485001.0,2015.0,256800.0,262000.0,264900.0,267300.0,269000.0,270500.0,274000.0,277500.0,280100.0,283300.0,285700.0,288800.0,Marston
558,13431435,https://www.zillow.com/homedetails/4965-S-Independence-Way-Denver-CO-80123/13431435_zpid/,485000.0,"4965 S Independence Way, Denver, CO 80123",4965 S Independence Way,Denver,CO,80123,485001.0,2014.0,230700.0,225500.0,232800.0,238300.0,241700.0,241000.0,240100.0,241800.0,242700.0,246000.0,250400.0,253000.0,Marston
559,13431435,https://www.zillow.com/homedetails/4965-S-Independence-Way-Denver-CO-80123/13431435_zpid/,485000.0,"4965 S Independence Way, Denver, CO 80123",4965 S Independence Way,Denver,CO,80123,485001.0,2013.0,211000.0,211200.0,212200.0,216700.0,216800.0,217200.0,219800.0,224300.0,224900.0,226500.0,222900.0,223500.0,Marston
