,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
30,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2022.0,470000.0,476800.0,517100.0,538600.0,542100.0,539800.0,529400.0,516900.0,509500.0,591200.0,580600.0,0.0,Montbello
31,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2021.0,405900.0,415900.0,422300.0,443900.0,460300.0,464900.0,467500.0,459100.0,457900.0,460600.0,462800.0,465800.0,Montbello
32,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2020.0,376800.0,381300.0,387300.0,391500.0,387600.0,387700.0,387900.0,391600.0,397600.0,399200.0,401400.0,403200.0,Montbello
33,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2019.0,374100.0,369700.0,371700.0,365100.0,359900.0,360100.0,360800.0,365700.0,377500.0,377200.0,378800.0,375100.0,Montbello
34,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2018.0,333600.0,336100.0,349900.0,354400.0,355900.0,354600.0,356700.0,358800.0,364000.0,369500.0,370400.0,371800.0,Montbello
35,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2017.0,310400.0,313300.0,317800.0,316900.0,322500.0,318500.0,315600.0,316800.0,319300.0,320300.0,328900.0,330300.0,Montbello
36,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2016.0,281300.0,288100.0,284900.0,286600.0,292800.0,297200.0,298800.0,300100.0,300600.0,301700.0,303100.0,306900.0,Montbello
37,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2015.0,235100.0,240000.0,248200.0,251000.0,251700.0,255200.0,262100.00000000003,267600.0,270800.0,272400.0,274400.0,279900.0,Montbello
38,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2014.0,194800.0,200600.0,204900.0,208000.0,218000.0,215700.0,218900.0,223800.0,230100.0,230600.0,237500.0,234400.0,Montbello
39,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2013.0,166000.0,173100.0,172700.0,181200.0,181400.0,195000.0,200000.0,197900.0,200900.0,193400.0,191300.0,194100.0,Montbello
570,13272308,https://www.zillow.com/homedetails/4983-Altura-St-Denver-CO-80239/13272308_zpid/,461000.0,"4983 Altura Street, Denver, CO 80239",4983 Altura Street,Denver,CO,80239,461001.0,2022.0,439100.0,450700.0,473800.0,482300.0,479900.0,473400.0,462400.0,450500.0,475000.0,455300.0,461000.0,0.0,Montbello
571,13272308,https://www.zillow.com/homedetails/4983-Altura-St-Denver-CO-80239/13272308_zpid/,461000.0,"4983 Altura Street, Denver, CO 80239",4983 Altura Street,Denver,CO,80239,461001.0,2021.0,368500.0,371600.0,372200.0,391200.0,401800.0,413700.0,420000.0,418400.0,419400.0,422600.0,426400.0,432600.0,Montbello
572,13272308,https://www.zillow.com/homedetails/4983-Altura-St-Denver-CO-80239/13272308_zpid/,461000.0,"4983 Altura Street, Denver, CO 80239",4983 Altura Street,Denver,CO,80239,461001.0,2020.0,335200.0,336100.0,336800.0,339700.0,338800.0,340800.0,346600.0,348900.0,352600.0,356600.0,360600.0,364200.0,Montbello
573,13272308,https://www.zillow.com/homedetails/4983-Altura-St-Denver-CO-80239/13272308_zpid/,461000.0,"4983 Altura Street, Denver, CO 80239",4983 Altura Street,Denver,CO,80239,461001.0,2019.0,307300.0,306800.0,305000.0,306500.0,304800.0,310900.0,321100.0,326500.0,323800.0,327200.0,330100.0,332500.0,Montbello
574,13272308,https://www.zillow.com/homedetails/4983-Altura-St-Denver-CO-80239/13272308_zpid/,461000.0,"4983 Altura Street, Denver, CO 80239",4983 Altura Street,Denver,CO,80239,461001.0,2018.0,285000.0,287000.0,291400.0,296200.0,297000.0,298000.0,299600.0,300900.0,303900.0,305700.0,305200.0,308000.0,Montbello
575,13272308,https://www.zillow.com/homedetails/4983-Altura-St-Denver-CO-80239/13272308_zpid/,461000.0,"4983 Altura Street, Denver, CO 80239",4983 Altura Street,Denver,CO,80239,461001.0,2017.0,263600.0,269000.0,274400.0,273400.0,276000.0,276800.0,276600.0,276500.0,278300.0,279500.0,282000.0,284700.0,Montbello
576,13272308,https://www.zillow.com/homedetails/4983-Altura-St-Denver-CO-80239/13272308_zpid/,461000.0,"4983 Altura Street, Denver, CO 80239",4983 Altura Street,Denver,CO,80239,461001.0,2016.0,236900.0,239700.0,241300.0,244200.0,245000.0,249000.0,250800.0,252400.0,253600.0,254900.0,257300.0,258700.0,Montbello
577,13272308,https://www.zillow.com/homedetails/4983-Altura-St-Denver-CO-80239/13272308_zpid/,461000.0,"4983 Altura Street, Denver, CO 80239",4983 Altura Street,Denver,CO,80239,461001.0,2015.0,188800.0,191600.0,199100.0,200600.0,201700.0,202700.0,209400.0,222700.0,226300.0,229300.0,232200.0,233300.0,Montbello
578,13272308,https://www.zillow.com/homedetails/4983-Altura-St-Denver-CO-80239/13272308_zpid/,461000.0,"4983 Altura Street, Denver, CO 80239",4983 Altura Street,Denver,CO,80239,461001.0,2014.0,170000.0,173400.0,174700.0,170700.0,179000.0,183200.0,183300.0,182200.0,179800.0,180700.0,183200.0,185400.0,Montbello
579,13272308,https://www.zillow.com/homedetails/4983-Altura-St-Denver-CO-80239/13272308_zpid/,461000.0,"4983 Altura Street, Denver, CO 80239",4983 Altura Street,Denver,CO,80239,461001.0,2013.0,135700.0,135400.0,148600.0,153300.0,153400.0,156400.0,158100.0,156800.0,159500.0,161900.0,164300.0,168800.0,Montbello
830,13278684,https://www.zillow.com/homedetails/12423-Edwards-Pl-Denver-CO-80239/13278684_zpid/,474973.0,"12423 Edwards Place, Denver, CO 80239",12423 Edwards Place,Denver,CO,80239,467800.0,2022.0,351300.0,352300.0,380600.0,394400.0,401200.0,400300.0,393700.0,385300.0,380200.0,466400.0,467800.0,0.0,Montbello
831,13278684,https://www.zillow.com/homedetails/12423-Edwards-Pl-Denver-CO-80239/13278684_zpid/,474973.0,"12423 Edwards Place, Denver, CO 80239",12423 Edwards Place,Denver,CO,80239,467800.0,2021.0,368800.0,373200.0,375800.0,391700.0,396700.0,367700.0,355100.0,346400.0,346500.0,349500.0,347800.0,347900.0,Montbello
832,13278684,https://www.zillow.com/homedetails/12423-Edwards-Pl-Denver-CO-80239/13278684_zpid/,474973.0,"12423 Edwards Place, Denver, CO 80239",12423 Edwards Place,Denver,CO,80239,467800.0,2020.0,309200.0,317200.0,318700.0,318500.0,323800.0,334300.0,343400.0,345900.0,349700.0,357200.0,361700.0,365600.0,Montbello
833,13278684,https://www.zillow.com/homedetails/12423-Edwards-Pl-Denver-CO-80239/13278684_zpid/,474973.0,"12423 Edwards Place, Denver, CO 80239",12423 Edwards Place,Denver,CO,80239,467800.0,2019.0,303100.0,310400.0,309600.0,304200.0,308300.0,307700.0,307600.0,311200.0,311500.0,308600.0,306800.0,310200.0,Montbello
834,13278684,https://www.zillow.com/homedetails/12423-Edwards-Pl-Denver-CO-80239/13278684_zpid/,474973.0,"12423 Edwards Place, Denver, CO 80239",12423 Edwards Place,Denver,CO,80239,467800.0,2018.0,261700.0,264900.0,272400.0,278300.0,284400.0,290000.0,297900.0,301200.0,305400.0,309000.0,305900.0,304500.0,Montbello
835,13278684,https://www.zillow.com/homedetails/12423-Edwards-Pl-Denver-CO-80239/13278684_zpid/,474973.0,"12423 Edwards Place, Denver, CO 80239",12423 Edwards Place,Denver,CO,80239,467800.0,2017.0,240400.0,244900.0,255100.0,258000.0,259200.0,255000.0,254200.0,251600.0,249800.0,250000.0,267200.0,263900.0,Montbello
836,13278684,https://www.zillow.com/homedetails/12423-Edwards-Pl-Denver-CO-80239/13278684_zpid/,474973.0,"12423 Edwards Place, Denver, CO 80239",12423 Edwards Place,Denver,CO,80239,467800.0,2016.0,228300.0,229900.0,230800.0,235900.0,239400.0,242100.0,241500.0,245300.0,244400.0,245100.0,247000.0,251000.0,Montbello
