,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
2410,52963975,https://www.zillow.com/homedetails/1747-N-Washington-St-C103-Denver-CO-80203/52963975_zpid/,485000.0,"1747 Washington Street  Unit C103, Denver, CO 80203",1747 Washington Street  Unit C103,Denver,CO,80203,474374.0,2022.0,501300.0,512400.0,536200.0,543800.0,546000.0,539400.0,527600.0,514900.0,514000.0,477100.0,474900.0,0.0,North Capitol Hill
2411,52963975,https://www.zillow.com/homedetails/1747-N-Washington-St-C103-Denver-CO-80203/52963975_zpid/,485000.0,"1747 Washington Street  Unit C103, Denver, CO 80203",1747 Washington Street  Unit C103,Denver,CO,80203,474374.0,2021.0,453500.0,455100.0,454100.0,470200.0,479500.0,485900.0,486700.0,484200.0,485000.0,490600.0,493400.0,495400.0,North Capitol Hill
2412,52963975,https://www.zillow.com/homedetails/1747-N-Washington-St-C103-Denver-CO-80203/52963975_zpid/,485000.0,"1747 Washington Street  Unit C103, Denver, CO 80203",1747 Washington Street  Unit C103,Denver,CO,80203,474374.0,2020.0,433800.0,435200.0,439600.0,441500.0,442800.0,447300.0,449100.0,447800.0,446700.0,443700.0,447600.0,448400.0,North Capitol Hill
2413,52963975,https://www.zillow.com/homedetails/1747-N-Washington-St-C103-Denver-CO-80203/52963975_zpid/,485000.0,"1747 Washington Street  Unit C103, Denver, CO 80203",1747 Washington Street  Unit C103,Denver,CO,80203,474374.0,2019.0,425300.0,427700.0,426300.0,426900.0,427700.0,431800.0,432000.0,433300.0,427300.0,426900.0,428700.0,431700.0,North Capitol Hill
2414,52963975,https://www.zillow.com/homedetails/1747-N-Washington-St-C103-Denver-CO-80203/52963975_zpid/,485000.0,"1747 Washington Street  Unit C103, Denver, CO 80203",1747 Washington Street  Unit C103,Denver,CO,80203,474374.0,2018.0,422500.0,425700.0,432100.0,439000.0,441600.0,442900.0,445000.0,441700.0,436700.0,428600.0,426800.0,425100.0,North Capitol Hill
2415,52963975,https://www.zillow.com/homedetails/1747-N-Washington-St-C103-Denver-CO-80203/52963975_zpid/,485000.0,"1747 Washington Street  Unit C103, Denver, CO 80203",1747 Washington Street  Unit C103,Denver,CO,80203,474374.0,2017.0,392900.0,398800.0,405800.0,406200.0,409500.0,411300.0,411300.0,411300.0,414500.0,415000.0,418400.0,421600.0,North Capitol Hill
2416,52963975,https://www.zillow.com/homedetails/1747-N-Washington-St-C103-Denver-CO-80203/52963975_zpid/,485000.0,"1747 Washington Street  Unit C103, Denver, CO 80203",1747 Washington Street  Unit C103,Denver,CO,80203,474374.0,2016.0,360700.0,364600.0,364100.0,367500.0,367300.0,371900.0,374000.0,376900.0,378300.0,380100.0,383700.0,386000.0,North Capitol Hill
2417,52963975,https://www.zillow.com/homedetails/1747-N-Washington-St-C103-Denver-CO-80203/52963975_zpid/,485000.0,"1747 Washington Street  Unit C103, Denver, CO 80203",1747 Washington Street  Unit C103,Denver,CO,80203,474374.0,2015.0,334200.0,330400.0,336500.0,335800.0,349000.0,338700.0,336000.0,341100.0,343700.0,347200.0,350300.0,353800.0,North Capitol Hill
2418,52963975,https://www.zillow.com/homedetails/1747-N-Washington-St-C103-Denver-CO-80203/52963975_zpid/,485000.0,"1747 Washington Street  Unit C103, Denver, CO 80203",1747 Washington Street  Unit C103,Denver,CO,80203,474374.0,2014.0,300200.0,301700.0,306600.0,309200.0,319300.0,317300.0,318700.0,320400.0,316700.0,322300.0,328400.0,332300.0,North Capitol Hill
2419,52963975,https://www.zillow.com/homedetails/1747-N-Washington-St-C103-Denver-CO-80203/52963975_zpid/,485000.0,"1747 Washington Street  Unit C103, Denver, CO 80203",1747 Washington Street  Unit C103,Denver,CO,80203,474374.0,2013.0,270300.0,272600.0,271600.0,278000.0,284700.0,288300.0,291300.0,294300.0,293300.0,294200.0,294800.0,300700.0,North Capitol Hill
3540,123601333,https://www.zillow.com/homedetails/1818-N-Clarkson-St-UNIT-105-Denver-CO-80218/123601333_zpid/,774000.0,"1818 N Clarkson St UNIT #105, Denver, CO 80218",1818 N Clarkson St UNIT #105,Denver,CO,80218,767795.0,2022.0,742400.0,763100.0,797300.0,812300.0,816100.0,807000.0,789600.0,783300.0,793700.0,793000.0,767800.0,0.0,North Capitol Hill
3541,123601333,https://www.zillow.com/homedetails/1818-N-Clarkson-St-UNIT-105-Denver-CO-80218/123601333_zpid/,774000.0,"1818 N Clarkson St UNIT #105, Denver, CO 80218",1818 N Clarkson St UNIT #105,Denver,CO,80218,767795.0,2021.0,625600.0,630900.0,635900.0,663200.0,680500.0,689400.0,703600.0,704100.0,708700.0,721100.0,732900.0,741400.0,North Capitol Hill
3542,123601333,https://www.zillow.com/homedetails/1818-N-Clarkson-St-UNIT-105-Denver-CO-80218/123601333_zpid/,774000.0,"1818 N Clarkson St UNIT #105, Denver, CO 80218",1818 N Clarkson St UNIT #105,Denver,CO,80218,767795.0,2020.0,603300.0,608600.0,618500.0,627100.0,622200.0,619800.0,612800.0,612400.0,616100.0,616100.0,616900.0,622500.0,North Capitol Hill
3543,123601333,https://www.zillow.com/homedetails/1818-N-Clarkson-St-UNIT-105-Denver-CO-80218/123601333_zpid/,774000.0,"1818 N Clarkson St UNIT #105, Denver, CO 80218",1818 N Clarkson St UNIT #105,Denver,CO,80218,767795.0,2019.0,689200.0,687300.0,660500.0,637900.0,601600.0,601900.0,597800.0,596000.0,602300.0,600300.0,599300.0,600300.0,North Capitol Hill
3544,123601333,https://www.zillow.com/homedetails/1818-N-Clarkson-St-UNIT-105-Denver-CO-80218/123601333_zpid/,774000.0,"1818 N Clarkson St UNIT #105, Denver, CO 80218",1818 N Clarkson St UNIT #105,Denver,CO,80218,767795.0,2018.0,637900.0,642300.0,653500.0,660900.0,667500.0,667300.0,670700.0,673000.0,679600.0,683100.0,685500.0,691600.0,North Capitol Hill
3545,123601333,https://www.zillow.com/homedetails/1818-N-Clarkson-St-UNIT-105-Denver-CO-80218/123601333_zpid/,774000.0,"1818 N Clarkson St UNIT #105, Denver, CO 80218",1818 N Clarkson St UNIT #105,Denver,CO,80218,767795.0,2017.0,591300.0,602400.0,613200.0,613800.0,618600.0,621700.0,621800.0,619400.0,623200.0,626300.0,632500.0,637700.0,North Capitol Hill
3546,123601333,https://www.zillow.com/homedetails/1818-N-Clarkson-St-UNIT-105-Denver-CO-80218/123601333_zpid/,774000.0,"1818 N Clarkson St UNIT #105, Denver, CO 80218",1818 N Clarkson St UNIT #105,Denver,CO,80218,767795.0,2016.0,534000.0,539000.0,543600.0,550200.0,554300.0,560300.0,561400.0,564700.0,568600.0,571500.0,576700.0,579100.0,North Capitol Hill
3547,123601333,https://www.zillow.com/homedetails/1818-N-Clarkson-St-UNIT-105-Denver-CO-80218/123601333_zpid/,774000.0,"1818 N Clarkson St UNIT #105, Denver, CO 80218",1818 N Clarkson St UNIT #105,Denver,CO,80218,767795.0,2015.0,468100.0,477900.0,481300.0,484900.0,487400.0,490300.0,500300.0,506000.0,510100.0,516100.0,520500.0,524700.0,North Capitol Hill
3548,123601333,https://www.zillow.com/homedetails/1818-N-Clarkson-St-UNIT-105-Denver-CO-80218/123601333_zpid/,774000.0,"1818 N Clarkson St UNIT #105, Denver, CO 80218",1818 N Clarkson St UNIT #105,Denver,CO,80218,767795.0,2014.0,340300.0,323000.0,334700.0,347900.0,362200.0,363200.0,331700.0,332700.0,451000.0,453000.0,457100.0,461500.0,North Capitol Hill
3549,123601333,https://www.zillow.com/homedetails/1818-N-Clarkson-St-UNIT-105-Denver-CO-80218/123601333_zpid/,774000.0,"1818 N Clarkson St UNIT #105, Denver, CO 80218",1818 N Clarkson St UNIT #105,Denver,CO,80218,767795.0,2013.0,330000.0,333000.0,344500.0,354300.0,291800.0,281900.0,298100.0,297800.0,292900.0,330000.0,321900.0,318800.0,North Capitol Hill
3630,13321456,https://www.zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,849000.0,"1582 N Emerson Street, Denver, CO 80218",1582 N Emerson Street,Denver,CO,80218,891900.0,2022.0,874400.0,902300.0,948600.0,959100.0,965500.0,954200.0,924500.0,894300.0,886000.0,892500.0,893300.0,0.0,North Capitol Hill
3631,13321456,https://www.zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,849000.0,"1582 N Emerson Street, Denver, CO 80218",1582 N Emerson Street,Denver,CO,80218,891900.0,2021.0,709400.0,718900.0,721400.0,758100.0,775000.0,833500.0,853300.0,841400.0,851300.0,860900.0,862700.0,868900.0,North Capitol Hill
3632,13321456,https://www.zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,849000.0,"1582 N Emerson Street, Denver, CO 80218",1582 N Emerson Street,Denver,CO,80218,891900.0,2020.0,652400.0,653700.0,657800.0,665000.0,664800.0,670500.0,675300.0,675600.0,665300.0,675300.0,704100.0,707000.0,North Capitol Hill
3633,13321456,https://www.zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,849000.0,"1582 N Emerson Street, Denver, CO 80218",1582 N Emerson Street,Denver,CO,80218,891900.0,2019.0,662300.0,653600.0,655100.0,654800.0,654900.0,643300.0,646200.0,617600.0,645000.0,647000.0,649300.0,650500.0,North Capitol Hill
3634,13321456,https://www.zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,849000.0,"1582 N Emerson Street, Denver, CO 80218",1582 N Emerson Street,Denver,CO,80218,891900.0,2018.0,691700.0,727600.0,642100.0,636300.0,638400.0,639500.0,649800.0,664000.0,675800.0,687800.0,683900.0,669200.0,North Capitol Hill
3635,13321456,https://www.zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,849000.0,"1582 N Emerson Street, Denver, CO 80218",1582 N Emerson Street,Denver,CO,80218,891900.0,2017.0,597000.0,590800.0,594200.0,579600.0,590700.0,593900.0,598500.0,610800.0,625500.0,627100.0,633300.0,627500.0,North Capitol Hill
3636,13321456,https://www.zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,849000.0,"1582 N Emerson Street, Denver, CO 80218",1582 N Emerson Street,Denver,CO,80218,891900.0,2016.0,594200.0,599100.0,617600.0,605700.0,621300.0,618700.0,614800.0,614800.0,614800.0,598200.0,592600.0,604800.0,North Capitol Hill
3637,13321456,https://www.zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,849000.0,"1582 N Emerson Street, Denver, CO 80218",1582 N Emerson Street,Denver,CO,80218,891900.0,2015.0,528000.0,559300.0,581600.0,568900.0,573900.0,578700.0,585700.0,584800.0,587900.0,598400.0,602100.0,589200.0,North Capitol Hill
3638,13321456,https://www.zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,849000.0,"1582 N Emerson Street, Denver, CO 80218",1582 N Emerson Street,Denver,CO,80218,891900.0,2014.0,472700.0,466100.0,465000.0,482500.0,488600.0,478000.0,488200.0,473400.0,478700.0,487600.0,515600.0,523700.00000000006,North Capitol Hill
