,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
2290,13280620,https://www.zillow.com/homedetails/3501-Newport-St-Denver-CO-80207/13280620_zpid/,515999.0,"3501 Newport Street, Denver, CO 80207",3501 Newport Street,Denver,CO,80207,510300.0,2022.0,448500.0,454300.0,506400.0,532300.0,532100.0,518300.0,501500.0,485700.0,476700.0,475200.0,510300.0,0.0,Northeast Park Hill
2291,13280620,https://www.zillow.com/homedetails/3501-Newport-St-Denver-CO-80207/13280620_zpid/,515999.0,"3501 Newport Street, Denver, CO 80207",3501 Newport Street,Denver,CO,80207,510300.0,2021.0,457600.0,463800.0,468700.0,493100.0,515100.0,487100.0,470200.0,450500.0,441600.0,441800.0,443500.0,442300.0,Northeast Park Hill
2292,13280620,https://www.zillow.com/homedetails/3501-Newport-St-Denver-CO-80207/13280620_zpid/,515999.0,"3501 Newport Street, Denver, CO 80207",3501 Newport Street,Denver,CO,80207,510300.0,2020.0,402800.0,407200.0,418800.0,427600.0,433100.0,432900.0,427000.0,426200.0,431500.0,432800.0,440300.0,449900.0,Northeast Park Hill
2293,13280620,https://www.zillow.com/homedetails/3501-Newport-St-Denver-CO-80207/13280620_zpid/,515999.0,"3501 Newport Street, Denver, CO 80207",3501 Newport Street,Denver,CO,80207,510300.0,2019.0,407100.0,411300.0,405900.0,407500.0,404900.0,401100.0,397700.0,423700.0,413500.0,415500.0,409000.0,401500.0,Northeast Park Hill
2294,13280620,https://www.zillow.com/homedetails/3501-Newport-St-Denver-CO-80207/13280620_zpid/,515999.0,"3501 Newport Street, Denver, CO 80207",3501 Newport Street,Denver,CO,80207,510300.0,2018.0,399700.0,394800.0,407800.0,416500.0,410000.0,404900.0,408600.0,405400.0,405200.0,409600.0,415500.0,406900.0,Northeast Park Hill
2295,13280620,https://www.zillow.com/homedetails/3501-Newport-St-Denver-CO-80207/13280620_zpid/,515999.0,"3501 Newport Street, Denver, CO 80207",3501 Newport Street,Denver,CO,80207,510300.0,2017.0,362800.0,370400.0,382700.0,382400.0,387300.0,387700.0,392600.0,398400.0,406900.0,408200.0,407100.0,410800.0,Northeast Park Hill
2296,13280620,https://www.zillow.com/homedetails/3501-Newport-St-Denver-CO-80207/13280620_zpid/,515999.0,"3501 Newport Street, Denver, CO 80207",3501 Newport Street,Denver,CO,80207,510300.0,2016.0,328700.0,328400.0,330500.0,332600.0,335300.0,333600.0,334800.0,337800.0,340600.0,341300.0,350800.0,355900.0,Northeast Park Hill
2297,13280620,https://www.zillow.com/homedetails/3501-Newport-St-Denver-CO-80207/13280620_zpid/,515999.0,"3501 Newport Street, Denver, CO 80207",3501 Newport Street,Denver,CO,80207,510300.0,2015.0,251600.0,267700.0,267700.0,276800.0,272600.0,271300.0,281800.0,286500.0,295100.0,302700.0,310700.0,316800.0,Northeast Park Hill
2298,13280620,https://www.zillow.com/homedetails/3501-Newport-St-Denver-CO-80207/13280620_zpid/,515999.0,"3501 Newport Street, Denver, CO 80207",3501 Newport Street,Denver,CO,80207,510300.0,2014.0,233600.0,230500.0,226200.0,233400.0,243100.0,244500.0,244400.0,247000.0,251600.0,251500.0,253500.0,256000.0,Northeast Park Hill
2299,13280620,https://www.zillow.com/homedetails/3501-Newport-St-Denver-CO-80207/13280620_zpid/,515999.0,"3501 Newport Street, Denver, CO 80207",3501 Newport Street,Denver,CO,80207,510300.0,2013.0,194300.0,195500.0,204000.0,202500.0,203600.0,210500.0,216800.0,224800.0,219600.0,223100.0,228100.0,233800.0,Northeast Park Hill
2310,58684093,https://www.zillow.com/homedetails/3559-N-Dahlia-St-Denver-CO-80207/58684093_zpid/,549900.0,"3559 Dahlia Street, Denver, CO 80207",3559 Dahlia Street,Denver,CO,80207,541493.0,2022.0,524500.0,540500.0,583100.0,600300.0,597600.0,591100.0,573500.0,614900.0,584000.0,548900.0,541500.0,0.0,Northeast Park Hill
2311,58684093,https://www.zillow.com/homedetails/3559-N-Dahlia-St-Denver-CO-80207/58684093_zpid/,549900.0,"3559 Dahlia Street, Denver, CO 80207",3559 Dahlia Street,Denver,CO,80207,541493.0,2021.0,448400.0,455800.0,467800.0,506000.0,527900.0,522000.0,511700.0,502500.0,500600.0,503600.0,509700.0,515800.0,Northeast Park Hill
2312,58684093,https://www.zillow.com/homedetails/3559-N-Dahlia-St-Denver-CO-80207/58684093_zpid/,549900.0,"3559 Dahlia Street, Denver, CO 80207",3559 Dahlia Street,Denver,CO,80207,541493.0,2020.0,409300.0,415200.0,416300.0,416100.0,416800.0,420800.0,418000.0,422000.0,419900.0,424300.0,437900.0,444300.0,Northeast Park Hill
2313,58684093,https://www.zillow.com/homedetails/3559-N-Dahlia-St-Denver-CO-80207/58684093_zpid/,549900.0,"3559 Dahlia Street, Denver, CO 80207",3559 Dahlia Street,Denver,CO,80207,541493.0,2019.0,404400.0,405200.0,406200.0,408000.0,405700.0,405800.0,409600.0,407800.0,407500.0,405900.0,404900.0,407800.0,Northeast Park Hill
2314,58684093,https://www.zillow.com/homedetails/3559-N-Dahlia-St-Denver-CO-80207/58684093_zpid/,549900.0,"3559 Dahlia Street, Denver, CO 80207",3559 Dahlia Street,Denver,CO,80207,541493.0,2018.0,393400.0,396500.0,405200.0,406200.0,410900.0,419400.0,416500.0,401700.0,394100.0,399800.0,400600.0,406100.0,Northeast Park Hill
2315,58684093,https://www.zillow.com/homedetails/3559-N-Dahlia-St-Denver-CO-80207/58684093_zpid/,549900.0,"3559 Dahlia Street, Denver, CO 80207",3559 Dahlia Street,Denver,CO,80207,541493.0,2017.0,372600.0,381400.0,398300.0,392100.0,387700.0,383400.0,381900.0,383800.0,381900.0,385800.0,391100.0,391500.0,Northeast Park Hill
