,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1710,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,299000.0,"2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000.0,2022.0,327800.0,331600.0,350800.0,361200.0,376100.0,379600.0,366600.0,350400.0,320000.0,299000.0,299000.0,0.0,Overland
1711,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,299000.0,"2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000.0,2021.0,347900.0,354800.0,357300.0,380200.0,385700.0,349400.0,330000.0,318900.0,317600.0,320200.0,322400.0,324000.0,Overland
1712,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,299000.0,"2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000.0,2020.0,303400.0,308000.0,312000.0,314100.0,319600.0,321600.0,317700.0,314500.0,331300.0,344700.0,334600.0,337000.0,Overland
1713,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,299000.0,"2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000.0,2019.0,303500.0,303000.0,301900.0,304300.0,303200.0,300700.0,304300.0,301600.0,305000.0,304600.0,300300.0,300700.0,Overland
1714,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,299000.0,"2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000.0,2018.0,290700.0,289200.0,287500.0,289100.0,291500.0,291900.0,293000.0,294700.0,291100.0,296200.0,296300.0,300300.0,Overland
1715,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,299000.0,"2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000.0,2017.0,262700.0,262200.0,267000.0,267800.0,274400.0,276400.0,277700.0,278700.0,276100.0,274500.0,279200.0,278900.0,Overland
1716,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,299000.0,"2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000.0,2016.0,215300.0,217100.0,224200.0,229800.0,234900.0,250000.0,250900.0,251500.0,252800.0,253900.0,255500.0,257900.0,Overland
1717,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,299000.0,"2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overland
1718,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,299000.0,"2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overland
1719,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,299000.0,"2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overland
