,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
510,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,1025000.0,"2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700.0,2022.0,828500.0,851800.0,910700.0,939000.0,951300.0,951200.0,915800.0,870100.0,883500.0,897300.0,1000000.0,0.0,Platt Park
511,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,1025000.0,"2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700.0,2021.0,779000.0,783000.0,791700.0,817500.0,844300.0,832800.0,814200.0,793600.0,790800.0,796300.0,803900.0,815400.0,Platt Park
512,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,1025000.0,"2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700.0,2020.0,715400.0,732400.0,747800.0,764700.0,753000.0,752800.0,747900.0,750600.0,739300.0,752700.0,756500.0,767600.0,Platt Park
513,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,1025000.0,"2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700.0,2019.0,641000.0,637600.0,631800.0,642600.0,638400.0,629900.0,630500.0,631000.0,715000.0,713200.0,706400.0,706000.0,Platt Park
514,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,1025000.0,"2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700.0,2018.0,657300.0,672500.0,599200.0,606100.0,612500.0,613000.0,616900.0,618300.0,624600.0,627100.0,630700.0,633700.0,Platt Park
515,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,1025000.0,"2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700.0,2017.0,632900.0,639200.0,652700.0,657200.0,654100.0,655100.0,661800.0,658300.0,652900.0,663900.0,664000.0,659300.0,Platt Park
516,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,1025000.0,"2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700.0,2016.0,591200.0,591800.0,597900.0,598800.0,606200.0,621200.0,627400.0,630300.0,633100.0,627900.0,633400.0,628300.0,Platt Park
517,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,1025000.0,"2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700.0,2015.0,374700.0,382300.0,385800.0,388900.0,391200.0,393500.0,400700.0,405300.0,455000.0,520600.0,574400.0,584800.0,Platt Park
518,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,1025000.0,"2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700.0,2014.0,337900.0,339200.0,341900.0,349000.0,355800.0,351100.0,349700.0,353000.0,357800.0,360400.0,366200.0,369800.0,Platt Park
519,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,1025000.0,"2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700.0,2013.0,313900.0,315400.0,316000.0,320400.0,326900.0,330600.0,335600.0,334400.0,333700.0,334800.0,332500.0,334400.0,Platt Park
