,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
4700,13376628,https://www.zillow.com/homedetails/2235-S-Downing-St-Denver-CO-80210/13376628_zpid/,525000.0,"2235 S Downing Street, Denver, CO 80210",2235 S Downing Street,Denver,CO,80210,516600.0,2022.0,545900.0,550600.0,604800.0,630900.0,622800.0,613200.0,593000.0,573800.0,565600.0,564300.0,520600.0,0.0,Rosedale
4701,13376628,https://www.zillow.com/homedetails/2235-S-Downing-St-Denver-CO-80210/13376628_zpid/,525000.0,"2235 S Downing Street, Denver, CO 80210",2235 S Downing Street,Denver,CO,80210,516600.0,2021.0,549100.0,557700.0,563100.0,594500.0,615400.0,587800.0,568800.0,545100.0,533600.0,535200.0,536000.0,537100.0,Rosedale
4702,13376628,https://www.zillow.com/homedetails/2235-S-Downing-St-Denver-CO-80210/13376628_zpid/,525000.0,"2235 S Downing Street, Denver, CO 80210",2235 S Downing Street,Denver,CO,80210,516600.0,2020.0,487700.0,495000.0,499200.0,496700.0,501700.0,502500.0,506500.0,514000.0,508000.0,518100.0,531400.0,538600.0,Rosedale
4703,13376628,https://www.zillow.com/homedetails/2235-S-Downing-St-Denver-CO-80210/13376628_zpid/,525000.0,"2235 S Downing Street, Denver, CO 80210",2235 S Downing Street,Denver,CO,80210,516600.0,2019.0,495400.0,497600.0,496800.0,498300.0,494900.0,498100.0,495800.0,495300.0,490900.0,490400.0,489000.0,488800.0,Rosedale
4704,13376628,https://www.zillow.com/homedetails/2235-S-Downing-St-Denver-CO-80210/13376628_zpid/,525000.0,"2235 S Downing Street, Denver, CO 80210",2235 S Downing Street,Denver,CO,80210,516600.0,2018.0,441400.0,441700.0,472100.0,470600.0,478700.0,483500.0,488900.0,488900.0,485200.0,487600.0,489000.0,497800.0,Rosedale
4705,13376628,https://www.zillow.com/homedetails/2235-S-Downing-St-Denver-CO-80210/13376628_zpid/,525000.0,"2235 S Downing Street, Denver, CO 80210",2235 S Downing Street,Denver,CO,80210,516600.0,2017.0,419700.0,425700.0,434600.0,434600.0,439800.0,443700.0,444500.0,438500.0,444100.0,439100.0,434200.0,446600.0,Rosedale
4706,13376628,https://www.zillow.com/homedetails/2235-S-Downing-St-Denver-CO-80210/13376628_zpid/,525000.0,"2235 S Downing Street, Denver, CO 80210",2235 S Downing Street,Denver,CO,80210,516600.0,2016.0,369200.0,372600.0,373400.0,375400.0,376200.0,379800.0,382800.0,385000.0,390100.0,391800.0,399400.0,417400.0,Rosedale
4707,13376628,https://www.zillow.com/homedetails/2235-S-Downing-St-Denver-CO-80210/13376628_zpid/,525000.0,"2235 S Downing Street, Denver, CO 80210",2235 S Downing Street,Denver,CO,80210,516600.0,2015.0,300000.0,309200.0,315800.0,323000.0,338700.0,339000.0,340700.0,344700.0,355800.0,356300.0,357300.0,363900.0,Rosedale
4708,13376628,https://www.zillow.com/homedetails/2235-S-Downing-St-Denver-CO-80210/13376628_zpid/,525000.0,"2235 S Downing Street, Denver, CO 80210",2235 S Downing Street,Denver,CO,80210,516600.0,2014.0,276300.0,276300.0,276900.0,279000.0,283700.0,285500.0,285100.0,290700.0,292700.0,296600.0,296300.0,307700.0,Rosedale
4709,13376628,https://www.zillow.com/homedetails/2235-S-Downing-St-Denver-CO-80210/13376628_zpid/,525000.0,"2235 S Downing Street, Denver, CO 80210",2235 S Downing Street,Denver,CO,80210,516600.0,2013.0,251100.0,254400.0,260300.0,264000.0,260600.00000000003,262400.0,264200.0,267800.0,274400.0,272300.0,271400.0,272600.0,Rosedale
5060,13376790,https://www.zillow.com/homedetails/2636-S-Pearl-St-Denver-CO-80210/13376790_zpid/,678850.0,"2636 S Pearl Street, Denver, CO 80210",2636 S Pearl Street,Denver,CO,80210,668451.0,2022.0,675200.0,698100.0,751000.0,777400.0,773400.0,750800.0,720700.0,696800.0,729000.0,667600.0,667300.0,0.0,Rosedale
5061,13376790,https://www.zillow.com/homedetails/2636-S-Pearl-St-Denver-CO-80210/13376790_zpid/,678850.0,"2636 S Pearl Street, Denver, CO 80210",2636 S Pearl Street,Denver,CO,80210,668451.0,2021.0,555600.0,557800.0,561600.0,571200.0,584900.0,638500.0,659500.0,651800.0,650000.0,651700.0,654600.0,663700.0,Rosedale
5062,13376790,https://www.zillow.com/homedetails/2636-S-Pearl-St-Denver-CO-80210/13376790_zpid/,678850.0,"2636 S Pearl Street, Denver, CO 80210",2636 S Pearl Street,Denver,CO,80210,668451.0,2020.0,511600.0,516000.0,522900.0,524200.00000000006,520500.0,528400.0,525200.0,525300.0,531400.0,538400.0,544000.0,549700.0,Rosedale
5063,13376790,https://www.zillow.com/homedetails/2636-S-Pearl-St-Denver-CO-80210/13376790_zpid/,678850.0,"2636 S Pearl Street, Denver, CO 80210",2636 S Pearl Street,Denver,CO,80210,668451.0,2019.0,483500.0,486700.0,486900.0,485500.0,483300.0,520000.0,520000.0,505500.0,506500.0,506300.0,506200.0,510200.0,Rosedale
5064,13376790,https://www.zillow.com/homedetails/2636-S-Pearl-St-Denver-CO-80210/13376790_zpid/,678850.0,"2636 S Pearl Street, Denver, CO 80210",2636 S Pearl Street,Denver,CO,80210,668451.0,2018.0,470100.0,475700.0,497900.0,495700.0,503000.0,492200.0,492900.0,486300.0,480600.0,480500.0,480600.0,485200.0,Rosedale
5065,13376790,https://www.zillow.com/homedetails/2636-S-Pearl-St-Denver-CO-80210/13376790_zpid/,678850.0,"2636 S Pearl Street, Denver, CO 80210",2636 S Pearl Street,Denver,CO,80210,668451.0,2017.0,437300.0,449500.0,467700.0,477500.0,484000.0,487200.0,488400.0,492000.0,485000.0,476100.0,476500.0,474700.0,Rosedale
5066,13376790,https://www.zillow.com/homedetails/2636-S-Pearl-St-Denver-CO-80210/13376790_zpid/,678850.0,"2636 S Pearl Street, Denver, CO 80210",2636 S Pearl Street,Denver,CO,80210,668451.0,2016.0,399800.0,401200.0,410700.0,414400.0,420700.0,417300.0,415700.0,420400.0,429100.0,421200.0,423800.0,442400.0,Rosedale
5067,13376790,https://www.zillow.com/homedetails/2636-S-Pearl-St-Denver-CO-80210/13376790_zpid/,678850.0,"2636 S Pearl Street, Denver, CO 80210",2636 S Pearl Street,Denver,CO,80210,668451.0,2015.0,314500.0,320900.0,324000.0,326800.0,328800.0,330800.0,336900.0,352100.0,373400.0,378700.0,389400.0,389300.0,Rosedale
5068,13376790,https://www.zillow.com/homedetails/2636-S-Pearl-St-Denver-CO-80210/13376790_zpid/,678850.0,"2636 S Pearl Street, Denver, CO 80210",2636 S Pearl Street,Denver,CO,80210,668451.0,2014.0,284300.0,285000.0,286900.0,292800.0,299200.0,294500.0,293700.0,296700.0,300900.0,302900.0,307600.0,310400.0,Rosedale
5069,13376790,https://www.zillow.com/homedetails/2636-S-Pearl-St-Denver-CO-80210/13376790_zpid/,678850.0,"2636 S Pearl Street, Denver, CO 80210",2636 S Pearl Street,Denver,CO,80210,668451.0,2013.0,263600.0,264000.0,264500.0,269000.0,274600.0,277300.0,281300.0,280400.0,279800.0,280800.0,279300.0,281400.0,Rosedale
