,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
40,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2022.0,398000.0,400800.0,441800.0,465400.0,465100.0,455900.0,444500.0,431500.0,515000.0,494000.0,492700.0,0.0,Ruby Hill
41,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2021.0,395300.0,398800.0,403500.0,423200.0,425900.0,418900.0,414800.0,399900.0,394900.0,396000.0,395000.0,394400.0,Ruby Hill
42,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2020.0,366600.0,372200.0,371400.0,370500.0,367700.0,367000.0,369300.0,367900.0,370200.0,378100.0,384400.0,389200.0,Ruby Hill
43,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2019.0,346800.0,352600.0,366200.0,369100.0,361900.0,357500.0,356900.0,368900.0,375400.0,371000.0,367800.0,365900.0,Ruby Hill
44,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2018.0,299200.0,303600.0,304200.0,315900.0,322800.0,323500.0,326900.0,328800.0,327600.0,329100.0,335900.0,340800.0,Ruby Hill
45,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2017.0,267100.0,283700.0,298800.0,300700.0,304500.0,307500.0,307300.0,303900.0,308800.0,315500.0,316300.0,314700.0,Ruby Hill
46,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2016.0,246500.0,248200.0,243800.0,248400.0,246000.0,247000.0,254100.0,255400.0,259300.0,261100.00000000003,273700.0,283900.0,Ruby Hill
47,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2015.0,205400.0,207000.0,217500.0,224100.0,213400.0,214300.0,222400.0,236300.0,234600.0,232900.0,236900.0,240800.0,Ruby Hill
48,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2014.0,184400.0,185400.0,186300.0,188300.0,191700.0,190400.0,189700.0,192900.0,197800.0,201100.0,206200.0,206400.0,Ruby Hill
49,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2013.0,150700.0,148700.0,154100.0,162600.0,173900.0,176400.0,180300.0,181200.0,181700.0,182400.0,184400.0,183300.0,Ruby Hill
390,13367598,https://www.zillow.com/homedetails/1810-W-Arkansas-Ave-Denver-CO-80223/13367598_zpid/,349000.0,"1810 W Arkansas Avenue, Denver, CO 80223",1810 W Arkansas Avenue,Denver,CO,80223,396400.0,2022.0,344100.0,347500.0,451900.0,481000.0,482900.0,470800.0,440600.0,414500.0,405500.0,398500.0,343700.0,0.0,Ruby Hill
391,13367598,https://www.zillow.com/homedetails/1810-W-Arkansas-Ave-Denver-CO-80223/13367598_zpid/,349000.0,"1810 W Arkansas Avenue, Denver, CO 80223",1810 W Arkansas Avenue,Denver,CO,80223,396400.0,2021.0,350400.0,362000.0,366600.0,390100.0,399300.0,383400.0,373800.0,360200.0,356400.0,356600.0,352300.0,347000.0,Ruby Hill
