,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
3110,13304588,https://www.zillow.com/homedetails/2836-N-Saint-Paul-St-Denver-CO-80205/13304588_zpid/,599000.0,"2836 N Saint Paul Street, Denver, CO 80205",2836 N Saint Paul Street,Denver,CO,80205,584905.0,2022.0,665800.0,687400.0,728600.0,738100.0,728600.0,710800.0,679500.0,648100.0,625000.0,587300.0,585900.0,0.0,Skyland
3111,13304588,https://www.zillow.com/homedetails/2836-N-Saint-Paul-St-Denver-CO-80205/13304588_zpid/,599000.0,"2836 N Saint Paul Street, Denver, CO 80205",2836 N Saint Paul Street,Denver,CO,80205,584905.0,2021.0,561900.0,569500.0,576100.0,608700.0,625000.0,656700.0,664100.0,647700.0,640200.0,644500.0,648600.0,654200.0,Skyland
3112,13304588,https://www.zillow.com/homedetails/2836-N-Saint-Paul-St-Denver-CO-80205/13304588_zpid/,599000.0,"2836 N Saint Paul Street, Denver, CO 80205",2836 N Saint Paul Street,Denver,CO,80205,584905.0,2020.0,510900.0,517000.0,523600.0,524500.0,523200.00000000006,525500.0,530900.0,532600.0,526100.0,516200.00000000006,548900.0,554800.0,Skyland
3113,13304588,https://www.zillow.com/homedetails/2836-N-Saint-Paul-St-Denver-CO-80205/13304588_zpid/,599000.0,"2836 N Saint Paul Street, Denver, CO 80205",2836 N Saint Paul Street,Denver,CO,80205,584905.0,2019.0,478700.0,476600.0,477000.0,483600.0,476700.0,479200.0,478300.0,478900.0,495400.0,499000.0,503500.0,503900.0,Skyland
3114,13304588,https://www.zillow.com/homedetails/2836-N-Saint-Paul-St-Denver-CO-80205/13304588_zpid/,599000.0,"2836 N Saint Paul Street, Denver, CO 80205",2836 N Saint Paul Street,Denver,CO,80205,584905.0,2018.0,481600.0,483600.0,466600.0,463100.0,466000.0,462800.0,472400.0,467100.0,465700.0,468100.0,474700.0,477900.0,Skyland
3115,13304588,https://www.zillow.com/homedetails/2836-N-Saint-Paul-St-Denver-CO-80205/13304588_zpid/,599000.0,"2836 N Saint Paul Street, Denver, CO 80205",2836 N Saint Paul Street,Denver,CO,80205,584905.0,2017.0,449300.0,447400.0,463200.0,464600.0,460600.0,454300.0,455200.0,460700.0,461000.0,464700.0,465900.0,473000.0,Skyland
3116,13304588,https://www.zillow.com/homedetails/2836-N-Saint-Paul-St-Denver-CO-80205/13304588_zpid/,599000.0,"2836 N Saint Paul Street, Denver, CO 80205",2836 N Saint Paul Street,Denver,CO,80205,584905.0,2016.0,408200.0,413900.0,412600.0,415500.0,410900.0,423000.0,423000.0,419300.0,423400.0,426200.0,432000.0,437700.0,Skyland
3117,13304588,https://www.zillow.com/homedetails/2836-N-Saint-Paul-St-Denver-CO-80205/13304588_zpid/,599000.0,"2836 N Saint Paul Street, Denver, CO 80205",2836 N Saint Paul Street,Denver,CO,80205,584905.0,2015.0,339900.0,351500.0,356300.0,364800.0,382600.0,384300.0,389100.0,390400.0,392300.0,398400.0,401500.0,399200.0,Skyland
3118,13304588,https://www.zillow.com/homedetails/2836-N-Saint-Paul-St-Denver-CO-80205/13304588_zpid/,599000.0,"2836 N Saint Paul Street, Denver, CO 80205",2836 N Saint Paul Street,Denver,CO,80205,584905.0,2014.0,306800.0,309100.0,309300.0,312100.0,318700.0,319500.0,316600.0,320400.0,316700.0,315500.0,322100.0,324400.0,Skyland
3119,13304588,https://www.zillow.com/homedetails/2836-N-Saint-Paul-St-Denver-CO-80205/13304588_zpid/,599000.0,"2836 N Saint Paul Street, Denver, CO 80205",2836 N Saint Paul Street,Denver,CO,80205,584905.0,2013.0,268000.0,268300.0,271100.0,273200.0,281700.0,293400.0,296500.0,299100.0,295600.0,304500.0,305200.0,305400.0,Skyland
4740,13304614,https://www.zillow.com/homedetails/2811-N-Cook-St-Denver-CO-80205/13304614_zpid/,844950.0,"2811 N Cook Street, Denver, CO 80205",2811 N Cook Street,Denver,CO,80205,833100.0,2022.0,558800.0,564300.0,567800.0,574200.0,543800.0,744000.0,714300.0,906700.0,879900.0,833100.0,832400.0,0.0,Skyland
4741,13304614,https://www.zillow.com/homedetails/2811-N-Cook-St-Denver-CO-80205/13304614_zpid/,844950.0,"2811 N Cook Street, Denver, CO 80205",2811 N Cook Street,Denver,CO,80205,833100.0,2021.0,566800.0,580500.0,593700.0,637700.0,651600.0,617100.0,597200.0,571800.0,559200.0,561200.0,557800.0,557500.0,Skyland
4742,13304614,https://www.zillow.com/homedetails/2811-N-Cook-St-Denver-CO-80205/13304614_zpid/,844950.0,"2811 N Cook Street, Denver, CO 80205",2811 N Cook Street,Denver,CO,80205,833100.0,2020.0,523400.0,527900.0,537100.0,542700.0,540100.0,540800.0,540900.0,541400.0,567700.0,569500.0,567200.0,566600.0,Skyland
4743,13304614,https://www.zillow.com/homedetails/2811-N-Cook-St-Denver-CO-80205/13304614_zpid/,844950.0,"2811 N Cook Street, Denver, CO 80205",2811 N Cook Street,Denver,CO,80205,833100.0,2019.0,495100.0,521700.00000000006,526300.0,535300.0,520600.0,513500.0,506200.0,507500.0,506800.0,513300.0,520600.0,519600.0,Skyland
4744,13304614,https://www.zillow.com/homedetails/2811-N-Cook-St-Denver-CO-80205/13304614_zpid/,844950.0,"2811 N Cook Street, Denver, CO 80205",2811 N Cook Street,Denver,CO,80205,833100.0,2018.0,450800.0,458700.0,477400.0,483000.0,492600.0,488600.0,490000.0,496100.0,489000.0,493900.0,483400.0,491800.0,Skyland
4745,13304614,https://www.zillow.com/homedetails/2811-N-Cook-St-Denver-CO-80205/13304614_zpid/,844950.0,"2811 N Cook Street, Denver, CO 80205",2811 N Cook Street,Denver,CO,80205,833100.0,2017.0,403000.0,411400.0,419600.0,418500.0,417500.0,415800.0,423700.0,426400.0,424200.0,442300.0,456000.0,462600.0,Skyland
4746,13304614,https://www.zillow.com/homedetails/2811-N-Cook-St-Denver-CO-80205/13304614_zpid/,844950.0,"2811 N Cook Street, Denver, CO 80205",2811 N Cook Street,Denver,CO,80205,833100.0,2016.0,409800.0,408100.0,407000.0,421100.0,426200.0,419800.0,421600.0,428200.0,434700.0,434600.0,436100.0,443100.0,Skyland
4747,13304614,https://www.zillow.com/homedetails/2811-N-Cook-St-Denver-CO-80205/13304614_zpid/,844950.0,"2811 N Cook Street, Denver, CO 80205",2811 N Cook Street,Denver,CO,80205,833100.0,2015.0,324300.0,331800.0,333900.0,344400.0,356300.0,361800.0,370300.0,379500.0,394100.0,396800.0,398600.0,410000.0,Skyland
4748,13304614,https://www.zillow.com/homedetails/2811-N-Cook-St-Denver-CO-80205/13304614_zpid/,844950.0,"2811 N Cook Street, Denver, CO 80205",2811 N Cook Street,Denver,CO,80205,833100.0,2014.0,299300.0,296500.0,301800.0,307900.0,327200.0,323200.0,318500.0,322400.0,322100.0,338200.0,347000.0,351900.0,Skyland
4749,13304614,https://www.zillow.com/homedetails/2811-N-Cook-St-Denver-CO-80205/13304614_zpid/,844950.0,"2811 N Cook Street, Denver, CO 80205",2811 N Cook Street,Denver,CO,80205,833100.0,2013.0,258600.00000000003,270600.0,267000.0,276400.0,271100.0,279000.0,291600.0,293500.0,290700.0,293400.0,293100.0,293000.0,Skyland
