,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1440,58685997,https://www.zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,350000.0,"733 E 2nd Avenue  Unit 104, Denver, CO 80203",733 E 2nd Avenue  Unit 104,Denver,CO,80203,319300.0,2022.0,294400.0,0.0,0.0,0.0,0.0,0.0,0.0,322700.0,317400.0,319100.0,346300.0,0.0,Speer
1441,58685997,https://www.zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,350000.0,"733 E 2nd Avenue  Unit 104, Denver, CO 80203",733 E 2nd Avenue  Unit 104,Denver,CO,80203,319300.0,2021.0,279100.0,276500.0,277200.0,296400.0,298800.0,293800.0,290500.0,289000.0,286300.0,287200.0,287400.0,288600.0,Speer
1442,58685997,https://www.zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,350000.0,"733 E 2nd Avenue  Unit 104, Denver, CO 80203",733 E 2nd Avenue  Unit 104,Denver,CO,80203,319300.0,2020.0,277000.0,276200.0,272500.0,272500.0,266100.0,263900.0,264600.0,260200.0,268500.0,271000.0,272100.0,276400.0,Speer
1443,58685997,https://www.zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,350000.0,"733 E 2nd Avenue  Unit 104, Denver, CO 80203",733 E 2nd Avenue  Unit 104,Denver,CO,80203,319300.0,2019.0,296400.0,292500.0,290100.0,282300.0,280300.0,277400.0,276900.0,273900.0,281400.0,282300.0,279300.0,275000.0,Speer
1444,58685997,https://www.zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,350000.0,"733 E 2nd Avenue  Unit 104, Denver, CO 80203",733 E 2nd Avenue  Unit 104,Denver,CO,80203,319300.0,2018.0,257000.0,264400.0,281100.0,285500.0,288500.0,290700.0,294200.0,294900.0,295200.0,295800.0,292200.0,295100.0,Speer
1445,58685997,https://www.zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,350000.0,"733 E 2nd Avenue  Unit 104, Denver, CO 80203",733 E 2nd Avenue  Unit 104,Denver,CO,80203,319300.0,2017.0,217500.0,222300.0,227000.0,227400.0,236100.0,238800.0,235300.0,234300.0,243700.0,242800.0,252200.0,252600.0,Speer
1446,58685997,https://www.zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,350000.0,"733 E 2nd Avenue  Unit 104, Denver, CO 80203",733 E 2nd Avenue  Unit 104,Denver,CO,80203,319300.0,2016.0,217800.0,219500.0,220600.0,225700.0,224000.0,226800.0,226100.0,227400.0,222900.0,225000.0,226300.0,221800.0,Speer
1447,58685997,https://www.zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,350000.0,"733 E 2nd Avenue  Unit 104, Denver, CO 80203",733 E 2nd Avenue  Unit 104,Denver,CO,80203,319300.0,2015.0,188300.0,190400.0,188900.0,190900.0,181400.0,181300.0,190000.0,196500.0,203400.0,202800.0,208400.0,205700.0,Speer
1448,58685997,https://www.zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,350000.0,"733 E 2nd Avenue  Unit 104, Denver, CO 80203",733 E 2nd Avenue  Unit 104,Denver,CO,80203,319300.0,2014.0,163200.0,164400.0,163100.0,166400.0,166900.0,170300.0,171300.0,180200.0,181600.0,183500.0,189000.0,189100.0,Speer
1449,58685997,https://www.zillow.com/homedetails/733-E-2nd-Ave-APT-104-Denver-CO-80203/58685997_zpid/,350000.0,"733 E 2nd Avenue  Unit 104, Denver, CO 80203",733 E 2nd Avenue  Unit 104,Denver,CO,80203,319300.0,2013.0,136100.0,136000.0,136500.0,138800.0,149700.0,154800.0,161200.0,159000.0,162400.0,160500.0,159100.0,161400.0,Speer
1840,13344930,https://www.zillow.com/homedetails/52-N-Logan-St-Denver-CO-80203/13344930_zpid/,599000.0,"52 N Logan Street, Denver, CO 80203",52 N Logan Street,Denver,CO,80203,597979.0,2022.0,669700.0,688700.0,727700.0,743100.0,732900.0,714100.0,691000.0,673400.0,669700.0,618900.0,602500.0,0.0,Speer
1841,13344930,https://www.zillow.com/homedetails/52-N-Logan-St-Denver-CO-80203/13344930_zpid/,599000.0,"52 N Logan Street, Denver, CO 80203",52 N Logan Street,Denver,CO,80203,597979.0,2021.0,584500.0,592600.0,603400.0,628900.0,641500.0,655700.0,658900.0,648400.0,642600.0,649300.0,650200.0,657600.0,Speer
1842,13344930,https://www.zillow.com/homedetails/52-N-Logan-St-Denver-CO-80203/13344930_zpid/,599000.0,"52 N Logan Street, Denver, CO 80203",52 N Logan Street,Denver,CO,80203,597979.0,2020.0,580300.0,583200.0,591200.0,594800.0,592400.0,590100.0,576800.0,550700.0,563800.0,568500.0,585000.0,582200.0,Speer
