,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1630,13375829,https://www.zillow.com/homedetails/1961-S-Humboldt-St-Denver-CO-80210/13375829_zpid/,2185000.0,"1961 S Humboldt Street, Denver, CO 80210",1961 S Humboldt Street,Denver,CO,80210,2124874.0,2022.0,627900.0,623000.0,633900.0,633000.0,623000.0,599900.0,585400.0,631000.0,698300.0,2200000.0,2100000.0,0.0,University
1631,13375829,https://www.zillow.com/homedetails/1961-S-Humboldt-St-Denver-CO-80210/13375829_zpid/,2185000.0,"1961 S Humboldt Street, Denver, CO 80210",1961 S Humboldt Street,Denver,CO,80210,2124874.0,2021.0,498700.0,507900.0,510000.0,555700.0,573500.0,582300.0,580400.0,568900.0,578900.0,586600.0,591300.0,595000.0,University
1632,13375829,https://www.zillow.com/homedetails/1961-S-Humboldt-St-Denver-CO-80210/13375829_zpid/,2185000.0,"1961 S Humboldt Street, Denver, CO 80210",1961 S Humboldt Street,Denver,CO,80210,2124874.0,2020.0,437700.0,436600.0,446600.0,449500.0,451900.0,453900.0,456400.0,456600.0,461900.0,473900.0,474900.0,481100.0,University
1633,13375829,https://www.zillow.com/homedetails/1961-S-Humboldt-St-Denver-CO-80210/13375829_zpid/,2185000.0,"1961 S Humboldt Street, Denver, CO 80210",1961 S Humboldt Street,Denver,CO,80210,2124874.0,2019.0,437000.0,427100.0,454100.0,443400.0,428900.0,428200.0,442300.0,434500.0,445500.0,443900.0,439200.0,434900.0,University
1634,13375829,https://www.zillow.com/homedetails/1961-S-Humboldt-St-Denver-CO-80210/13375829_zpid/,2185000.0,"1961 S Humboldt Street, Denver, CO 80210",1961 S Humboldt Street,Denver,CO,80210,2124874.0,2018.0,418700.0,413600.0,416100.0,435900.0,423600.0,426500.0,426600.0,424000.0,427500.0,436000.0,442000.0,452100.0,University
1635,13375829,https://www.zillow.com/homedetails/1961-S-Humboldt-St-Denver-CO-80210/13375829_zpid/,2185000.0,"1961 S Humboldt Street, Denver, CO 80210",1961 S Humboldt Street,Denver,CO,80210,2124874.0,2017.0,385000.0,398400.0,415200.0,407500.0,427000.0,414000.0,407200.0,404900.0,396400.0,394500.0,418000.0,432500.0,University
1636,13375829,https://www.zillow.com/homedetails/1961-S-Humboldt-St-Denver-CO-80210/13375829_zpid/,2185000.0,"1961 S Humboldt Street, Denver, CO 80210",1961 S Humboldt Street,Denver,CO,80210,2124874.0,2016.0,352400.0,351700.0,353500.0,368700.0,373000.0,381800.0,381700.0,367800.0,369600.0,381500.0,389600.0,410600.0,University
1637,13375829,https://www.zillow.com/homedetails/1961-S-Humboldt-St-Denver-CO-80210/13375829_zpid/,2185000.0,"1961 S Humboldt Street, Denver, CO 80210",1961 S Humboldt Street,Denver,CO,80210,2124874.0,2015.0,276000.0,284200.0,286400.0,295100.0,316900.0,322000.0,333700.0,333700.0,340800.0,341400.0,346700.0,358100.0,University
1638,13375829,https://www.zillow.com/homedetails/1961-S-Humboldt-St-Denver-CO-80210/13375829_zpid/,2185000.0,"1961 S Humboldt Street, Denver, CO 80210",1961 S Humboldt Street,Denver,CO,80210,2124874.0,2014.0,324500.0,317100.0,311900.0,306000.0,287500.0,284700.0,281700.0,287900.0,297200.0,310100.0,301500.0,347600.0,University
1639,13375829,https://www.zillow.com/homedetails/1961-S-Humboldt-St-Denver-CO-80210/13375829_zpid/,2185000.0,"1961 S Humboldt Street, Denver, CO 80210",1961 S Humboldt Street,Denver,CO,80210,2124874.0,2013.0,222100.0,226700.0,230000.0,237000.0,250100.0,254900.0,261800.0,259200.0,262200.0,272300.0,273000.0,294500.0,University
2130,58294315,https://www.zillow.com/homedetails/2500-S-York-St-APT-416-Denver-CO-80210/58294315_zpid/,300000.0,"2500 S York Street  Unit 416, Denver, CO 80210",2500 S York Street  Unit 416,Denver,CO,80210,295384.0,2022.0,351800.0,360200.0,371400.0,380000.0,358800.0,335700.0,325000.0,321400.0,321100.0,296000.0,295100.0,0.0,University
2131,58294315,https://www.zillow.com/homedetails/2500-S-York-St-APT-416-Denver-CO-80210/58294315_zpid/,300000.0,"2500 S York Street  Unit 416, Denver, CO 80210",2500 S York Street  Unit 416,Denver,CO,80210,295384.0,2021.0,302700.0,304100.0,306200.0,311300.0,319300.0,325800.0,334400.0,334300.0,334400.0,339600.0,343700.0,349000.0,University
2132,58294315,https://www.zillow.com/homedetails/2500-S-York-St-APT-416-Denver-CO-80210/58294315_zpid/,300000.0,"2500 S York Street  Unit 416, Denver, CO 80210",2500 S York Street  Unit 416,Denver,CO,80210,295384.0,2020.0,277200.0,278200.0,281300.0,285600.0,286100.0,286800.0,296700.0,290200.0,291000.0,292800.0,296200.0,299400.0,University
2133,58294315,https://www.zillow.com/homedetails/2500-S-York-St-APT-416-Denver-CO-80210/58294315_zpid/,300000.0,"2500 S York Street  Unit 416, Denver, CO 80210",2500 S York Street  Unit 416,Denver,CO,80210,295384.0,2019.0,274600.0,272900.0,273600.0,272000.0,266600.0,264700.0,270700.0,274400.0,280100.0,278000.0,276800.0,276900.0,University
