,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
0,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2022.0,827000.0,855400.0,917400.0,940800.0,945700.0,926700.0,894500.0,825000.0,775000.0,688300.0,686800.0,0.0,University Park
1,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2021.0,718600.0,743900.0,751300.0,810200.0,825600.0,842000.0,828200.0,809000.0,802300.0,804700.0,806300.0,815600.0,University Park
2,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2020.0,652200.0,650300.0,660200.0,665900.0,661100.0,661600.0,671500.0,673800.0,690100.0,698700.0,714900.0,720300.0,University Park
3,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2019.0,674900.0,661500.0,672100.0,680000.0,708100.0,687000.0,692300.0,690100.0,666500.0,661000.0,663900.0,659600.0,University Park
4,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2018.0,616100.0,625400.0,631500.0,632500.0,643600.0,680500.0,687700.0,676200.0,673400.0,668100.0,671000.0,667200.0,University Park
5,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2017.0,599200.0,625200.0,635800.0,630400.0,626100.0,617500.0,610400.0,625800.0,614000.0,602100.0,608900.0,613400.0,University Park
6,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2016.0,530000.0,544000.0,544600.0,553800.0,551400.0,562000.0,573900.0,574700.0,586600.0,581100.0,596400.0,606100.0,University Park
7,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2015.0,561000.0,580600.0,588400.0,584200.0,497800.0,505900.0,517000.0,520700.00000000006,519000.0,522800.0,521900.0,526500.0,University Park
8,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2014.0,482300.0,485800.0,482600.0,485700.0,513900.0,507100.0,501500.0,510700.0,501000.0,513800.0,526800.0,522200.00000000006,University Park
9,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2013.0,438900.0,432000.0,436800.0,452100.0,450000.0,482300.0,471000.0,474500.0,488600.0,492800.0,490800.0,475800.0,University Park
