,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
970,13406341,https://www.zillow.com/homedetails/4646-E-Mexico-Ave-Denver-CO-80222/13406341_zpid/,590000.0,"4646 E Mexico Avenue, Denver, CO 80222",4646 E Mexico Avenue,Denver,CO,80222,581800.0,2022.0,659300.0,681100.0,726700.0,742400.0,742900.0,713700.0,679900.0,670000.0,640000.0,586400.0,581100.0,0.0,Virginia Village
971,13406341,https://www.zillow.com/homedetails/4646-E-Mexico-Ave-Denver-CO-80222/13406341_zpid/,590000.0,"4646 E Mexico Avenue, Denver, CO 80222",4646 E Mexico Avenue,Denver,CO,80222,581800.0,2021.0,509900.0,523300.0,543200.0,668500.0,675300.0,669100.0,657300.0,638200.0,634500.0,639600.0,641000.0,652600.0,Virginia Village
972,13406341,https://www.zillow.com/homedetails/4646-E-Mexico-Ave-Denver-CO-80222/13406341_zpid/,590000.0,"4646 E Mexico Avenue, Denver, CO 80222",4646 E Mexico Avenue,Denver,CO,80222,581800.0,2020.0,469600.0,471700.0,478500.0,479200.0,477600.0,482200.0,479800.0,480200.0,484400.0,492400.0,499800.0,503200.0,Virginia Village
973,13406341,https://www.zillow.com/homedetails/4646-E-Mexico-Ave-Denver-CO-80222/13406341_zpid/,590000.0,"4646 E Mexico Avenue, Denver, CO 80222",4646 E Mexico Avenue,Denver,CO,80222,581800.0,2019.0,458900.0,457800.0,455200.0,454400.0,455100.0,457500.0,457800.0,459400.0,465000.0,461700.0,463000.0,469500.0,Virginia Village
974,13406341,https://www.zillow.com/homedetails/4646-E-Mexico-Ave-Denver-CO-80222/13406341_zpid/,590000.0,"4646 E Mexico Avenue, Denver, CO 80222",4646 E Mexico Avenue,Denver,CO,80222,581800.0,2018.0,428200.0,431700.0,436000.0,441800.0,446200.0,446300.0,448800.0,449400.0,454200.0,456200.0,456300.0,459700.0,Virginia Village
975,13406341,https://www.zillow.com/homedetails/4646-E-Mexico-Ave-Denver-CO-80222/13406341_zpid/,590000.0,"4646 E Mexico Avenue, Denver, CO 80222",4646 E Mexico Avenue,Denver,CO,80222,581800.0,2017.0,387100.0,395100.0,402700.0,401800.0,405600.0,406700.0,406600.0,406000.0,408600.0,410500.0,414300.0,418100.0,Virginia Village
976,13406341,https://www.zillow.com/homedetails/4646-E-Mexico-Ave-Denver-CO-80222/13406341_zpid/,590000.0,"4646 E Mexico Avenue, Denver, CO 80222",4646 E Mexico Avenue,Denver,CO,80222,581800.0,2016.0,390300.0,393300.0,347500.0,347500.0,362300.0,366200.0,368200.0,370400.0,372200.0,374200.0,377800.0,379700.0,Virginia Village
977,13406341,https://www.zillow.com/homedetails/4646-E-Mexico-Ave-Denver-CO-80222/13406341_zpid/,590000.0,"4646 E Mexico Avenue, Denver, CO 80222",4646 E Mexico Avenue,Denver,CO,80222,581800.0,2015.0,351100.0,362800.0,364500.0,367200.0,352600.0,371800.0,375700.0,369100.0,370800.0,371900.0,376100.0,385000.0,Virginia Village
978,13406341,https://www.zillow.com/homedetails/4646-E-Mexico-Ave-Denver-CO-80222/13406341_zpid/,590000.0,"4646 E Mexico Avenue, Denver, CO 80222",4646 E Mexico Avenue,Denver,CO,80222,581800.0,2014.0,322700.0,328400.0,330900.0,342300.0,345400.0,340500.0,344000.0,338200.0,342100.0,335500.0,344800.0,352500.0,Virginia Village
979,13406341,https://www.zillow.com/homedetails/4646-E-Mexico-Ave-Denver-CO-80222/13406341_zpid/,590000.0,"4646 E Mexico Avenue, Denver, CO 80222",4646 E Mexico Avenue,Denver,CO,80222,581800.0,2013.0,261500.0,268100.0,268800.0,274500.0,289600.0,298800.0,306300.0,319500.0,316500.0,316800.0,317400.0,320600.0,Virginia Village
