,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
560,13352090,https://www.zillow.com/homedetails/325-S-Race-St-Denver-CO-80209/13352090_zpid/,3495000.0,"325 S Race Street, Denver, CO 80209",325 S Race Street,Denver,CO,80209,3404220.0,2022.0,1300000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1100000.0,1200000.0,1400000.0,3600000.0,3400000.0,0.0,Washington Park
561,13352090,https://www.zillow.com/homedetails/325-S-Race-St-Denver-CO-80209/13352090_zpid/,3495000.0,"325 S Race Street, Denver, CO 80209",325 S Race Street,Denver,CO,80209,3404220.0,2021.0,949600.0,953300.0,941400.0,1100000.0,1200000.0,1200000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1200000.0,Washington Park
562,13352090,https://www.zillow.com/homedetails/325-S-Race-St-Denver-CO-80209/13352090_zpid/,3495000.0,"325 S Race Street, Denver, CO 80209",325 S Race Street,Denver,CO,80209,3404220.0,2020.0,875000.0,876000.0,897000.0,901300.0,959600.0,1000000.0,948500.0,925200.0,903100.0,916000.0,918600.0,916900.0,Washington Park
563,13352090,https://www.zillow.com/homedetails/325-S-Race-St-Denver-CO-80209/13352090_zpid/,3495000.0,"325 S Race Street, Denver, CO 80209",325 S Race Street,Denver,CO,80209,3404220.0,2019.0,789100.0,835700.0,845100.0,853800.0,841400.0,886700.0,893400.0,904300.0,844500.0,831900.0,835100.0,858000.0,Washington Park
564,13352090,https://www.zillow.com/homedetails/325-S-Race-St-Denver-CO-80209/13352090_zpid/,3495000.0,"325 S Race Street, Denver, CO 80209",325 S Race Street,Denver,CO,80209,3404220.0,2018.0,747500.0,765400.0,770500.0,780100.0,780200.0,772200.0,803200.0,804900.0,801000.0,780700.0,790600.0,809400.0,Washington Park
565,13352090,https://www.zillow.com/homedetails/325-S-Race-St-Denver-CO-80209/13352090_zpid/,3495000.0,"325 S Race Street, Denver, CO 80209",325 S Race Street,Denver,CO,80209,3404220.0,2017.0,686500.0,715000.0,694100.0,710800.0,718400.0,716700.0,714600.0,716500.0,749600.0,741600.0,743800.0,749700.0,Washington Park
566,13352090,https://www.zillow.com/homedetails/325-S-Race-St-Denver-CO-80209/13352090_zpid/,3495000.0,"325 S Race Street, Denver, CO 80209",325 S Race Street,Denver,CO,80209,3404220.0,2016.0,797600.0,718200.0,635100.0,642100.0,637800.0,688600.0,677300.0,672300.0,661300.0,661800.0,672500.0,671900.0,Washington Park
567,13352090,https://www.zillow.com/homedetails/325-S-Race-St-Denver-CO-80209/13352090_zpid/,3495000.0,"325 S Race Street, Denver, CO 80209",325 S Race Street,Denver,CO,80209,3404220.0,2015.0,494100.0,508300.0,532500.0,590200.0,612400.0,646100.0,640100.0,630500.0,654900.0,790100.0,886400.0,950500.0,Washington Park
568,13352090,https://www.zillow.com/homedetails/325-S-Race-St-Denver-CO-80209/13352090_zpid/,3495000.0,"325 S Race Street, Denver, CO 80209",325 S Race Street,Denver,CO,80209,3404220.0,2014.0,500200.0,506500.0,518300.0,511400.0,519500.0,517700.00000000006,541000.0,562600.0,552900.0,545700.0,531100.0,529000.0,Washington Park
569,13352090,https://www.zillow.com/homedetails/325-S-Race-St-Denver-CO-80209/13352090_zpid/,3495000.0,"325 S Race Street, Denver, CO 80209",325 S Race Street,Denver,CO,80209,3404220.0,2013.0,455700.0,479000.0,494800.0,503700.0,455800.0,458300.0,467700.0,481100.0,482100.0,481900.0,472000.0,493400.0,Washington Park
1120,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,4500000.0,"1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989.0,2022.0,5200000.0,5200000.0,5400000.0,5400000.0,5500000.0,5300000.0,5300000.0,4900000.0,4400000.0,4400000.0,4500000.0,0.0,Washington Park
1121,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,4500000.0,"1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989.0,2021.0,4600000.0,4600000.0,4500000.0,4700000.0,4800000.0,4900000.0,5100000.0,5000000.0,5000000.0,5000000.0,5100000.0,5100000.0,Washington Park
1122,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,4500000.0,"1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989.0,2020.0,4000000.0,4100000.0,4200000.0,4200000.0,4300000.0,4300000.0,4400000.0,4400000.0,4500000.0,4500000.0,4500000.0,4600000.0,Washington Park
1123,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,4500000.0,"1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989.0,2019.0,4000000.0,4000000.0,4100000.0,4000000.0,3900000.0,3900000.0,4000000.0,4000000.0,4000000.0,3900000.0,3900000.0,3900000.0,Washington Park
1124,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,4500000.0,"1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989.0,2018.0,4000000.0,4000000.0,4400000.0,4500000.0,4400000.0,4400000.0,4200000.0,4200000.0,4200000.0,4000000.0,4100000.0,4100000.0,Washington Park
1125,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,4500000.0,"1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989.0,2017.0,3900000.0,3900000.0,3800000.0,3800000.0,3700000.0,3700000.0,3500000.0,3600000.0,3600000.0,3600000.0,3800000.0,3900000.0,Washington Park
1126,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,4500000.0,"1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989.0,2016.0,3500000.0,3600000.0,3600000.0,3700000.0,3700000.0,3700000.0,3700000.0,3800000.0,3800000.0,3800000.0,3900000.0,3800000.0,Washington Park
1127,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,4500000.0,"1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989.0,2015.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3300000.0,3500000.0,3400000.0,3500000.0,3500000.0,Washington Park
1128,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,4500000.0,"1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989.0,2014.0,3000000.0,3200000.0,3100000.0,3100000.0,3100000.0,3200000.0,3100000.0,3100000.0,3200000.0,3300000.0,3500000.0,3300000.0,Washington Park
1129,13347785,https://www.zillow.com/homedetails/1991-E-Alameda-Ave-UNIT-14-Denver-CO-80209/13347785_zpid/,4500000.0,"1991 E Alameda Avenue  Unit 14, Denver, CO 80209",1991 E Alameda Avenue  Unit 14,Denver,CO,80209,4430989.0,2013.0,3400000.0,3400000.0,3700000.0,3800000.0,3200000.0,3100000.0,3400000.0,3000000.0,3000000.0,3000000.0,3100000.0,3000000.0,Washington Park
