,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1290,13356533,https://www.zillow.com/homedetails/835-S-Washington-St-Denver-CO-80209/13356533_zpid/,514900.0,"835 S Washington Street, Denver, CO 80209",835 S Washington Street,Denver,CO,80209,514903.0,2022.0,452800.0,462200.0,486100.0,492600.0,494700.0,492800.0,480600.0,478100.0,514900.0,514900.0,512200.00000000006,0.0,Washington Park West
1291,13356533,https://www.zillow.com/homedetails/835-S-Washington-St-Denver-CO-80209/13356533_zpid/,514900.0,"835 S Washington Street, Denver, CO 80209",835 S Washington Street,Denver,CO,80209,514903.0,2021.0,417400.0,420200.0,420900.0,445700.0,457300.0,457200.0,453200.0,444400.0,435500.0,437400.0,439200.0,442300.0,Washington Park West
1292,13356533,https://www.zillow.com/homedetails/835-S-Washington-St-Denver-CO-80209/13356533_zpid/,514900.0,"835 S Washington Street, Denver, CO 80209",835 S Washington Street,Denver,CO,80209,514903.0,2020.0,389100.0,389900.0,390900.0,392200.0,392400.0,397600.0,407100.0,401200.0,410000.0,412900.0,397900.0,414000.0,Washington Park West
1293,13356533,https://www.zillow.com/homedetails/835-S-Washington-St-Denver-CO-80209/13356533_zpid/,514900.0,"835 S Washington Street, Denver, CO 80209",835 S Washington Street,Denver,CO,80209,514903.0,2019.0,385500.0,387200.0,380000.0,377800.0,381100.0,387400.0,381800.0,380100.0,383500.0,381700.0,383400.0,385700.0,Washington Park West
1294,13356533,https://www.zillow.com/homedetails/835-S-Washington-St-Denver-CO-80209/13356533_zpid/,514900.0,"835 S Washington Street, Denver, CO 80209",835 S Washington Street,Denver,CO,80209,514903.0,2018.0,377800.0,375300.0,376000.0,372600.0,374800.0,377300.0,379800.0,383300.0,381300.0,379400.0,381900.0,389700.0,Washington Park West
1295,13356533,https://www.zillow.com/homedetails/835-S-Washington-St-Denver-CO-80209/13356533_zpid/,514900.0,"835 S Washington Street, Denver, CO 80209",835 S Washington Street,Denver,CO,80209,514903.0,2017.0,351900.0,360300.0,359300.0,366400.0,366900.0,368300.0,359600.0,357500.0,365400.0,360900.0,361200.0,373100.0,Washington Park West
1296,13356533,https://www.zillow.com/homedetails/835-S-Washington-St-Denver-CO-80209/13356533_zpid/,514900.0,"835 S Washington Street, Denver, CO 80209",835 S Washington Street,Denver,CO,80209,514903.0,2016.0,326100.0,328200.0,334000.0,335600.0,342100.0,345700.0,348700.0,350700.0,348800.0,352300.0,353900.0,363500.0,Washington Park West
1297,13356533,https://www.zillow.com/homedetails/835-S-Washington-St-Denver-CO-80209/13356533_zpid/,514900.0,"835 S Washington Street, Denver, CO 80209",835 S Washington Street,Denver,CO,80209,514903.0,2015.0,261000.0,257400.0,262800.0,263100.0,293700.0,300000.0,306900.0,306800.0,310200.0,314900.0,320100.0,321500.0,Washington Park West
1298,13356533,https://www.zillow.com/homedetails/835-S-Washington-St-Denver-CO-80209/13356533_zpid/,514900.0,"835 S Washington Street, Denver, CO 80209",835 S Washington Street,Denver,CO,80209,514903.0,2014.0,264400.0,275300.0,279000.0,272900.0,270600.0,257300.0,256600.00000000003,271900.0,272500.0,275500.0,268000.0,277400.0,Washington Park West
1299,13356533,https://www.zillow.com/homedetails/835-S-Washington-St-Denver-CO-80209/13356533_zpid/,514900.0,"835 S Washington Street, Denver, CO 80209",835 S Washington Street,Denver,CO,80209,514903.0,2013.0,221600.0,218000.0,217300.0,218600.0,232700.0,238500.0,248200.0,238400.0,246000.0,261700.0,267400.0,270600.0,Washington Park West
2570,13355287,https://www.zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,980000.0,"335 S Pennsylvania Street, Denver, CO 80209",335 S Pennsylvania Street,Denver,CO,80209,939772.0,2022.0,944700.0,954000.0,1300000.0,1100000.0,959500.0,967200.0,966800.0,957900.0,974700.0,972500.0,944600.0,0.0,Washington Park West
2571,13355287,https://www.zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,980000.0,"335 S Pennsylvania Street, Denver, CO 80209",335 S Pennsylvania Street,Denver,CO,80209,939772.0,2021.0,932500.0,947700.0,957600.0,1000000.0,1000000.0,1000000.0,986300.0,954400.0,936000.0,941600.0,940700.0,935800.0,Washington Park West
2572,13355287,https://www.zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,980000.0,"335 S Pennsylvania Street, Denver, CO 80209",335 S Pennsylvania Street,Denver,CO,80209,939772.0,2020.0,831100.0,837100.0,845400.0,857100.0,864900.0,866900.0,870000.0,887100.0,899800.0,907200.0,918000.0,925700.0,Washington Park West
2573,13355287,https://www.zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,980000.0,"335 S Pennsylvania Street, Denver, CO 80209",335 S Pennsylvania Street,Denver,CO,80209,939772.0,2019.0,723600.0,724300.0,720900.0,739600.0,739600.0,733500.0,727100.0,727300.0,826000.0,812100.0,801600.0,820000.0,Washington Park West
2574,13355287,https://www.zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,980000.0,"335 S Pennsylvania Street, Denver, CO 80209",335 S Pennsylvania Street,Denver,CO,80209,939772.0,2018.0,625300.0,639200.0,701400.0,706100.0,701400.0,699000.0,717600.0,727400.0,725500.0,721300.0,709100.0,721900.0,Washington Park West
2575,13355287,https://www.zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,980000.0,"335 S Pennsylvania Street, Denver, CO 80209",335 S Pennsylvania Street,Denver,CO,80209,939772.0,2017.0,610300.0,621800.0,624700.0,620200.0,624600.0,622400.0,622000.0,623100.0,636400.0,625400.0,636600.0,631700.0,Washington Park West
2576,13355287,https://www.zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,980000.0,"335 S Pennsylvania Street, Denver, CO 80209",335 S Pennsylvania Street,Denver,CO,80209,939772.0,2016.0,598500.0,603700.0,619800.0,604400.0,623700.0,636700.0,636700.0,636500.0,633700.0,632500.0,634500.0,627300.0,Washington Park West
2577,13355287,https://www.zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,980000.0,"335 S Pennsylvania Street, Denver, CO 80209",335 S Pennsylvania Street,Denver,CO,80209,939772.0,2015.0,508200.0,514600.0,536900.0,544700.0,535700.0,538100.0,546700.0,546500.0,552600.0,570500.0,582800.0,590800.0,Washington Park West
2578,13355287,https://www.zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,980000.0,"335 S Pennsylvania Street, Denver, CO 80209",335 S Pennsylvania Street,Denver,CO,80209,939772.0,2014.0,481400.0,479600.0,492500.0,498300.0,511400.0,522100.0,494200.0,494500.0,494000.0,483600.0,514600.0,521900.0,Washington Park West
2579,13355287,https://www.zillow.com/homedetails/335-S-Pennsylvania-St-Denver-CO-80209/13355287_zpid/,980000.0,"335 S Pennsylvania Street, Denver, CO 80209",335 S Pennsylvania Street,Denver,CO,80209,939772.0,2013.0,453200.0,460300.0,477900.0,496300.0,511400.0,505700.0,491500.0,488200.0,480300.0,474500.0,469700.0,480800.0,Washington Park West
