,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
2040,13403882,https://www.zillow.com/homedetails/742-S-Holly-St-Denver-CO-80246/13403882_zpid/,665000.0,"742 S Holly Street, Denver, CO 80246",742 S Holly Street,Denver,CO,80246,674200.0,2022.0,661700.0,680700.0,722300.0,740400.0,744500.0,728900.0,699800.0,678700.0,674300.0,672500.0,672400.0,0.0,Washington Virginia Vale
2041,13403882,https://www.zillow.com/homedetails/742-S-Holly-St-Denver-CO-80246/13403882_zpid/,665000.0,"742 S Holly Street, Denver, CO 80246",742 S Holly Street,Denver,CO,80246,674200.0,2021.0,559000.0,570200.0,574300.0,606800.0,622300.0,645000.0,648600.0,633200.0,627200.0,632400.0,637800.0,647500.0,Washington Virginia Vale
2042,13403882,https://www.zillow.com/homedetails/742-S-Holly-St-Denver-CO-80246/13403882_zpid/,665000.0,"742 S Holly Street, Denver, CO 80246",742 S Holly Street,Denver,CO,80246,674200.0,2020.0,554600.0,556900.0,568100.0,573300.0,569000.0,568200.0,567600.0,566900.0,525000.0,531100.0,538800.0,551400.0,Washington Virginia Vale
2043,13403882,https://www.zillow.com/homedetails/742-S-Holly-St-Denver-CO-80246/13403882_zpid/,665000.0,"742 S Holly Street, Denver, CO 80246",742 S Holly Street,Denver,CO,80246,674200.0,2019.0,570800.0,569500.0,566800.0,571300.0,567200.0,568200.0,567800.0,561100.0,552800.0,541500.0,541600.0,545400.0,Washington Virginia Vale
2044,13403882,https://www.zillow.com/homedetails/742-S-Holly-St-Denver-CO-80246/13403882_zpid/,665000.0,"742 S Holly Street, Denver, CO 80246",742 S Holly Street,Denver,CO,80246,674200.0,2018.0,529300.0,533100.0,541100.0,550600.0,551600.0,553700.0,556800.0,558900.0,564500.0,567700.0,567100.0,571700.0,Washington Virginia Vale
2045,13403882,https://www.zillow.com/homedetails/742-S-Holly-St-Denver-CO-80246/13403882_zpid/,665000.0,"742 S Holly Street, Denver, CO 80246",742 S Holly Street,Denver,CO,80246,674200.0,2017.0,489500.0,499000.0,509100.0,506700.0,511300.0,513500.0,512900.0,512800.0,516600.0,518400.0,522600.0,527800.0,Washington Virginia Vale
2046,13403882,https://www.zillow.com/homedetails/742-S-Holly-St-Denver-CO-80246/13403882_zpid/,665000.0,"742 S Holly Street, Denver, CO 80246",742 S Holly Street,Denver,CO,80246,674200.0,2016.0,449600.0,453800.0,453800.0,459600.0,458800.0,464000.0,465600.0,469200.0,471600.0,474300.0,478300.0,481100.0,Washington Virginia Vale
2047,13403882,https://www.zillow.com/homedetails/742-S-Holly-St-Denver-CO-80246/13403882_zpid/,665000.0,"742 S Holly Street, Denver, CO 80246",742 S Holly Street,Denver,CO,80246,674200.0,2015.0,392400.0,400800.0,404300.0,407600.0,410400.0,412800.0,419400.0,424000.0,428100.0,432900.0,436600.0,441100.0,Washington Virginia Vale
2048,13403882,https://www.zillow.com/homedetails/742-S-Holly-St-Denver-CO-80246/13403882_zpid/,665000.0,"742 S Holly Street, Denver, CO 80246",742 S Holly Street,Denver,CO,80246,674200.0,2014.0,197400.0,198300.0,199600.0,201500.0,206100.0,202700.0,370400.0,371400.0,371300.0,376600.0,382200.0,386400.0,Washington Virginia Vale
2049,13403882,https://www.zillow.com/homedetails/742-S-Holly-St-Denver-CO-80246/13403882_zpid/,665000.0,"742 S Holly Street, Denver, CO 80246",742 S Holly Street,Denver,CO,80246,674200.0,2013.0,268900.0,276400.0,282300.0,279700.0,284000.0,273400.0,273100.0,286500.0,195000.0,195000.0,194800.0,195600.0,Washington Virginia Vale
