,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
2780,13387608,https://www.zillow.com/homedetails/2965-S-Monroe-St-Denver-CO-80210/13387608_zpid/,1250000.0,"2965 S Monroe Street, Denver, CO 80210",2965 S Monroe Street,Denver,CO,80210,1250000.0,2022.0,799300.0,825600.0,947500.0,979400.0,979400.0,968300.0,940700.0,917400.0,902600.0,1200000.0,1200000.0,0.0,Wellshire
2781,13387608,https://www.zillow.com/homedetails/2965-S-Monroe-St-Denver-CO-80210/13387608_zpid/,1250000.0,"2965 S Monroe Street, Denver, CO 80210",2965 S Monroe Street,Denver,CO,80210,1250000.0,2021.0,626800.0,638100.0,653700.0,689800.0,708900.0,761300.0,779400.0,772500.0,775700.0,775100.0,773200.0,781500.0,Wellshire
2782,13387608,https://www.zillow.com/homedetails/2965-S-Monroe-St-Denver-CO-80210/13387608_zpid/,1250000.0,"2965 S Monroe Street, Denver, CO 80210",2965 S Monroe Street,Denver,CO,80210,1250000.0,2020.0,473900.0,476600.0,561700.0,550200.0,550000.0,588400.0,572700.0,690300.0,690000.0,623000.0,615600.0,632900.0,Wellshire
2783,13387608,https://www.zillow.com/homedetails/2965-S-Monroe-St-Denver-CO-80210/13387608_zpid/,1250000.0,"2965 S Monroe Street, Denver, CO 80210",2965 S Monroe Street,Denver,CO,80210,1250000.0,2019.0,528000.0,530100.0,512000.0,523700.00000000006,518700.00000000006,523600.0,524300.0,521500.0,494200.0,494300.0,482300.0,474400.0,Wellshire
2784,13387608,https://www.zillow.com/homedetails/2965-S-Monroe-St-Denver-CO-80210/13387608_zpid/,1250000.0,"2965 S Monroe Street, Denver, CO 80210",2965 S Monroe Street,Denver,CO,80210,1250000.0,2018.0,489100.0,489600.0,503600.0,504800.0,500400.0,498200.0,511400.0,511300.0,492400.0,497200.0,518400.0,520600.0,Wellshire
2785,13387608,https://www.zillow.com/homedetails/2965-S-Monroe-St-Denver-CO-80210/13387608_zpid/,1250000.0,"2965 S Monroe Street, Denver, CO 80210",2965 S Monroe Street,Denver,CO,80210,1250000.0,2017.0,447900.0,449500.0,465700.0,467600.0,470500.0,476000.0,476700.0,486400.0,490000.0,490400.0,498700.0,501100.0,Wellshire
2786,13387608,https://www.zillow.com/homedetails/2965-S-Monroe-St-Denver-CO-80210/13387608_zpid/,1250000.0,"2965 S Monroe Street, Denver, CO 80210",2965 S Monroe Street,Denver,CO,80210,1250000.0,2016.0,408200.0,408500.0,406600.0,411800.0,418200.0,414900.0,421000.0,427100.0,431200.0,428900.0,437200.0,445500.0,Wellshire
2787,13387608,https://www.zillow.com/homedetails/2965-S-Monroe-St-Denver-CO-80210/13387608_zpid/,1250000.0,"2965 S Monroe Street, Denver, CO 80210",2965 S Monroe Street,Denver,CO,80210,1250000.0,2015.0,354900.0,358000.0,367700.0,377800.0,379900.0,386300.0,383100.0,388800.0,388600.0,391600.0,389200.0,397000.0,Wellshire
2788,13387608,https://www.zillow.com/homedetails/2965-S-Monroe-St-Denver-CO-80210/13387608_zpid/,1250000.0,"2965 S Monroe Street, Denver, CO 80210",2965 S Monroe Street,Denver,CO,80210,1250000.0,2014.0,329700.0,331900.0,333900.0,339100.0,339900.0,345600.0,351800.0,362900.0,353000.0,361200.0,371000.0,373000.0,Wellshire
2789,13387608,https://www.zillow.com/homedetails/2965-S-Monroe-St-Denver-CO-80210/13387608_zpid/,1250000.0,"2965 S Monroe Street, Denver, CO 80210",2965 S Monroe Street,Denver,CO,80210,1250000.0,2013.0,304800.0,315700.0,317300.0,323300.0,326300.0,332900.0,333100.0,324600.0,323300.0,324800.0,329300.0,327400.0,Wellshire
