,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
530,2094865887,https://www.zillow.com/homedetails/1707-Grove-St-Denver-CO-80204/2094865887_zpid/,570000.0,"1707 Grove Street, Denver, CO 80204",1707 Grove Street,Denver,CO,80204,570002.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570000.0,570000.0,0.0,West Colfax
531,2094865887,https://www.zillow.com/homedetails/1707-Grove-St-Denver-CO-80204/2094865887_zpid/,570000.0,"1707 Grove Street, Denver, CO 80204",1707 Grove Street,Denver,CO,80204,570002.0,2021.0,385300.0,394300.0,451600.0,389100.0,430100.0,487900.0,483900.0,0.0,0.0,0.0,0.0,0.0,West Colfax
532,2094865887,https://www.zillow.com/homedetails/1707-Grove-St-Denver-CO-80204/2094865887_zpid/,570000.0,"1707 Grove Street, Denver, CO 80204",1707 Grove Street,Denver,CO,80204,570002.0,2020.0,424100.0,360700.0,348100.0,355000.0,368800.0,374000.0,359000.0,417800.0,397100.0,382300.0,392800.0,400400.0,West Colfax
533,2094865887,https://www.zillow.com/homedetails/1707-Grove-St-Denver-CO-80204/2094865887_zpid/,570000.0,"1707 Grove Street, Denver, CO 80204",1707 Grove Street,Denver,CO,80204,570002.0,2019.0,368500.0,307600.0,354100.0,338100.0,335100.0,335400.0,312800.0,365500.0,362300.0,369900.0,383400.0,380400.0,West Colfax
534,2094865887,https://www.zillow.com/homedetails/1707-Grove-St-Denver-CO-80204/2094865887_zpid/,570000.0,"1707 Grove Street, Denver, CO 80204",1707 Grove Street,Denver,CO,80204,570002.0,2018.0,377200.0,397900.0,357100.0,380800.0,332600.0,360300.0,366800.0,375300.0,363200.0,379600.0,355700.0,315400.0,West Colfax
535,2094865887,https://www.zillow.com/homedetails/1707-Grove-St-Denver-CO-80204/2094865887_zpid/,570000.0,"1707 Grove Street, Denver, CO 80204",1707 Grove Street,Denver,CO,80204,570002.0,2017.0,327100.0,363900.0,326100.0,329500.0,322000.0,336000.0,327500.0,355200.0,361300.0,389300.0,388500.0,410100.0,West Colfax
536,2094865887,https://www.zillow.com/homedetails/1707-Grove-St-Denver-CO-80204/2094865887_zpid/,570000.0,"1707 Grove Street, Denver, CO 80204",1707 Grove Street,Denver,CO,80204,570002.0,2016.0,295200.0,299900.0,297200.0,302300.0,290000.0,253200.0,320900.0,292200.0,343800.0,344000.0,271500.0,285100.0,West Colfax
537,2094865887,https://www.zillow.com/homedetails/1707-Grove-St-Denver-CO-80204/2094865887_zpid/,570000.0,"1707 Grove Street, Denver, CO 80204",1707 Grove Street,Denver,CO,80204,570002.0,2015.0,291800.0,294000.0,307800.0,310800.0,269200.0,284200.0,220200.0,298000.0,222500.0,324400.0,304600.0,288800.0,West Colfax
538,2094865887,https://www.zillow.com/homedetails/1707-Grove-St-Denver-CO-80204/2094865887_zpid/,570000.0,"1707 Grove Street, Denver, CO 80204",1707 Grove Street,Denver,CO,80204,570002.0,2014.0,181600.0,193200.0,170000.0,234100.0,270100.0,220700.0,256200.0,215800.0,215900.0,178700.0,245900.0,207200.0,West Colfax
539,2094865887,https://www.zillow.com/homedetails/1707-Grove-St-Denver-CO-80204/2094865887_zpid/,570000.0,"1707 Grove Street, Denver, CO 80204",1707 Grove Street,Denver,CO,80204,570002.0,2013.0,195200.0,163700.0,150000.0,189900.0,165100.0,162600.0,188300.0,195200.0,188800.0,228400.0,159300.0,164700.0,West Colfax
860,13335408,https://www.zillow.com/homedetails/1434-Knox-Ct-Denver-CO-80204/13335408_zpid/,550000.0,"1434 Knox Court, Denver, CO 80204",1434 Knox Court,Denver,CO,80204,545416.0,2022.0,572200.0,589200.0,625400.0,644800.0,650600.0,641100.0,615200.0,597300.0,589500.0,544000.0,550000.0,0.0,West Colfax
861,13335408,https://www.zillow.com/homedetails/1434-Knox-Ct-Denver-CO-80204/13335408_zpid/,550000.0,"1434 Knox Court, Denver, CO 80204",1434 Knox Court,Denver,CO,80204,545416.0,2021.0,460600.0,462300.0,466500.0,472800.0,484400.0,565600.0,569200.0,559300.0,555600.0,558500.0,561300.0,567800.0,West Colfax
862,13335408,https://www.zillow.com/homedetails/1434-Knox-Ct-Denver-CO-80204/13335408_zpid/,550000.0,"1434 Knox Court, Denver, CO 80204",1434 Knox Court,Denver,CO,80204,545416.0,2020.0,425900.0,428100.0,433800.0,434700.0,431900.0,437900.0,435400.0,436100.0,440800.0,447900.0,451700.0,455600.0,West Colfax
863,13335408,https://www.zillow.com/homedetails/1434-Knox-Ct-Denver-CO-80204/13335408_zpid/,550000.0,"1434 Knox Court, Denver, CO 80204",1434 Knox Court,Denver,CO,80204,545416.0,2019.0,430600.0,429600.0,428500.0,429800.0,428200.0,429900.0,429600.0,431300.0,432200.0,421100.0,421400.0,423600.0,West Colfax
864,13335408,https://www.zillow.com/homedetails/1434-Knox-Ct-Denver-CO-80204/13335408_zpid/,550000.0,"1434 Knox Court, Denver, CO 80204",1434 Knox Court,Denver,CO,80204,545416.0,2018.0,398600.0,401600.0,408000.0,414000.0,418400.0,418200.0,420500.0,421400.0,425000.0,426900.0,428300.0,431500.0,West Colfax
865,13335408,https://www.zillow.com/homedetails/1434-Knox-Ct-Denver-CO-80204/13335408_zpid/,550000.0,"1434 Knox Court, Denver, CO 80204",1434 Knox Court,Denver,CO,80204,545416.0,2017.0,367700.0,371700.0,377400.0,380300.0,384000.0,385200.0,385000.0,384000.0,386500.0,387600.0,391100.0,394300.0,West Colfax
866,13335408,https://www.zillow.com/homedetails/1434-Knox-Ct-Denver-CO-80204/13335408_zpid/,550000.0,"1434 Knox Court, Denver, CO 80204",1434 Knox Court,Denver,CO,80204,545416.0,2016.0,336800.0,342500.0,355200.0,362700.0,369600.0,360800.0,360900.0,400100.0,389900.0,387400.0,382100.0,365200.0,West Colfax
867,13335408,https://www.zillow.com/homedetails/1434-Knox-Ct-Denver-CO-80204/13335408_zpid/,550000.0,"1434 Knox Court, Denver, CO 80204",1434 Knox Court,Denver,CO,80204,545416.0,2015.0,279300.0,276100.0,282800.0,288700.0,294800.0,299400.0,311200.0,307900.0,307400.0,318700.0,325700.0,333400.0,West Colfax
868,13335408,https://www.zillow.com/homedetails/1434-Knox-Ct-Denver-CO-80204/13335408_zpid/,550000.0,"1434 Knox Court, Denver, CO 80204",1434 Knox Court,Denver,CO,80204,545416.0,2014.0,219700.0,219800.0,213900.0,222200.0,228000.0,230100.0,229300.0,228700.0,256200.0,273800.0,266900.0,274400.0,West Colfax
869,13335408,https://www.zillow.com/homedetails/1434-Knox-Ct-Denver-CO-80204/13335408_zpid/,550000.0,"1434 Knox Court, Denver, CO 80204",1434 Knox Court,Denver,CO,80204,545416.0,2013.0,185000.0,186500.0,185600.0,189300.0,301900.0,303700.0,288200.0,275000.0,275000.0,206100.0,213300.0,218500.0,West Colfax
1860,118270382,https://www.zillow.com/homedetails/1591-N-Grove-St-Denver-CO-80204/118270382_zpid/,510000.0,"1591 Grove Street, Denver, CO 80204",1591 Grove Street,Denver,CO,80204,514359.0,2022.0,464800.0,477700.0,496900.0,509500.0,512500.0,509400.0,491600.0,480400.0,479100.0,506000.0,516000.0,0.0,West Colfax
1861,118270382,https://www.zillow.com/homedetails/1591-N-Grove-St-Denver-CO-80204/118270382_zpid/,510000.0,"1591 Grove Street, Denver, CO 80204",1591 Grove Street,Denver,CO,80204,514359.0,2021.0,431600.0,434500.0,443500.0,454300.0,467800.0,460400.0,456900.0,449000.0,444500.0,448200.0,451100.0,455200.0,West Colfax
1862,118270382,https://www.zillow.com/homedetails/1591-N-Grove-St-Denver-CO-80204/118270382_zpid/,510000.0,"1591 Grove Street, Denver, CO 80204",1591 Grove Street,Denver,CO,80204,514359.0,2020.0,388600.0,387800.0,388600.0,389100.0,389900.0,394000.0,393700.0,392800.0,412300.0,417900.0,422200.0,428300.0,West Colfax
1863,118270382,https://www.zillow.com/homedetails/1591-N-Grove-St-Denver-CO-80204/118270382_zpid/,510000.0,"1591 Grove Street, Denver, CO 80204",1591 Grove Street,Denver,CO,80204,514359.0,2019.0,388100.0,387400.0,384800.0,386800.0,387500.0,404100.0,399900.0,393700.0,385600.0,384500.0,385900.0,387000.0,West Colfax
1864,118270382,https://www.zillow.com/homedetails/1591-N-Grove-St-Denver-CO-80204/118270382_zpid/,510000.0,"1591 Grove Street, Denver, CO 80204",1591 Grove Street,Denver,CO,80204,514359.0,2018.0,359600.0,362100.0,368000.0,373100.0,375700.0,376100.0,377900.0,379500.0,383300.0,385500.0,385600.0,389300.0,West Colfax
1865,118270382,https://www.zillow.com/homedetails/1591-N-Grove-St-Denver-CO-80204/118270382_zpid/,510000.0,"1591 Grove Street, Denver, CO 80204",1591 Grove Street,Denver,CO,80204,514359.0,2017.0,332900.0,339600.0,346000.0,345800.0,348800.0,349900.0,350000.0,349100.0,351200.0,352900.0,356300.0,359500.0,West Colfax
1866,118270382,https://www.zillow.com/homedetails/1591-N-Grove-St-Denver-CO-80204/118270382_zpid/,510000.0,"1591 Grove Street, Denver, CO 80204",1591 Grove Street,Denver,CO,80204,514359.0,2016.0,293200.0,302400.0,303800.0,308900.0,311800.0,315300.0,316500.0,318300.0,320100.0,321800.0,324900.0,326300.0,West Colfax
1867,118270382,https://www.zillow.com/homedetails/1591-N-Grove-St-Denver-CO-80204/118270382_zpid/,510000.0,"1591 Grove Street, Denver, CO 80204",1591 Grove Street,Denver,CO,80204,514359.0,2015.0,252500.0,253000.0,254800.0,270600.0,271000.0,286300.0,295800.0,293800.0,294000.0,295300.0,302800.0,303700.0,West Colfax
1868,118270382,https://www.zillow.com/homedetails/1591-N-Grove-St-Denver-CO-80204/118270382_zpid/,510000.0,"1591 Grove Street, Denver, CO 80204",1591 Grove Street,Denver,CO,80204,514359.0,2014.0,165400.0,166200.0,168300.0,172500.0,174500.0,174400.0,173100.0,174400.0,177600.0,204800.0,228500.0,251500.0,West Colfax
1869,118270382,https://www.zillow.com/homedetails/1591-N-Grove-St-Denver-CO-80204/118270382_zpid/,510000.0,"1591 Grove Street, Denver, CO 80204",1591 Grove Street,Denver,CO,80204,514359.0,2013.0,153800.0,155000.0,156500.0,157300.0,160200.0,161600.0,164400.0,164400.0,164300.0,165200.0,163500.0,164100.0,West Colfax
2100,13336136,https://www.zillow.com/homedetails/1425-Quitman-St-Denver-CO-80204/13336136_zpid/,700000.0,"1425 N Quitman Street, Denver, CO 80204",1425 N Quitman Street,Denver,CO,80204,686274.0,2022.0,620100.0,627200.0,697600.0,730100.0,720100.0,694600.0,665900.0,641400.0,630700.0,688100.0,696500.0,0.0,West Colfax
2101,13336136,https://www.zillow.com/homedetails/1425-Quitman-St-Denver-CO-80204/13336136_zpid/,700000.0,"1425 N Quitman Street, Denver, CO 80204",1425 N Quitman Street,Denver,CO,80204,686274.0,2021.0,610800.0,622700.0,636400.0,672000.0,686300.0,660800.0,651000.0,630200.0,620400.0,624500.0,621700.0,614700.0,West Colfax
2102,13336136,https://www.zillow.com/homedetails/1425-Quitman-St-Denver-CO-80204/13336136_zpid/,700000.0,"1425 N Quitman Street, Denver, CO 80204",1425 N Quitman Street,Denver,CO,80204,686274.0,2020.0,549200.0,556800.0,564300.0,567900.0,574900.0,575200.0,571200.0,572300.0,592500.0,597900.0,600700.0,603700.0,West Colfax
2103,13336136,https://www.zillow.com/homedetails/1425-Quitman-St-Denver-CO-80204/13336136_zpid/,700000.0,"1425 N Quitman Street, Denver, CO 80204",1425 N Quitman Street,Denver,CO,80204,686274.0,2019.0,509000.0,517300.0,512600.0,513000.0,506700.0,512600.0,510500.0,534700.0,526200.0,527500.0,532700.0,540400.0,West Colfax
2104,13336136,https://www.zillow.com/homedetails/1425-Quitman-St-Denver-CO-80204/13336136_zpid/,700000.0,"1425 N Quitman Street, Denver, CO 80204",1425 N Quitman Street,Denver,CO,80204,686274.0,2018.0,423900.0,433700.0,515200.00000000006,518900.0,530100.0,534100.0,527100.0,525400.0,519900.0,522300.0,512400.0,510400.0,West Colfax
2105,13336136,https://www.zillow.com/homedetails/1425-Quitman-St-Denver-CO-80204/13336136_zpid/,700000.0,"1425 N Quitman Street, Denver, CO 80204",1425 N Quitman Street,Denver,CO,80204,686274.0,2017.0,414700.0,422100.0,427800.0,428100.0,428200.0,430300.0,426400.0,420200.0,423000.0,434800.0,427700.0,433300.0,West Colfax
2106,13336136,https://www.zillow.com/homedetails/1425-Quitman-St-Denver-CO-80204/13336136_zpid/,700000.0,"1425 N Quitman Street, Denver, CO 80204",1425 N Quitman Street,Denver,CO,80204,686274.0,2016.0,376700.0,390200.0,398100.0,422000.0,421000.0,431400.0,416300.0,421700.0,404800.0,403000.0,427600.0,426200.0,West Colfax
2107,13336136,https://www.zillow.com/homedetails/1425-Quitman-St-Denver-CO-80204/13336136_zpid/,700000.0,"1425 N Quitman Street, Denver, CO 80204",1425 N Quitman Street,Denver,CO,80204,686274.0,2015.0,310800.0,319200.0,326100.0,341400.0,339000.0,357600.0,359100.0,374300.0,375600.0,392800.0,397300.0,401900.0,West Colfax
2108,13336136,https://www.zillow.com/homedetails/1425-Quitman-St-Denver-CO-80204/13336136_zpid/,700000.0,"1425 N Quitman Street, Denver, CO 80204",1425 N Quitman Street,Denver,CO,80204,686274.0,2014.0,305800.0,300700.0,295900.0,309200.0,336400.0,339100.0,326900.0,338700.0,342500.0,352400.0,354900.0,353300.0,West Colfax
2109,13336136,https://www.zillow.com/homedetails/1425-Quitman-St-Denver-CO-80204/13336136_zpid/,700000.0,"1425 N Quitman Street, Denver, CO 80204",1425 N Quitman Street,Denver,CO,80204,686274.0,2013.0,231500.0,229700.0,235900.0,256200.0,275200.0,275000.0,275000.0,278500.0,281800.0,311800.0,306900.0,311500.0,West Colfax
4800,303876841,https://www.zillow.com/homedetails/1403-N-Knox-Ct-Denver-CO-80204/303876841_zpid/,675000.0,"1403 Knox Court, Denver, CO 80204",1403 Knox Court,Denver,CO,80204,663260.0,2022.0,650800.0,669200.0,697500.0,713800.0,722700.0,704700.0,677000.0,730000.0,725000.0,668700.0,661800.0,0.0,West Colfax
4801,303876841,https://www.zillow.com/homedetails/1403-N-Knox-Ct-Denver-CO-80204/303876841_zpid/,675000.0,"1403 Knox Court, Denver, CO 80204",1403 Knox Court,Denver,CO,80204,663260.0,2021.0,568000.0,573700.0,578200.0,599900.0,613500.0,652300.0,644700.0,632600.0,633000.0,637400.0,638500.0,649800.0,West Colfax
4802,303876841,https://www.zillow.com/homedetails/1403-N-Knox-Ct-Denver-CO-80204/303876841_zpid/,675000.0,"1403 Knox Court, Denver, CO 80204",1403 Knox Court,Denver,CO,80204,663260.0,2020.0,521000.0,523200.00000000006,529400.0,533600.0,538800.0,528500.0,525200.0,525900.0,542700.0,546500.0,555000.0,563800.0,West Colfax
4803,303876841,https://www.zillow.com/homedetails/1403-N-Knox-Ct-Denver-CO-80204/303876841_zpid/,675000.0,"1403 Knox Court, Denver, CO 80204",1403 Knox Court,Denver,CO,80204,663260.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526100.0,523700.00000000006,519200.00000000006,518900.0,West Colfax
4804,303876841,https://www.zillow.com/homedetails/1403-N-Knox-Ct-Denver-CO-80204/303876841_zpid/,675000.0,"1403 Knox Court, Denver, CO 80204",1403 Knox Court,Denver,CO,80204,663260.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Colfax
4805,303876841,https://www.zillow.com/homedetails/1403-N-Knox-Ct-Denver-CO-80204/303876841_zpid/,675000.0,"1403 Knox Court, Denver, CO 80204",1403 Knox Court,Denver,CO,80204,663260.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Colfax
4806,303876841,https://www.zillow.com/homedetails/1403-N-Knox-Ct-Denver-CO-80204/303876841_zpid/,675000.0,"1403 Knox Court, Denver, CO 80204",1403 Knox Court,Denver,CO,80204,663260.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Colfax
4807,303876841,https://www.zillow.com/homedetails/1403-N-Knox-Ct-Denver-CO-80204/303876841_zpid/,675000.0,"1403 Knox Court, Denver, CO 80204",1403 Knox Court,Denver,CO,80204,663260.0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Colfax
4808,303876841,https://www.zillow.com/homedetails/1403-N-Knox-Ct-Denver-CO-80204/303876841_zpid/,675000.0,"1403 Knox Court, Denver, CO 80204",1403 Knox Court,Denver,CO,80204,663260.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Colfax
4809,303876841,https://www.zillow.com/homedetails/1403-N-Knox-Ct-Denver-CO-80204/303876841_zpid/,675000.0,"1403 Knox Court, Denver, CO 80204",1403 Knox Court,Denver,CO,80204,663260.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Colfax
