,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
190,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2022.0,477300.0,489500.0,514900.0,520300.0,513100.0,508600.0,494500.0,475000.0,471300.0,442400.0,444900.0,0.0,West Highland
191,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2021.0,367300.0,368700.0,371900.0,377200.0,386400.0,477100.0,472200.0,460900.0,460700.0,462500.0,465200.0,467600.0,West Highland
192,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2020.0,339300.0,341400.0,346000.0,346700.0,344400.0,349300.0,347300.0,347800.0,351500.0,356900.0,360100.0,363300.0,West Highland
193,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2019.0,395000.0,349000.0,348200.0,344800.0,344400.0,334300.0,334300.0,334300.0,333800.0,335600.0,335700.0,337700.0,West Highland
194,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2018.0,361200.0,353200.0,351600.0,359300.0,350000.0,350700.0,350800.0,356100.0,358000.0,362900.0,363900.0,370200.0,West Highland
195,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2017.0,332500.0,336600.0,341400.0,345600.0,358200.0,356000.0,353100.0,353200.0,364000.0,356200.0,354100.0,368500.0,West Highland
196,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2016.0,318100.0,314500.0,318000.0,326700.0,331000.0,330700.0,332000.0,339200.0,338300.0,337900.0,339000.0,343700.0,West Highland
197,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2015.0,236700.0,306100.0,320700.0,297600.0,283400.0,283300.0,301500.0,310000.0,318500.0,322100.0,324300.0,320200.0,West Highland
198,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2014.0,225900.0,216200.0,213100.0,198400.0,259600.00000000003,253300.0,252100.0,250400.0,254500.0,254500.0,237200.0,236100.0,West Highland
199,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2013.0,170100.0,193900.0,200500.0,197700.0,165800.0,196100.0,180200.0,184300.0,165100.0,200000.0,182400.0,198300.0,West Highland
490,13312242,https://www.zillow.com/homedetails/3761-Stuart-St-Denver-CO-80212/13312242_zpid/,775000.0,"3761 Stuart Street, Denver, CO 80212",3761 Stuart Street,Denver,CO,80212,775003.0,2022.0,829800.0,851100.0,918000.0,951500.0,950100.0,931500.0,889300.0,856700.0,847200.0,819000.0,775000.0,0.0,West Highland
491,13312242,https://www.zillow.com/homedetails/3761-Stuart-St-Denver-CO-80212/13312242_zpid/,775000.0,"3761 Stuart Street, Denver, CO 80212",3761 Stuart Street,Denver,CO,80212,775003.0,2021.0,694100.0,696600.0,697800.0,711600.0,727900.0,741000.0,758600.0,759900.0,766700.0,789400.0,802000.0,827700.0,West Highland
492,13312242,https://www.zillow.com/homedetails/3761-Stuart-St-Denver-CO-80212/13312242_zpid/,775000.0,"3761 Stuart Street, Denver, CO 80212",3761 Stuart Street,Denver,CO,80212,775003.0,2020.0,617700.0,642200.0,647200.0,649600.0,650700.0,655900.0,653300.0,651700.0,656400.0,668100.0,679200.0,686100.0,West Highland
