,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
450,13360657,https://www.zillow.com/homedetails/583-S-Lowell-Blvd-Denver-CO-80219/13360657_zpid/,450000.0,"583 S Lowell Boulevard, Denver, CO 80219",583 S Lowell Boulevard,Denver,CO,80219,446793.0,2022.0,368600.0,376800.0,404500.0,415900.0,419900.0,410500.0,402600.0,389800.0,381800.0,450000.0,450000.0,0.0,Westwood
451,13360657,https://www.zillow.com/homedetails/583-S-Lowell-Blvd-Denver-CO-80219/13360657_zpid/,450000.0,"583 S Lowell Boulevard, Denver, CO 80219",583 S Lowell Boulevard,Denver,CO,80219,446793.0,2021.0,337700.0,336600.0,345600.0,364300.0,373300.0,373200.0,369900.0,364200.0,360100.0,361600.0,362800.0,364200.0,Westwood
452,13360657,https://www.zillow.com/homedetails/583-S-Lowell-Blvd-Denver-CO-80219/13360657_zpid/,450000.0,"583 S Lowell Boulevard, Denver, CO 80219",583 S Lowell Boulevard,Denver,CO,80219,446793.0,2020.0,290700.0,292800.0,297500.0,302800.0,307800.0,310800.0,313900.0,317300.0,321000.0,327900.0,334400.0,334800.0,Westwood
453,13360657,https://www.zillow.com/homedetails/583-S-Lowell-Blvd-Denver-CO-80219/13360657_zpid/,450000.0,"583 S Lowell Boulevard, Denver, CO 80219",583 S Lowell Boulevard,Denver,CO,80219,446793.0,2019.0,298300.0,305400.0,300300.0,300800.0,298500.0,293600.0,297700.0,298900.0,293200.0,292600.0,292000.0,291000.0,Westwood
454,13360657,https://www.zillow.com/homedetails/583-S-Lowell-Blvd-Denver-CO-80219/13360657_zpid/,450000.0,"583 S Lowell Boulevard, Denver, CO 80219",583 S Lowell Boulevard,Denver,CO,80219,446793.0,2018.0,280100.0,285100.0,296200.0,296900.0,293800.0,292100.0,299300.0,301400.0,298700.0,297800.0,300800.0,298400.0,Westwood
455,13360657,https://www.zillow.com/homedetails/583-S-Lowell-Blvd-Denver-CO-80219/13360657_zpid/,450000.0,"583 S Lowell Boulevard, Denver, CO 80219",583 S Lowell Boulevard,Denver,CO,80219,446793.0,2017.0,246600.0,249500.0,256400.0,257000.0,260800.0,269300.0,267300.0,269300.0,267800.0,270500.0,269400.0,276900.0,Westwood
456,13360657,https://www.zillow.com/homedetails/583-S-Lowell-Blvd-Denver-CO-80219/13360657_zpid/,450000.0,"583 S Lowell Boulevard, Denver, CO 80219",583 S Lowell Boulevard,Denver,CO,80219,446793.0,2016.0,200200.0,210900.0,215800.0,221500.0,228800.0,232500.0,235400.0,235400.0,233400.0,230900.0,236000.0,236800.0,Westwood
457,13360657,https://www.zillow.com/homedetails/583-S-Lowell-Blvd-Denver-CO-80219/13360657_zpid/,450000.0,"583 S Lowell Boulevard, Denver, CO 80219",583 S Lowell Boulevard,Denver,CO,80219,446793.0,2015.0,169700.0,171800.0,173300.0,177200.0,176100.0,176300.0,175800.0,175500.0,176300.0,183600.0,191400.0,192200.0,Westwood
458,13360657,https://www.zillow.com/homedetails/583-S-Lowell-Blvd-Denver-CO-80219/13360657_zpid/,450000.0,"583 S Lowell Boulevard, Denver, CO 80219",583 S Lowell Boulevard,Denver,CO,80219,446793.0,2014.0,144600.0,142400.0,145400.0,151500.0,151100.0,152600.0,155400.0,157100.0,158000.0,156300.0,162500.0,167000.0,Westwood
459,13360657,https://www.zillow.com/homedetails/583-S-Lowell-Blvd-Denver-CO-80219/13360657_zpid/,450000.0,"583 S Lowell Boulevard, Denver, CO 80219",583 S Lowell Boulevard,Denver,CO,80219,446793.0,2013.0,136000.0,129800.0,128700.0,128400.0,123200.0,128400.0,136800.0,134000.0,137900.0,139700.0,141500.0,144000.0,Westwood
730,13359507,https://www.zillow.com/homedetails/3181-W-Ohio-Ave-Denver-CO-80219/13359507_zpid/,380000.0,"3181 W Ohio Avenue, Denver, CO 80219",3181 W Ohio Avenue,Denver,CO,80219,373800.0,2022.0,381600.0,390900.0,406000.0,414100.0,416300.0,411200.0,400200.0,392600.0,383900.0,372900.0,375500.0,0.0,Westwood
731,13359507,https://www.zillow.com/homedetails/3181-W-Ohio-Ave-Denver-CO-80219/13359507_zpid/,380000.0,"3181 W Ohio Avenue, Denver, CO 80219",3181 W Ohio Avenue,Denver,CO,80219,373800.0,2021.0,328200.0,330400.0,333100.0,337400.0,344700.0,352000.0,362400.0,362900.0,364000.0,369700.0,373000.0,376500.0,Westwood
732,13359507,https://www.zillow.com/homedetails/3181-W-Ohio-Ave-Denver-CO-80219/13359507_zpid/,380000.0,"3181 W Ohio Avenue, Denver, CO 80219",3181 W Ohio Avenue,Denver,CO,80219,373800.0,2020.0,286400.0,288700.0,292100.0,295200.0,301300.0,309400.0,302300.0,305700.0,303000.0,307400.0,324600.0,325000.0,Westwood
733,13359507,https://www.zillow.com/homedetails/3181-W-Ohio-Ave-Denver-CO-80219/13359507_zpid/,380000.0,"3181 W Ohio Avenue, Denver, CO 80219",3181 W Ohio Avenue,Denver,CO,80219,373800.0,2019.0,283400.0,282800.0,281500.0,282000.0,281300.0,282600.0,282900.0,284300.0,284700.0,283000.0,283100.0,286100.0,Westwood
734,13359507,https://www.zillow.com/homedetails/3181-W-Ohio-Ave-Denver-CO-80219/13359507_zpid/,380000.0,"3181 W Ohio Avenue, Denver, CO 80219",3181 W Ohio Avenue,Denver,CO,80219,373800.0,2018.0,262400.0,264400.0,268800.0,272400.0,274000.0,275200.0,276600.0,277300.0,279700.0,281200.0,282000.0,284200.0,Westwood
735,13359507,https://www.zillow.com/homedetails/3181-W-Ohio-Ave-Denver-CO-80219/13359507_zpid/,380000.0,"3181 W Ohio Avenue, Denver, CO 80219",3181 W Ohio Avenue,Denver,CO,80219,373800.0,2017.0,170700.0,172500.0,174900.0,247300.0,250000.0,251600.0,251800.0,251700.0,253300.0,254100.0,256900.0,258600.00000000003,Westwood
736,13359507,https://www.zillow.com/homedetails/3181-W-Ohio-Ave-Denver-CO-80219/13359507_zpid/,380000.0,"3181 W Ohio Avenue, Denver, CO 80219",3181 W Ohio Avenue,Denver,CO,80219,373800.0,2016.0,182100.0,187500.0,194700.0,205100.0,205900.0,207800.0,213300.0,221000.0,213600.0,210900.0,204100.0,188700.0,Westwood
737,13359507,https://www.zillow.com/homedetails/3181-W-Ohio-Ave-Denver-CO-80219/13359507_zpid/,380000.0,"3181 W Ohio Avenue, Denver, CO 80219",3181 W Ohio Avenue,Denver,CO,80219,373800.0,2015.0,136800.0,142400.0,143100.0,145200.0,129800.0,139100.0,148500.0,151600.0,167200.0,178100.0,179400.0,179100.0,Westwood
738,13359507,https://www.zillow.com/homedetails/3181-W-Ohio-Ave-Denver-CO-80219/13359507_zpid/,380000.0,"3181 W Ohio Avenue, Denver, CO 80219",3181 W Ohio Avenue,Denver,CO,80219,373800.0,2014.0,112300.0,115100.0,119600.0,126900.0,127100.0,132700.0,132500.0,130900.0,137200.0,136400.0,143200.0,145100.0,Westwood
739,13359507,https://www.zillow.com/homedetails/3181-W-Ohio-Ave-Denver-CO-80219/13359507_zpid/,380000.0,"3181 W Ohio Avenue, Denver, CO 80219",3181 W Ohio Avenue,Denver,CO,80219,373800.0,2013.0,111000.0,102700.0,100300.0,101200.0,99900.0,100800.0,109700.0,110300.0,109100.0,107500.0,107100.0,111100.0,Westwood
820,13358875,https://www.zillow.com/homedetails/3054-W-Dakota-Ave-Denver-CO-80219/13358875_zpid/,315000.0,"3054 W Dakota Avenue, Denver, CO 80219",3054 W Dakota Avenue,Denver,CO,80219,315000.0,2022.0,336700.0,345100.0,375500.0,392200.0,401400.0,395700.0,386700.0,373300.0,365800.0,310300.0,310000.0,0.0,Westwood
821,13358875,https://www.zillow.com/homedetails/3054-W-Dakota-Ave-Denver-CO-80219/13358875_zpid/,315000.0,"3054 W Dakota Avenue, Denver, CO 80219",3054 W Dakota Avenue,Denver,CO,80219,315000.0,2021.0,316800.0,324000.0,360300.0,386600.0,367900.0,351200.0,340300.0,333400.0,333600.0,333900.0,333300.0,334900.0,Westwood
822,13358875,https://www.zillow.com/homedetails/3054-W-Dakota-Ave-Denver-CO-80219/13358875_zpid/,315000.0,"3054 W Dakota Avenue, Denver, CO 80219",3054 W Dakota Avenue,Denver,CO,80219,315000.0,2020.0,290900.0,289400.0,287200.0,273600.0,277000.0,281200.0,278600.0,280900.0,281700.0,302400.0,311100.0,319500.0,Westwood
823,13358875,https://www.zillow.com/homedetails/3054-W-Dakota-Ave-Denver-CO-80219/13358875_zpid/,315000.0,"3054 W Dakota Avenue, Denver, CO 80219",3054 W Dakota Avenue,Denver,CO,80219,315000.0,2019.0,261100.00000000003,257800.0,262900.0,272300.0,278200.0,273100.0,272500.0,273400.0,280900.0,282700.0,286000.0,288800.0,Westwood
824,13358875,https://www.zillow.com/homedetails/3054-W-Dakota-Ave-Denver-CO-80219/13358875_zpid/,315000.0,"3054 W Dakota Avenue, Denver, CO 80219",3054 W Dakota Avenue,Denver,CO,80219,315000.0,2018.0,259400.0,263200.0,263800.0,256400.0,253700.0,250000.0,255900.0,258300.0,263400.0,264700.0,263200.0,261700.0,Westwood
825,13358875,https://www.zillow.com/homedetails/3054-W-Dakota-Ave-Denver-CO-80219/13358875_zpid/,315000.0,"3054 W Dakota Avenue, Denver, CO 80219",3054 W Dakota Avenue,Denver,CO,80219,315000.0,2017.0,234100.0,237700.0,240100.0,239000.0,241700.0,239500.0,240400.0,244100.0,247500.0,247600.0,245700.0,252100.0,Westwood
826,13358875,https://www.zillow.com/homedetails/3054-W-Dakota-Ave-Denver-CO-80219/13358875_zpid/,315000.0,"3054 W Dakota Avenue, Denver, CO 80219",3054 W Dakota Avenue,Denver,CO,80219,315000.0,2016.0,188500.0,191500.0,203800.0,212000.0,208900.0,221000.0,218200.0,220900.0,218800.0,220000.0,224000.0,226800.0,Westwood
827,13358875,https://www.zillow.com/homedetails/3054-W-Dakota-Ave-Denver-CO-80219/13358875_zpid/,315000.0,"3054 W Dakota Avenue, Denver, CO 80219",3054 W Dakota Avenue,Denver,CO,80219,315000.0,2015.0,157600.0,164000.0,167600.0,173500.0,171600.0,172100.0,177400.0,176300.0,176500.0,178900.0,175800.0,177800.0,Westwood
828,13358875,https://www.zillow.com/homedetails/3054-W-Dakota-Ave-Denver-CO-80219/13358875_zpid/,315000.0,"3054 W Dakota Avenue, Denver, CO 80219",3054 W Dakota Avenue,Denver,CO,80219,315000.0,2014.0,140900.0,141000.0,143800.0,148700.0,148100.0,154600.0,152300.0,154500.0,155700.0,158400.0,158600.0,161000.0,Westwood
829,13358875,https://www.zillow.com/homedetails/3054-W-Dakota-Ave-Denver-CO-80219/13358875_zpid/,315000.0,"3054 W Dakota Avenue, Denver, CO 80219",3054 W Dakota Avenue,Denver,CO,80219,315000.0,2013.0,119100.0,119700.0,116900.0,117700.0,56300.0,55300.0,136900.0,55100.0,55100.0,132700.0,137300.0,142200.0,Westwood
1250,13362524,https://www.zillow.com/homedetails/1041-S-Raleigh-St-Denver-CO-80219/13362524_zpid/,330000.0,"1041 S Raleigh Street, Denver, CO 80219",1041 S Raleigh Street,Denver,CO,80219,326857.0,2022.0,359200.0,365100.0,398100.0,417100.0,425400.0,416200.0,407800.0,370400.0,345000.0,342300.0,321100.0,0.0,Westwood
1251,13362524,https://www.zillow.com/homedetails/1041-S-Raleigh-St-Denver-CO-80219/13362524_zpid/,330000.0,"1041 S Raleigh Street, Denver, CO 80219",1041 S Raleigh Street,Denver,CO,80219,326857.0,2021.0,323200.0,332100.0,349300.0,374200.0,378300.0,369300.0,364300.0,356600.0,353600.0,354900.0,355200.0,354800.0,Westwood
1252,13362524,https://www.zillow.com/homedetails/1041-S-Raleigh-St-Denver-CO-80219/13362524_zpid/,330000.0,"1041 S Raleigh Street, Denver, CO 80219",1041 S Raleigh Street,Denver,CO,80219,326857.0,2020.0,266200.0,267900.0,271300.0,273000.0,272500.0,283500.0,302400.0,316600.0,309700.0,312500.0,313600.0,318500.0,Westwood
1253,13362524,https://www.zillow.com/homedetails/1041-S-Raleigh-St-Denver-CO-80219/13362524_zpid/,330000.0,"1041 S Raleigh Street, Denver, CO 80219",1041 S Raleigh Street,Denver,CO,80219,326857.0,2019.0,263100.0,262400.0,261100.00000000003,262400.0,261000.0,262000.0,262500.0,263900.0,264400.0,263000.0,263100.0,266000.0,Westwood
