,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
480,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,342900.0,"7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600.0,2022.0,301500.0,315300.0,325100.0,330300.0,332500.0,326500.0,322000.0,307300.0,308300.0,308100.0,307400.0,0.0,Windsor
481,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,342900.0,"7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600.0,2021.0,260700.0,261800.0,263000.0,267900.0,274500.0,279800.0,286700.0,286600.0,286900.0,291600.0,295700.0,300400.0,Windsor
482,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,342900.0,"7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600.0,2020.0,240900.0,241900.0,246200.0,248300.0,242800.0,247000.0,247600.0,247700.0,248600.0,251000.0,254700.0,257800.0,Windsor
483,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,342900.0,"7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600.0,2019.0,231900.0,231400.0,230200.0,231700.0,230200.0,230800.0,232300.0,230900.0,239700.0,235500.0,233400.0,235600.0,Windsor
484,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,342900.0,"7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600.0,2018.0,215100.0,216600.0,219900.0,223600.0,224000.0,224900.0,226100.0,227100.0,229400.0,230700.0,230300.0,232300.0,Windsor
485,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,342900.0,"7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600.0,2017.0,198900.0,202900.0,207000.0,206100.0,208000.0,208700.0,208500.0,208500.0,210000.0,210800.0,212600.0,214700.0,Windsor
486,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,342900.0,"7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600.0,2016.0,135800.0,137000.0,136400.0,138500.0,138300.0,187600.0,189200.0,190500.0,191400.0,192500.0,194200.0,195300.0,Windsor
487,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,342900.0,"7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600.0,2015.0,118400.0,120900.0,122100.0,123200.0,124000.0,124700.0,126300.0,127900.0,129200.0,130600.0,131800.0,133200.0,Windsor
488,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,342900.0,"7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600.0,2014.0,92400.0,89400.0,110000.0,110000.0,111000.0,111200.0,110800.0,111500.0,111800.0,113400.0,115400.0,116600.0,Windsor
489,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,342900.0,"7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600.0,2013.0,99200.0,109100.0,101700.0,101500.0,85400.0,85100.0,87400.0,97100.0,98000.0,102000.0,100800.0,101900.0,Windsor
