,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
9,13373456,https://www.zillow.com/homedetails/1891-S-Fillmore-St-Denver-CO-80210/13373456_zpid/,700000.0,"1891 S Fillmore Street, Denver, CO 80210",1891 S Fillmore Street,Denver,CO,80210,687555.0,2013.0,438900.0,432000.0,436800.0,452100.0,450000.0,482300.0,471000.0,474500.0,488600.0,492800.0,490800.0,475800.0,University Park
19,13425244,https://www.zillow.com/homedetails/6495-Happy-Canyon-Rd-151-Denver-CO-80237/13425244_zpid/,300000.0,"6495 E Happy Canyon Road  Unit 151, Denver, CO 80237",6495 E Happy Canyon Road  Unit 151,Denver,CO,80237,296617.0,2013.0,113000.0,113200.0,115500.0,120600.0,92900.0,88700.0,87600.0,92500.0,97400.0,93000.0,94200.0,92700.0,Southmoor Park
29,82592344,https://www.zillow.com/homedetails/7471-E-6th-Ave-Denver-CO-80230/82592344_zpid/,2950000.0,"7471 E 6th Avenue, Denver, CO 80230",7471 E 6th Avenue,Denver,CO,80230,2950003.0,2013.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1800000.0,1800000.0,1900000.0,1900000.0,1900000.0,1800000.0,Lowry Field
39,13272870,https://www.zillow.com/homedetails/14448-E-48th-Ave-Denver-CO-80239/13272870_zpid/,585000.0,"14448 E 48th Avenue, Denver, CO 80239",14448 E 48th Avenue,Denver,CO,80239,594800.0,2013.0,166000.0,173100.0,172700.0,181200.0,181400.0,195000.0,200000.0,197900.0,200900.0,193400.0,191300.0,194100.0,Montbello
49,13366812,https://www.zillow.com/homedetails/1710-S-Dale-Ct-Denver-CO-80219/13366812_zpid/,500000.0,"1710 S Dale Court, Denver, CO 80219",1710 S Dale Court,Denver,CO,80219,496044.0,2013.0,150700.0,148700.0,154100.0,162600.0,173900.0,176400.0,180300.0,181200.0,181700.0,182400.0,184400.0,183300.0,Ruby Hill
59,13374082,https://www.zillow.com/homedetails/3966-E-Evans-Ave-Denver-CO-80210/13374082_zpid/,410000.0,"3966 E Evans Avenue, Denver, CO 80210",3966 E Evans Avenue,Denver,CO,80210,407112.0,2013.0,189100.0,191800.0,199400.0,205200.0,257700.0,258700.0,261400.0,262000.0,263400.0,265000.0,210900.0,212100.0,University Park
69,68047555,https://www.zillow.com/homedetails/9150-E-29th-Ave-Denver-CO-80238/68047555_zpid/,1400000.0,"9150 E 29th Avenue, Denver, CO 80238",9150 E 29th Avenue,Denver,CO,80238,1400004.0,2013.0,884500.0,896100.0,908800.0,919500.0,721300.0,731900.0,751000.0,753500.0,767900.0,776200.0,770000.0,761900.0,Central Park
79,13306289,https://www.zillow.com/homedetails/1039-E-26th-Ave-Denver-CO-80205/13306289_zpid/,519900.0,"1039 E 26th Avenue, Denver, CO 80205",1039 E 26th Avenue,Denver,CO,80205,516200.0,2013.0,328500.0,335200.0,335000.0,306100.0,308600.0,310000.0,314100.0,315100.0,316000.0,318800.0,316800.0,318200.0,Five Points
89,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2013.0,833400.0,876100.0,882200.0,895600.0,940700.0,966300.0,969400.0,973900.0,979300.0,983000.0,979400.0,984500.0,Cory - Merrill
99,251843409,https://www.zillow.com/homedetails/6038-N-Dallas-St-Denver-CO-80238/251843409_zpid/,2100000.0,"6038 Dallas Street, Denver, CO 80238",6038 Dallas Street,Denver,CO,80238,2048966.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Park
109,13424259,https://www.zillow.com/homedetails/7330-E-Princeton-Ave-Denver-CO-80237/13424259_zpid/,355000.0,"7330 E Princeton Avenue, Denver, CO 80237",7330 E Princeton Avenue,Denver,CO,80237,350144.0,2013.0,162200.0,162700.0,159200.0,154500.0,150000.0,153000.0,157700.0,162900.0,161600.0,175200.0,177800.0,182600.0,Hampden South
119,67451159,https://www.zillow.com/homedetails/1449-Wynkoop-St-APT-308-Denver-CO-80202/67451159_zpid/,775000.0,"1449 Wynkoop Street  Unit 308, Denver, CO 80202",1449 Wynkoop Street  Unit 308,Denver,CO,80202,769725.0,2013.0,456600.0,457600.0,463500.0,468000.0,475400.0,476800.0,484600.0,485400.0,485000.0,488700.0,486500.0,490300.0,Union Station
129,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2013.0,599800.0,600000.0,613000.0,622200.0,696800.0,694500.0,703000.0,735800.0,726200.0,724300.0,716700.0,732600.0,Cherry Creek
139,123602765,https://www.zillow.com/homedetails/5435-Uinta-Way-Denver-CO-80238/123602765_zpid/,775000.0,"5435 Uinta Way, Denver, CO 80238",5435 Uinta Way,Denver,CO,80238,792800.0,2013.0,317600.0,318800.0,306300.0,319100.0,268600.0,260200.0,274500.0,267200.0,267100.0,289900.0,284900.0,282500.0,Central Park
149,82593492,https://www.zillow.com/homedetails/3597-Xanthia-St-Denver-CO-80238/82593492_zpid/,1299000.0,"3597 Xanthia Street, Denver, CO 80238",3597 Xanthia Street,Denver,CO,80238,1286543.0,2013.0,628400.0,628700.0,628200.0,626100.0,600000.0,611500.0,597700.0,604400.0,606700.0,633800.0,620800.0,630400.0,Central Park
159,13328646,https://www.zillow.com/homedetails/1313-N-Williams-St-APT-1005-Denver-CO-80218/13328646_zpid/,659000.0,"1313 N Williams Street N  Unit 1005, Denver, CO 80218",1313 N Williams Street N  Unit 1005,Denver,CO,80218,659002.0,2013.0,306400.0,304700.0,318500.0,325300.0,337800.0,339300.0,341000.0,339400.0,327500.0,332900.0,336700.0,332400.0,Cheesman Park
169,13380571,https://www.zillow.com/homedetails/2375-S-Knox-Ct-Denver-CO-80219/13380571_zpid/,425000.0,"2375 S Knox Court, Denver, CO 80219",2375 S Knox Court,Denver,CO,80219,419687.0,2013.0,141500.0,143900.0,141700.0,148100.0,145100.0,150600.0,154100.0,152800.0,155500.0,155300.0,154100.0,155900.0,Harvey Park
179,13294609,https://www.zillow.com/homedetails/4576-N-Yates-St-Denver-CO-80212/13294609_zpid/,560000.0,"4576 Yates Street, Denver, CO 80212",4576 Yates Street,Denver,CO,80212,554500.0,2013.0,261300.0,265300.0,265500.0,271700.0,270300.0,276400.0,302400.0,300500.0,305400.0,312900.0,311700.0,318300.0,Berkeley
189,13411941,https://www.zillow.com/homedetails/5770-E-Warren-Ave-APT-314-Denver-CO-80222/13411941_zpid/,195000.0,"5770 E Warren Avenue  Unit 314, Denver, CO 80222",5770 E Warren Avenue  Unit 314,Denver,CO,80222,195000.0,2013.0,58400.0,59800.0,60400.0,60200.0,62000.0,67100.0,67700.0,66800.0,71200.0,73000.0,72100.0,72800.0,Goldsmith
199,13314049,https://www.zillow.com/homedetails/3034-Meade-St-Denver-CO-80211/13314049_zpid/,449000.0,"3034 N Meade Street, Denver, CO 80211",3034 N Meade Street,Denver,CO,80211,444200.0,2013.0,170100.0,193900.0,200500.0,197700.0,165800.0,196100.0,180200.0,184300.0,165100.0,200000.0,182400.0,198300.0,West Highland
209,13383108,https://www.zillow.com/homedetails/2380-S-Newton-St-Denver-CO-80219/13383108_zpid/,695000.0,"2380 S Newton Street, Denver, CO 80219",2380 S Newton Street,Denver,CO,80219,677625.0,2013.0,177800.0,174300.0,181100.0,180300.0,181000.0,186200.0,188500.0,188600.0,187700.0,189100.0,188500.0,190000.0,Harvey Park
219,96084787,https://www.zillow.com/homedetails/3414-Beeler-St-Denver-CO-80238/96084787_zpid/,929500.0,"3414 Beeler Street, Denver, CO 80238",3414 Beeler Street,Denver,CO,80238,922614.0,2013.0,500700.0,496200.0,503900.0,521300.0,532600.0,533000.0,537000.0,541800.0,540200.0,546100.0,548100.0,549900.0,Central Park
229,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2013.0,140300.0,140700.0,139900.0,137000.0,137300.0,143700.0,147900.0,151600.0,150200.0,150000.0,153300.0,157600.0,Mar Lee
239,58685658,https://www.zillow.com/homedetails/300-W-11th-Ave-UNIT-4B-Denver-CO-80204/58685658_zpid/,380000.0,"300 W 11th Avenue  Unit 4b, Denver, CO 80204",300 W 11th Avenue  Unit 4b,Denver,CO,80204,394800.0,2013.0,252000.0,256100.00000000003,259300.0,255400.0,231100.0,231800.0,233400.0,236800.0,238800.0,237300.0,238900.0,240900.0,Civic Center
249,13282105,https://www.zillow.com/homedetails/2911-Niagara-St-Denver-CO-80207/13282105_zpid/,574899.0,"2911 Niagara Street, Denver, CO 80207",2911 Niagara Street,Denver,CO,80207,565500.0,2013.0,214300.0,217500.0,216700.0,221300.0,208700.0,213000.0,219900.0,225500.0,223900.0,230000.0,226900.0,222000.0,North Park Hill
259,58683818,https://www.zillow.com/homedetails/2618-Central-Park-Blvd-Denver-CO-80238/58683818_zpid/,600000.0,"2618 Central Park Boulevard, Denver, CO 80238",2618 Central Park Boulevard,Denver,CO,80238,591800.0,2013.0,306900.0,307200.0,307900.0,313300.0,319700.0,322600.0,327200.0,326300.0,325600.0,326900.0,325300.0,327800.0,Central Park
269,82593348,https://www.zillow.com/homedetails/3457-Ringsby-Ct-UNIT-330-Denver-CO-80216/82593348_zpid/,550000.0,"3457 Ringsby Court  Unit 330, Denver, CO 80216",3457 Ringsby Court  Unit 330,Denver,CO,80216,545736.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Globeville
