Neighborhood,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
west-highland,2017,25,38,34,51,34,53,47,49,46,47,56,59
west-highland,2018,42,29,65,53,49,54,38,48,31,59,28,53
west-highland,2019,44,31,55,45,50,36,52,35,35,47,54,35
west-highland,2020,43,33,57,64,50,57,85,65,49,65,54,56
west-highland,2021,69,66,59,71,51,62,57,72,58,65,69,68
west-highland,2022,91,61,54,65,72,49,64,88,3,0,0,0
harvey-park,2017,55,56,51,56,71,60,67,84,60,84,71,47
harvey-park,2018,61,71,69,82,69,52,64,53,70,73,59,58
harvey-park,2019,74,54,47,61,61,62,65,47,47,39,42,47
harvey-park,2020,68,69,81,43,67,64,83,56,73,70,57,66
harvey-park,2021,74,47,60,41,72,57,63,36,49,65,81,61
harvey-park,2022,61,50,76,60,62,46,59,58,3,0,0,0
east-colfax,2017,170,182,165,189,148,139,183,182,202,143,128,109
east-colfax,2018,137,125,141,165,155,164,177,174,161,142,152,106
east-colfax,2019,133,132,85,105,109,123,114,111,92,92,91,101
east-colfax,2020,82,79,117,117,157,122,154,158,161,151,122,104
east-colfax,2021,164,144,138,106,147,142,179,178,148,153,183,138
east-colfax,2022,168,133,159,127,179,123,177,188,1,0,0,0
valverde,2017,36,34,40,31,42,34,32,53,39,42,36,31
valverde,2018,42,34,34,42,38,42,39,61,30,58,40,33
valverde,2019,43,46,37,23,28,40,35,52,41,24,37,25
valverde,2020,38,26,40,34,36,54,48,37,37,58,44,33
valverde,2021,48,49,37,49,61,42,59,52,42,38,35,34
valverde,2022,43,39,50,43,48,41,63,55,4,0,0,0
belcaro,2017,27,16,13,16,12,17,21,22,15,19,17,25
belcaro,2018,30,19,16,21,19,23,12,22,31,17,10,16
belcaro,2019,11,19,24,31,14,30,35,28,33,25,19,17
belcaro,2020,20,19,15,15,18,46,28,35,32,41,33,40
belcaro,2021,30,27,36,25,38,30,24,32,25,21,19,30
belcaro,2022,34,25,33,32,20,31,35,29,1,0,0,0
cole,2017,30,31,52,35,42,48,43,54,30,36,53,38
cole,2018,43,35,34,40,44,50,39,43,50,40,27,25
cole,2019,26,32,39,39,42,33,31,29,51,45,34,37
cole,2020,32,38,34,39,35,28,44,39,44,45,30,31
cole,2021,35,32,34,46,45,35,44,45,52,37,41,47
cole,2022,29,46,39,27,53,33,36,47,2,0,0,0
congress-park,2017,44,41,44,44,56,42,63,60,53,52,45,43
congress-park,2018,32,40,37,65,54,55,60,49,61,49,39,45
congress-park,2019,33,48,33,41,36,33,62,69,78,53,49,40
congress-park,2020,52,42,42,53,53,44,64,72,65,68,55,62
congress-park,2021,69,73,62,65,81,80,81,68,57,80,59,64
congress-park,2022,56,46,62,73,66,51,98,83,0,0,0,0
washington-virginia-vale,2017,38,36,78,58,71,86,80,90,73,70,78,70
washington-virginia-vale,2018,89,80,74,76,82,72,75,86,85,68,70,73
washington-virginia-vale,2019,65,55,81,64,64,75,75,83,61,59,78,58
washington-virginia-vale,2020,53,59,44,67,76,78,74,82,84,104,104,94
washington-virginia-vale,2021,129,91,105,94,119,91,110,103,101,92,92,101
washington-virginia-vale,2022,93,100,121,127,122,101,91,102,3,0,0,0
regis,2017,24,26,21,25,32,28,27,21,36,28,18,18
regis,2018,24,27,21,26,23,25,20,37,36,29,22,33
regis,2019,27,26,46,24,25,22,24,25,29,17,17,22
regis,2020,36,29,31,21,32,32,22,36,25,37,37,31
regis,2021,38,43,28,40,36,33,29,38,20,31,17,45
regis,2022,24,36,35,26,40,19,29,25,0,0,0,0
washington-park,2017,20,22,29,30,24,26,25,35,25,32,35,28
washington-park,2018,23,13,19,26,27,22,38,22,37,46,16,17
washington-park,2019,21,20,13,21,17,24,28,24,19,34,21,22
washington-park,2020,23,16,14,20,35,31,28,37,36,21,32,38
washington-park,2021,37,26,41,27,44,32,40,34,41,44,32,30
washington-park,2022,44,23,34,38,28,33,28,47,2,0,0,0
northeast-park-hill,2017,63,60,64,68,66,61,89,97,70,76,99,89
northeast-park-hill,2018,75,73,116,83,71,75,107,91,86,83,85,79
northeast-park-hill,2019,81,84,71,87,96,100,98,93,87,68,67,73
northeast-park-hill,2020,79,76,85,67,90,109,153,146,113,138,120,122
