,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
2070,13323532,https://www.zillow.com/homedetails/2735-S-Ames-Way-Denver-CO-80227/13323532_zpid/,475000.0,"2735 S Ames Way, Denver, CO 80227",2735 S Ames Way,Denver,CO,80227,475000.0,2022.0,463700.0,464600.0,514000.0,541600.0,550600.0,541500.0,525500.0,508800.0,502700.0,498500.0,475000.0,0.0,Bear Valley
2071,13323532,https://www.zillow.com/homedetails/2735-S-Ames-Way-Denver-CO-80227/13323532_zpid/,475000.0,"2735 S Ames Way, Denver, CO 80227",2735 S Ames Way,Denver,CO,80227,475000.0,2021.0,431900.0,437900.0,442300.0,473500.0,486500.0,484500.0,485000.0,470500.0,465800.0,468100.0,465600.0,462100.0,Bear Valley
2072,13323532,https://www.zillow.com/homedetails/2735-S-Ames-Way-Denver-CO-80227/13323532_zpid/,475000.0,"2735 S Ames Way, Denver, CO 80227",2735 S Ames Way,Denver,CO,80227,475000.0,2020.0,384700.0,390400.0,395600.0,399300.0,399900.0,399100.0,402500.0,404000.0,412900.0,415300.0,418400.0,424700.0,Bear Valley
2073,13323532,https://www.zillow.com/homedetails/2735-S-Ames-Way-Denver-CO-80227/13323532_zpid/,475000.0,"2735 S Ames Way, Denver, CO 80227",2735 S Ames Way,Denver,CO,80227,475000.0,2019.0,396600.0,400100.0,394700.0,397900.0,400200.0,396900.0,397300.0,395200.0,390100.0,387100.0,387200.0,385800.0,Bear Valley
2074,13323532,https://www.zillow.com/homedetails/2735-S-Ames-Way-Denver-CO-80227/13323532_zpid/,475000.0,"2735 S Ames Way, Denver, CO 80227",2735 S Ames Way,Denver,CO,80227,475000.0,2018.0,368200.0,367300.0,383600.0,383400.0,394500.0,401100.0,390500.0,394000.0,394400.0,393500.0,395700.0,398600.0,Bear Valley
2075,13323532,https://www.zillow.com/homedetails/2735-S-Ames-Way-Denver-CO-80227/13323532_zpid/,475000.0,"2735 S Ames Way, Denver, CO 80227",2735 S Ames Way,Denver,CO,80227,475000.0,2017.0,332200.0,335500.0,342600.0,346000.0,348900.0,353000.0,352600.0,355200.0,354400.0,358300.0,362400.0,372300.0,Bear Valley
2076,13323532,https://www.zillow.com/homedetails/2735-S-Ames-Way-Denver-CO-80227/13323532_zpid/,475000.0,"2735 S Ames Way, Denver, CO 80227",2735 S Ames Way,Denver,CO,80227,475000.0,2016.0,307600.0,314000.0,310400.0,316000.0,315500.0,320400.0,323300.0,324600.0,324000.0,324800.0,331000.0,333100.0,Bear Valley
2077,13323532,https://www.zillow.com/homedetails/2735-S-Ames-Way-Denver-CO-80227/13323532_zpid/,475000.0,"2735 S Ames Way, Denver, CO 80227",2735 S Ames Way,Denver,CO,80227,475000.0,2015.0,261500.0,271300.0,272000.0,281800.0,282400.0,282200.0,283300.0,289900.0,295900.0,303600.0,304700.0,306700.0,Bear Valley
2078,13323532,https://www.zillow.com/homedetails/2735-S-Ames-Way-Denver-CO-80227/13323532_zpid/,475000.0,"2735 S Ames Way, Denver, CO 80227",2735 S Ames Way,Denver,CO,80227,475000.0,2014.0,245300.0,246800.0,238900.0,248200.0,252200.0,258900.0,257200.0,256200.0,261400.0,270300.0,275000.0,278000.0,Bear Valley
2079,13323532,https://www.zillow.com/homedetails/2735-S-Ames-Way-Denver-CO-80227/13323532_zpid/,475000.0,"2735 S Ames Way, Denver, CO 80227",2735 S Ames Way,Denver,CO,80227,475000.0,2013.0,218000.0,218600.0,219000.0,225100.0,234300.0,231000.0,237900.0,238800.0,237700.0,242200.0,239200.0,243900.0,Bear Valley
2960,13325072,https://www.zillow.com/homedetails/3236-S-Newland-St-Denver-CO-80227/13325072_zpid/,585000.0,"3236 S Newland Street, Denver, CO 80227",3236 S Newland Street,Denver,CO,80227,585005.0,2022.0,610000.0,627700.0,670900.0,687700.0,683500.0,670600.0,647200.0,627700.0,595000.0,595000.0,585000.0,0.0,Bear Valley
2961,13325072,https://www.zillow.com/homedetails/3236-S-Newland-St-Denver-CO-80227/13325072_zpid/,585000.0,"3236 S Newland Street, Denver, CO 80227",3236 S Newland Street,Denver,CO,80227,585005.0,2021.0,518700.00000000006,534600.0,535300.0,562000.0,572600.0,589000.0,593600.0,583300.0,582600.0,585900.0,591300.0,599600.0,Bear Valley
2962,13325072,https://www.zillow.com/homedetails/3236-S-Newland-St-Denver-CO-80227/13325072_zpid/,585000.0,"3236 S Newland Street, Denver, CO 80227",3236 S Newland Street,Denver,CO,80227,585005.0,2020.0,469800.0,470600.0,479600.0,479400.0,477700.0,482400.0,480700.0,481000.0,485600.0,494300.0,501300.0,507300.0,Bear Valley
2963,13325072,https://www.zillow.com/homedetails/3236-S-Newland-St-Denver-CO-80227/13325072_zpid/,585000.0,"3236 S Newland Street, Denver, CO 80227",3236 S Newland Street,Denver,CO,80227,585005.0,2019.0,460600.0,459400.0,456300.0,460000.0,458200.0,459200.0,459200.0,460300.0,464800.0,461900.0,463700.0,470500.0,Bear Valley
2964,13325072,https://www.zillow.com/homedetails/3236-S-Newland-St-Denver-CO-80227/13325072_zpid/,585000.0,"3236 S Newland Street, Denver, CO 80227",3236 S Newland Street,Denver,CO,80227,585005.0,2018.0,428500.0,431500.0,437300.0,444100.0,447400.0,446500.0,448900.0,450900.0,455900.0,457000.0,457600.0,461300.0,Bear Valley
2965,13325072,https://www.zillow.com/homedetails/3236-S-Newland-St-Denver-CO-80227/13325072_zpid/,585000.0,"3236 S Newland Street, Denver, CO 80227",3236 S Newland Street,Denver,CO,80227,585005.0,2017.0,361700.0,360600.0,369600.0,377200.0,379800.0,391100.0,385100.0,386300.0,430000.0,430000.0,421100.0,425500.0,Bear Valley
2966,13325072,https://www.zillow.com/homedetails/3236-S-Newland-St-Denver-CO-80227/13325072_zpid/,585000.0,"3236 S Newland Street, Denver, CO 80227",3236 S Newland Street,Denver,CO,80227,585005.0,2016.0,338700.0,338900.0,338300.0,343100.0,346000.0,352700.0,350900.0,356000.0,357600.0,355500.0,363900.0,360100.0,Bear Valley
2967,13325072,https://www.zillow.com/homedetails/3236-S-Newland-St-Denver-CO-80227/13325072_zpid/,585000.0,"3236 S Newland Street, Denver, CO 80227",3236 S Newland Street,Denver,CO,80227,585005.0,2015.0,305400.0,313400.0,320100.0,324000.0,311000.0,313900.0,315200.0,315000.0,322300.0,322400.0,328100.0,334900.0,Bear Valley
