,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
470,13331911,https://www.zillow.com/homedetails/521-E-14th-Ave-10-Denver-CO-80203/13331911_zpid/,299900.0,"521 E 14th Avenue  Unit 10, Denver, CO 80203",521 E 14th Avenue  Unit 10,Denver,CO,80203,296700.0,2022.0,276200.0,281400.0,302400.0,313400.0,354900.0,339300.0,339000.0,312500.0,307000.0,299800.0,295900.0,0.0,Capitol Hill
471,13331911,https://www.zillow.com/homedetails/521-E-14th-Ave-10-Denver-CO-80203/13331911_zpid/,299900.0,"521 E 14th Avenue  Unit 10, Denver, CO 80203",521 E 14th Avenue  Unit 10,Denver,CO,80203,296700.0,2021.0,265400.0,268000.0,272100.0,288000.0,294100.0,292900.0,287700.0,281400.0,276800.0,275400.0,273400.0,273200.0,Capitol Hill
472,13331911,https://www.zillow.com/homedetails/521-E-14th-Ave-10-Denver-CO-80203/13331911_zpid/,299900.0,"521 E 14th Avenue  Unit 10, Denver, CO 80203",521 E 14th Avenue  Unit 10,Denver,CO,80203,296700.0,2020.0,259400.0,261500.0,262800.0,260900.0,256900.0,261700.0,257700.0,253400.0,252700.0,252400.0,254600.0,260800.0,Capitol Hill
473,13331911,https://www.zillow.com/homedetails/521-E-14th-Ave-10-Denver-CO-80203/13331911_zpid/,299900.0,"521 E 14th Avenue  Unit 10, Denver, CO 80203",521 E 14th Avenue  Unit 10,Denver,CO,80203,296700.0,2019.0,259200.0,258100.00000000003,263200.0,261000.0,260200.0,257100.00000000003,256700.0,262900.0,284000.0,278700.0,267900.0,262700.0,Capitol Hill
474,13331911,https://www.zillow.com/homedetails/521-E-14th-Ave-10-Denver-CO-80203/13331911_zpid/,299900.0,"521 E 14th Avenue  Unit 10, Denver, CO 80203",521 E 14th Avenue  Unit 10,Denver,CO,80203,296700.0,2018.0,262600.0,265800.0,253500.0,258600.00000000003,248200.0,251700.0,260300.0,260500.0,259600.00000000003,262600.0,260600.00000000003,259700.0,Capitol Hill
475,13331911,https://www.zillow.com/homedetails/521-E-14th-Ave-10-Denver-CO-80203/13331911_zpid/,299900.0,"521 E 14th Avenue  Unit 10, Denver, CO 80203",521 E 14th Avenue  Unit 10,Denver,CO,80203,296700.0,2017.0,206100.0,207300.0,210200.0,218400.0,220000.0,220700.0,221700.0,220300.0,218700.0,222900.0,230200.0,232600.0,Capitol Hill
476,13331911,https://www.zillow.com/homedetails/521-E-14th-Ave-10-Denver-CO-80203/13331911_zpid/,299900.0,"521 E 14th Avenue  Unit 10, Denver, CO 80203",521 E 14th Avenue  Unit 10,Denver,CO,80203,296700.0,2016.0,215200.0,218200.0,220300.0,220500.0,216600.0,232600.0,236700.0,240500.0,242800.0,246800.0,242000.0,242500.0,Capitol Hill
477,13331911,https://www.zillow.com/homedetails/521-E-14th-Ave-10-Denver-CO-80203/13331911_zpid/,299900.0,"521 E 14th Avenue  Unit 10, Denver, CO 80203",521 E 14th Avenue  Unit 10,Denver,CO,80203,296700.0,2015.0,162800.0,168500.0,171500.0,173500.0,172200.0,175000.0,179000.0,180200.0,182100.0,184300.0,189300.0,207300.0,Capitol Hill
478,13331911,https://www.zillow.com/homedetails/521-E-14th-Ave-10-Denver-CO-80203/13331911_zpid/,299900.0,"521 E 14th Avenue  Unit 10, Denver, CO 80203",521 E 14th Avenue  Unit 10,Denver,CO,80203,296700.0,2014.0,158600.0,159000.0,164000.0,166100.0,173000.0,173400.0,170500.0,173600.0,174400.0,170100.0,168000.0,167200.0,Capitol Hill
479,13331911,https://www.zillow.com/homedetails/521-E-14th-Ave-10-Denver-CO-80203/13331911_zpid/,299900.0,"521 E 14th Avenue  Unit 10, Denver, CO 80203",521 E 14th Avenue  Unit 10,Denver,CO,80203,296700.0,2013.0,126800.0,126700.0,127300.0,133300.0,143400.0,160700.0,167200.0,164500.0,159800.0,159800.0,159000.0,158000.0,Capitol Hill
