,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
120,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2022.0,1000000.0,1100000.0,1300000.0,1300000.0,1700000.0,1600000.0,1500000.0,1500000.0,1400000.0,1400000.0,1500000.0,0.0,Cherry Creek
121,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2021.0,900600.0,921900.0,928500.0,963000.0,979300.0,997700.0,997800.0,972300.0,969200.0,984100.0,990200.0,997200.0,Cherry Creek
122,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2020.0,851300.0,854000.0,877400.0,888400.0,897900.0,885400.0,887000.0,873000.0,884200.0,886500.0,889900.0,896000.0,Cherry Creek
123,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2019.0,1000000.0,1000000.0,978100.0,976600.0,981100.0,989200.0,990800.0,989000.0,882300.0,878700.0,878900.0,866200.0,Cherry Creek
124,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2018.0,853100.0,865500.0,949200.0,980800.0,983600.0,971500.0,963100.0,963000.0,961000.0,967600.0,995100.0,987100.0,Cherry Creek
125,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2017.0,881900.0,887500.0,896600.0,884100.0,886900.0,895700.0,865000.0,856600.0,846800.0,843700.0,851200.0,866100.0,Cherry Creek
126,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2016.0,856100.0,863200.0,845600.0,847800.0,838900.0,853400.0,858300.0,847900.0,843900.0,835700.0,849600.0,847000.0,Cherry Creek
127,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2015.0,825800.0,832200.0,840800.0,855600.0,867400.0,844100.0,850500.0,858900.0,862800.0,843000.0,840700.0,835800.0,Cherry Creek
128,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2014.0,732500.0,718200.0,729400.0,750200.0,768600.0,775300.0,763700.0,773800.0,779800.0,793700.0,795000.0,814100.0,Cherry Creek
129,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,1480000.0,"362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233.0,2013.0,599800.0,600000.0,613000.0,622200.0,696800.0,694500.0,703000.0,735800.0,726200.0,724300.0,716700.0,732600.0,Cherry Creek
