,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
5980,13322420,https://www.zillow.com/homedetails/1538-Harrison-St-Denver-CO-80206/13322420_zpid/,900000.0,"1538 Harrison Street, Denver, CO 80206",1538 Harrison Street,Denver,CO,80206,889600.0,2022.0,571000.0,582300.0,570700.0,643500.0,654100.0,656300.0,652700.0,644500.0,950000.0,884400.0,889600.0,0.0,City Park
5981,13322420,https://www.zillow.com/homedetails/1538-Harrison-St-Denver-CO-80206/13322420_zpid/,900000.0,"1538 Harrison Street, Denver, CO 80206",1538 Harrison Street,Denver,CO,80206,889600.0,2021.0,546000.0,547200.0,557200.0,575900.0,598300.0,599400.0,594700.0,573300.0,554400.0,556100.0,554700.0,555300.0,City Park
5982,13322420,https://www.zillow.com/homedetails/1538-Harrison-St-Denver-CO-80206/13322420_zpid/,900000.0,"1538 Harrison Street, Denver, CO 80206",1538 Harrison Street,Denver,CO,80206,889600.0,2020.0,475600.0,471000.0,478200.0,478300.0,481800.0,477800.0,478400.0,482100.0,493800.0,494500.0,520300.0,540800.0,City Park
5983,13322420,https://www.zillow.com/homedetails/1538-Harrison-St-Denver-CO-80206/13322420_zpid/,900000.0,"1538 Harrison Street, Denver, CO 80206",1538 Harrison Street,Denver,CO,80206,889600.0,2019.0,539800.0,532900.0,530200.0,524300.0,518200.00000000006,516000.0,519900.0,509100.0,460500.0,463700.0,465800.0,467500.0,City Park
5984,13322420,https://www.zillow.com/homedetails/1538-Harrison-St-Denver-CO-80206/13322420_zpid/,900000.0,"1538 Harrison Street, Denver, CO 80206",1538 Harrison Street,Denver,CO,80206,889600.0,2018.0,470500.0,472200.0,472200.0,473600.0,477600.0,477100.0,475400.0,497800.0,513500.0,529500.0,537800.0,536300.0,City Park
5985,13322420,https://www.zillow.com/homedetails/1538-Harrison-St-Denver-CO-80206/13322420_zpid/,900000.0,"1538 Harrison Street, Denver, CO 80206",1538 Harrison Street,Denver,CO,80206,889600.0,2017.0,451700.0,457700.0,478500.0,467300.0,467000.0,482200.0,453300.0,450000.0,468100.0,478700.0,479400.0,481100.0,City Park
5986,13322420,https://www.zillow.com/homedetails/1538-Harrison-St-Denver-CO-80206/13322420_zpid/,900000.0,"1538 Harrison Street, Denver, CO 80206",1538 Harrison Street,Denver,CO,80206,889600.0,2016.0,414100.0,421200.0,426500.0,426300.0,429200.0,440300.0,435200.0,441800.0,439700.0,434200.0,443600.0,454000.0,City Park
5987,13322420,https://www.zillow.com/homedetails/1538-Harrison-St-Denver-CO-80206/13322420_zpid/,900000.0,"1538 Harrison Street, Denver, CO 80206",1538 Harrison Street,Denver,CO,80206,889600.0,2015.0,353700.0,361200.0,371200.0,380200.0,371000.0,369100.0,377700.0,394000.0,410100.0,404700.0,395400.0,404200.0,City Park
5988,13322420,https://www.zillow.com/homedetails/1538-Harrison-St-Denver-CO-80206/13322420_zpid/,900000.0,"1538 Harrison Street, Denver, CO 80206",1538 Harrison Street,Denver,CO,80206,889600.0,2014.0,347000.0,339400.0,342000.0,345300.0,350500.0,359800.0,366300.0,370000.0,366400.0,366600.0,374900.0,378100.0,City Park
5989,13322420,https://www.zillow.com/homedetails/1538-Harrison-St-Denver-CO-80206/13322420_zpid/,900000.0,"1538 Harrison Street, Denver, CO 80206",1538 Harrison Street,Denver,CO,80206,889600.0,2013.0,262200.0,259700.0,262700.0,264500.0,319600.0,326400.0,329100.0,321900.0,333400.0,327400.0,333800.0,343200.0,City Park
