,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
430,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,995000.0,"617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000.0,2022.0,1200000.0,1200000.0,1300000.0,1400000.0,1500000.0,1500000.0,1400000.0,1300000.0,1300000.0,1300000.0,995000.0,0.0,Congress Park
431,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,995000.0,"617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000.0,2021.0,1200000.0,1200000.0,1200000.0,1300000.0,1300000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,Congress Park
432,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,995000.0,"617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000.0,2020.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1100000.0,1100000.0,1100000.0,1100000.0,Congress Park
433,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,995000.0,"617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000.0,2019.0,1000000.0,988900.0,978600.0,982600.0,984100.0,997500.0,988200.0,986200.0,965600.0,967000.0,971900.0,985600.0,Congress Park
434,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,995000.0,"617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000.0,2018.0,924500.0,932300.0,1000000.0,1000000.0,1000000.0,997600.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,Congress Park
435,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,995000.0,"617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000.0,2017.0,996700.0,1100000.0,1100000.0,1100000.0,1000000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0,1000000.0,Congress Park
436,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,995000.0,"617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000.0,2016.0,947500.0,933400.0,945100.0,944300.0,981500.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1100000.0,Congress Park
437,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,995000.0,"617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000.0,2015.0,710200.0,734800.0,746200.0,758400.0,850400.0,868300.0,851400.0,869700.0,862200.0,847800.0,903100.0,931200.0,Congress Park
438,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,995000.0,"617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000.0,2014.0,693500.0,700000.0,711600.0,709600.0,730700.0,721900.0,711300.0,715900.0,705500.0,689700.0,721000.0,738900.0,Congress Park
439,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,995000.0,"617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000.0,2013.0,605500.0,606300.0,613900.0,625100.0,673700.0,680700.0,688200.0,695100.0,696600.0,693600.0,693200.0,696600.0,Congress Park
1330,13325522,https://www.zillow.com/homedetails/1271-Jackson-St-Denver-CO-80206/13325522_zpid/,699900.0,"1271 Jackson Street, Denver, CO 80206",1271 Jackson Street,Denver,CO,80206,694700.0,2022.0,758200.0,781900.0,835600.0,856500.0,868300.0,844200.0,799000.0,741400.0,719700.0,690000.0,694400.0,0.0,Congress Park
1331,13325522,https://www.zillow.com/homedetails/1271-Jackson-St-Denver-CO-80206/13325522_zpid/,699900.0,"1271 Jackson Street, Denver, CO 80206",1271 Jackson Street,Denver,CO,80206,694700.0,2021.0,672900.0,688400.0,691900.0,725600.0,760700.0,767900.0,753500.0,733200.0,727100.0,731900.0,736700.0,747500.0,Congress Park
1332,13325522,https://www.zillow.com/homedetails/1271-Jackson-St-Denver-CO-80206/13325522_zpid/,699900.0,"1271 Jackson Street, Denver, CO 80206",1271 Jackson Street,Denver,CO,80206,694700.0,2020.0,634300.0,640400.0,640500.0,639400.0,642600.0,646200.0,647300.0,647500.0,657100.0,655400.0,657200.0,662100.0,Congress Park
1333,13325522,https://www.zillow.com/homedetails/1271-Jackson-St-Denver-CO-80206/13325522_zpid/,699900.0,"1271 Jackson Street, Denver, CO 80206",1271 Jackson Street,Denver,CO,80206,694700.0,2019.0,641200.0,643300.0,646700.0,648900.0,644600.0,646800.0,645900.0,642500.0,625900.0,619500.0,617300.0,628600.0,Congress Park
1334,13325522,https://www.zillow.com/homedetails/1271-Jackson-St-Denver-CO-80206/13325522_zpid/,699900.0,"1271 Jackson Street, Denver, CO 80206",1271 Jackson Street,Denver,CO,80206,694700.0,2018.0,596300.0,599700.0,624600.0,628800.0,632700.0,631100.0,634100.0,630900.0,637200.0,639900.0,645300.0,645500.0,Congress Park
