,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
80,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2022.0,1800000.0,1800000.0,1800000.0,1800000.0,1800000.0,2600000.0,2400000.0,2200000.0,2100000.0,2000000.0,2000000.0,0.0,Cory - Merrill
81,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2021.0,1400000.0,1400000.0,1400000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1900000.0,1800000.0,1700000.0,Cory - Merrill
82,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2020.0,1300000.0,1300000.0,1300000.0,1400000.0,1300000.0,1300000.0,1300000.0,1300000.0,1400000.0,1400000.0,1400000.0,1400000.0,Cory - Merrill
83,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2019.0,1300000.0,1400000.0,1400000.0,1400000.0,1400000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,Cory - Merrill
84,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2018.0,1300000.0,1200000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0,Cory - Merrill
85,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2017.0,1200000.0,1200000.0,1200000.0,1200000.0,1100000.0,1100000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,Cory - Merrill
86,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2016.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,Cory - Merrill
87,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2015.0,1000000.0,1100000.0,1100000.0,1100000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,Cory - Merrill
88,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2014.0,985700.0,982700.0,993900.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1100000.0,1100000.0,1000000.0,1000000.0,Cory - Merrill
89,13372680,https://www.zillow.com/homedetails/1357-S-Saint-Paul-St-Denver-CO-80210/13372680_zpid/,2060000.0,"1357 S Saint Paul Street, Denver, CO 80210",1357 S Saint Paul Street,Denver,CO,80210,2015044.0,2013.0,833400.0,876100.0,882200.0,895600.0,940700.0,966300.0,969400.0,973900.0,979300.0,983000.0,979400.0,984500.0,Cory - Merrill
360,13373936,https://www.zillow.com/homedetails/1595-S-Jackson-St-Denver-CO-80210/13373936_zpid/,498000.0,"1595 S Jackson Street, Denver, CO 80210",1595 S Jackson Street,Denver,CO,80210,494353.0,2022.0,544300.0,557800.0,592700.0,606800.0,591600.0,574300.0,558400.0,543000.0,497000.0,497200.0,488000.0,0.0,Cory - Merrill
361,13373936,https://www.zillow.com/homedetails/1595-S-Jackson-St-Denver-CO-80210/13373936_zpid/,498000.0,"1595 S Jackson Street, Denver, CO 80210",1595 S Jackson Street,Denver,CO,80210,494353.0,2021.0,506300.0,510400.0,509600.0,534400.0,565100.0,553300.0,538600.0,524700.0,519900.0,523600.0,528500.0,532900.0,Cory - Merrill
362,13373936,https://www.zillow.com/homedetails/1595-S-Jackson-St-Denver-CO-80210/13373936_zpid/,498000.0,"1595 S Jackson Street, Denver, CO 80210",1595 S Jackson Street,Denver,CO,80210,494353.0,2020.0,437900.0,432000.0,435500.0,440300.0,444700.0,446600.0,459600.0,466200.0,457300.0,460600.0,467900.0,489100.0,Cory - Merrill
363,13373936,https://www.zillow.com/homedetails/1595-S-Jackson-St-Denver-CO-80210/13373936_zpid/,498000.0,"1595 S Jackson Street, Denver, CO 80210",1595 S Jackson Street,Denver,CO,80210,494353.0,2019.0,409100.0,414700.0,412800.0,405900.0,411100.0,412400.0,414400.0,406400.0,440100.0,437700.0,437700.0,435500.0,Cory - Merrill
364,13373936,https://www.zillow.com/homedetails/1595-S-Jackson-St-Denver-CO-80210/13373936_zpid/,498000.0,"1595 S Jackson Street, Denver, CO 80210",1595 S Jackson Street,Denver,CO,80210,494353.0,2018.0,372700.0,373500.0,399400.0,398400.0,399900.0,389700.0,397800.0,407300.0,411400.0,410300.0,407100.0,417300.0,Cory - Merrill
365,13373936,https://www.zillow.com/homedetails/1595-S-Jackson-St-Denver-CO-80210/13373936_zpid/,498000.0,"1595 S Jackson Street, Denver, CO 80210",1595 S Jackson Street,Denver,CO,80210,494353.0,2017.0,346300.0,351000.0,359000.0,355100.0,355000.0,354700.0,353500.0,342900.0,343900.0,344200.0,354700.0,367000.0,Cory - Merrill
366,13373936,https://www.zillow.com/homedetails/1595-S-Jackson-St-Denver-CO-80210/13373936_zpid/,498000.0,"1595 S Jackson Street, Denver, CO 80210",1595 S Jackson Street,Denver,CO,80210,494353.0,2016.0,359700.0,371100.0,365500.0,365500.0,361100.0,345100.0,338300.0,333900.0,333300.0,332400.0,342200.0,336900.0,Cory - Merrill
367,13373936,https://www.zillow.com/homedetails/1595-S-Jackson-St-Denver-CO-80210/13373936_zpid/,498000.0,"1595 S Jackson Street, Denver, CO 80210",1595 S Jackson Street,Denver,CO,80210,494353.0,2015.0,300100.0,311300.0,319500.0,323200.0,324000.0,326900.0,338900.0,339200.0,342600.0,342500.0,344800.0,347100.0,Cory - Merrill
368,13373936,https://www.zillow.com/homedetails/1595-S-Jackson-St-Denver-CO-80210/13373936_zpid/,498000.0,"1595 S Jackson Street, Denver, CO 80210",1595 S Jackson Street,Denver,CO,80210,494353.0,2014.0,258500.0,258400.0,261300.0,263500.0,262500.0,283700.0,294200.0,312600.0,368400.0,341400.0,341400.0,352900.0,Cory - Merrill
369,13373936,https://www.zillow.com/homedetails/1595-S-Jackson-St-Denver-CO-80210/13373936_zpid/,498000.0,"1595 S Jackson Street, Denver, CO 80210",1595 S Jackson Street,Denver,CO,80210,494353.0,2013.0,240700.0,247200.0,248600.0,251600.0,275500.0,270400.0,270000.0,265100.0,266300.0,265400.0,258200.0,256100.00000000003,Cory - Merrill
640,13372213,https://www.zillow.com/homedetails/3333-E-Florida-Ave-APT-67-Denver-CO-80210/13372213_zpid/,775000.0,"3333 E Florida Avenue  Unit 67, Denver, CO 80210",3333 E Florida Avenue  Unit 67,Denver,CO,80210,810700.0,2022.0,734900.0,747000.0,836100.0,831300.0,828000.0,834500.0,813100.0,792500.0,788300.0,797000.0,775000.0,0.0,Cory - Merrill
641,13372213,https://www.zillow.com/homedetails/3333-E-Florida-Ave-APT-67-Denver-CO-80210/13372213_zpid/,775000.0,"3333 E Florida Avenue  Unit 67, Denver, CO 80210",3333 E Florida Avenue  Unit 67,Denver,CO,80210,810700.0,2021.0,653600.0,674900.0,685300.0,751300.0,754400.0,752600.0,743100.0,722800.0,711600.0,716300.0,719300.0,724600.0,Cory - Merrill
642,13372213,https://www.zillow.com/homedetails/3333-E-Florida-Ave-APT-67-Denver-CO-80210/13372213_zpid/,775000.0,"3333 E Florida Avenue  Unit 67, Denver, CO 80210",3333 E Florida Avenue  Unit 67,Denver,CO,80210,810700.0,2020.0,608000.0,610600.0,618300.0,623400.0,621900.0,637700.0,649500.0,655000.0,646800.0,645200.0,644700.0,650800.0,Cory - Merrill
643,13372213,https://www.zillow.com/homedetails/3333-E-Florida-Ave-APT-67-Denver-CO-80210/13372213_zpid/,775000.0,"3333 E Florida Avenue  Unit 67, Denver, CO 80210",3333 E Florida Avenue  Unit 67,Denver,CO,80210,810700.0,2019.0,603900.0,595600.0,595900.0,596800.0,598100.0,595600.0,594900.0,590800.0,592500.0,591900.0,599600.0,605100.0,Cory - Merrill
644,13372213,https://www.zillow.com/homedetails/3333-E-Florida-Ave-APT-67-Denver-CO-80210/13372213_zpid/,775000.0,"3333 E Florida Avenue  Unit 67, Denver, CO 80210",3333 E Florida Avenue  Unit 67,Denver,CO,80210,810700.0,2018.0,584200.0,578100.0,584100.0,586400.0,602900.0,601900.0,602700.0,597600.0,596900.0,611500.0,613700.0,606700.0,Cory - Merrill
645,13372213,https://www.zillow.com/homedetails/3333-E-Florida-Ave-APT-67-Denver-CO-80210/13372213_zpid/,775000.0,"3333 E Florida Avenue  Unit 67, Denver, CO 80210",3333 E Florida Avenue  Unit 67,Denver,CO,80210,810700.0,2017.0,557500.0,576600.0,588100.0,595000.0,583100.0,572400.0,594100.0,610200.0,602300.0,595900.0,594100.0,599000.0,Cory - Merrill
646,13372213,https://www.zillow.com/homedetails/3333-E-Florida-Ave-APT-67-Denver-CO-80210/13372213_zpid/,775000.0,"3333 E Florida Avenue  Unit 67, Denver, CO 80210",3333 E Florida Avenue  Unit 67,Denver,CO,80210,810700.0,2016.0,547000.0,556700.0,547300.0,547700.0,547400.0,531600.0,526400.0,526000.0,526200.0,525800.0,521200.00000000006,532900.0,Cory - Merrill
647,13372213,https://www.zillow.com/homedetails/3333-E-Florida-Ave-APT-67-Denver-CO-80210/13372213_zpid/,775000.0,"3333 E Florida Avenue  Unit 67, Denver, CO 80210",3333 E Florida Avenue  Unit 67,Denver,CO,80210,810700.0,2015.0,485000.0,494300.0,496200.0,497600.0,487700.0,498900.0,517000.0,523600.0,527100.0,526600.0,531800.0,539700.0,Cory - Merrill
648,13372213,https://www.zillow.com/homedetails/3333-E-Florida-Ave-APT-67-Denver-CO-80210/13372213_zpid/,775000.0,"3333 E Florida Avenue  Unit 67, Denver, CO 80210",3333 E Florida Avenue  Unit 67,Denver,CO,80210,810700.0,2014.0,466500.0,479000.0,474100.0,463300.0,466300.0,462200.0,458600.0,464500.0,467900.0,468000.0,471500.0,479700.0,Cory - Merrill
