,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
680,13392934,https://www.zillow.com/homedetails/1225-Dahlia-St-Denver-CO-80220/13392934_zpid/,875000.0,"1225 Dahlia Street, Denver, CO 80220",1225 Dahlia Street,Denver,CO,80220,875000.0,2022.0,790400.0,815200.0,873800.0,891200.0,883100.0,858400.0,822800.0,794300.0,788500.0,875000.0,875000.0,0.0,Hale
681,13392934,https://www.zillow.com/homedetails/1225-Dahlia-St-Denver-CO-80220/13392934_zpid/,875000.0,"1225 Dahlia Street, Denver, CO 80220",1225 Dahlia Street,Denver,CO,80220,875000.0,2021.0,664800.0,678100.0,685900.0,733100.0,753000.0,768900.0,769100.0,750600.0,746400.0,753500.0,764400.0,775400.0,Hale
682,13392934,https://www.zillow.com/homedetails/1225-Dahlia-St-Denver-CO-80220/13392934_zpid/,875000.0,"1225 Dahlia Street, Denver, CO 80220",1225 Dahlia Street,Denver,CO,80220,875000.0,2020.0,590400.0,563900.0,571100.0,572200.0,573200.0,577500.0,581200.0,586600.0,649000.0,649800.0,652000.0,655700.0,Hale
683,13392934,https://www.zillow.com/homedetails/1225-Dahlia-St-Denver-CO-80220/13392934_zpid/,875000.0,"1225 Dahlia Street, Denver, CO 80220",1225 Dahlia Street,Denver,CO,80220,875000.0,2019.0,630800.0,629200.0,627800.0,630200.0,627400.0,629700.0,629100.0,631600.0,632900.0,628100.0,629900.0,619900.0,Hale
684,13392934,https://www.zillow.com/homedetails/1225-Dahlia-St-Denver-CO-80220/13392934_zpid/,875000.0,"1225 Dahlia Street, Denver, CO 80220",1225 Dahlia Street,Denver,CO,80220,875000.0,2018.0,583900.0,588300.0,597600.0,606700.0,613100.0,612500.0,616000.0,617200.0,622600.0,625400.0,627200.0,631900.0,Hale
685,13392934,https://www.zillow.com/homedetails/1225-Dahlia-St-Denver-CO-80220/13392934_zpid/,875000.0,"1225 Dahlia Street, Denver, CO 80220",1225 Dahlia Street,Denver,CO,80220,875000.0,2017.0,539300.0,545700.0,554700.0,558100.0,563100.0,564900.0,564700.0,563200.0,566800.0,568500.0,573300.0,578200.0,Hale
686,13392934,https://www.zillow.com/homedetails/1225-Dahlia-St-Denver-CO-80220/13392934_zpid/,875000.0,"1225 Dahlia Street, Denver, CO 80220",1225 Dahlia Street,Denver,CO,80220,875000.0,2016.0,406300.0,408000.0,410400.0,409700.0,409800.0,412100.0,418800.0,424300.0,433000.0,450400.0,521800.0,534000.0,Hale
687,13392934,https://www.zillow.com/homedetails/1225-Dahlia-St-Denver-CO-80220/13392934_zpid/,875000.0,"1225 Dahlia Street, Denver, CO 80220",1225 Dahlia Street,Denver,CO,80220,875000.0,2015.0,379300.0,390900.0,399400.0,393000.0,384600.0,386400.0,393000.0,402300.0,405000.0,404400.0,401000.0,404700.0,Hale
688,13392934,https://www.zillow.com/homedetails/1225-Dahlia-St-Denver-CO-80220/13392934_zpid/,875000.0,"1225 Dahlia Street, Denver, CO 80220",1225 Dahlia Street,Denver,CO,80220,875000.0,2014.0,349600.0,350300.0,351500.0,360100.0,366700.0,370900.0,374800.0,375000.0,376200.0,373100.0,374300.0,385100.0,Hale
689,13392934,https://www.zillow.com/homedetails/1225-Dahlia-St-Denver-CO-80220/13392934_zpid/,875000.0,"1225 Dahlia Street, Denver, CO 80220",1225 Dahlia Street,Denver,CO,80220,875000.0,2013.0,320900.0,322600.0,326600.0,330600.0,331100.0,335300.0,339100.0,336800.0,338500.0,344200.0,347000.0,352500.0,Hale
710,67449263,https://www.zillow.com/homedetails/1111-N-Ash-St-APT-610-Denver-CO-80220/67449263_zpid/,300000.0,"1111 Ash Street  Unit 610, Denver, CO 80220",1111 Ash Street  Unit 610,Denver,CO,80220,339300.0,2022.0,311200.0,322700.0,365400.0,364400.0,361400.0,368800.0,365000.0,350000.0,345300.0,340500.0,300000.0,0.0,Hale
711,67449263,https://www.zillow.com/homedetails/1111-N-Ash-St-APT-610-Denver-CO-80220/67449263_zpid/,300000.0,"1111 Ash Street  Unit 610, Denver, CO 80220",1111 Ash Street  Unit 610,Denver,CO,80220,339300.0,2021.0,302100.0,307000.0,310100.0,326700.0,331300.0,316000.0,305200.0,301600.0,301400.0,303300.0,303900.0,306300.0,Hale
