,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
980,245913032,https://www.zillow.com/homedetails/1326-Kalamath-St-Denver-CO-80204/245913032_zpid/,525000.0,"1326 Kalamath Street, Denver, CO 80204",1326 Kalamath Street,Denver,CO,80204,521911.0,2022.0,489700.0,500000.0,521200.00000000006,532300.0,530300.0,522100.0,505200.0,489900.0,485900.0,516700.00000000006,524100.0,0.0,Lincoln Park
981,245913032,https://www.zillow.com/homedetails/1326-Kalamath-St-Denver-CO-80204/245913032_zpid/,525000.0,"1326 Kalamath Street, Denver, CO 80204",1326 Kalamath Street,Denver,CO,80204,521911.0,2021.0,445400.0,447100.0,447900.0,457000.0,468200.0,476700.0,487900.0,488200.0,489800.0,497900.0,497700.0,498600.0,Lincoln Park
982,245913032,https://www.zillow.com/homedetails/1326-Kalamath-St-Denver-CO-80204/245913032_zpid/,525000.0,"1326 Kalamath Street, Denver, CO 80204",1326 Kalamath Street,Denver,CO,80204,521911.0,2020.0,422400.0,425100.0,420000.0,420000.0,418700.0,420900.0,420400.0,419800.0,422000.0,427900.0,435100.0,440300.0,Lincoln Park
983,245913032,https://www.zillow.com/homedetails/1326-Kalamath-St-Denver-CO-80204/245913032_zpid/,525000.0,"1326 Kalamath Street, Denver, CO 80204",1326 Kalamath Street,Denver,CO,80204,521911.0,2019.0,412300.0,410700.0,410800.0,409900.0,408700.0,410800.0,410700.0,414700.0,417800.0,416500.0,416400.0,420000.0,Lincoln Park
984,245913032,https://www.zillow.com/homedetails/1326-Kalamath-St-Denver-CO-80204/245913032_zpid/,525000.0,"1326 Kalamath Street, Denver, CO 80204",1326 Kalamath Street,Denver,CO,80204,521911.0,2018.0,315900.0,315400.0,329800.0,327500.0,396800.0,399800.0,402100.0,403600.0,406200.0,409100.0,409600.0,413000.0,Lincoln Park
985,245913032,https://www.zillow.com/homedetails/1326-Kalamath-St-Denver-CO-80204/245913032_zpid/,525000.0,"1326 Kalamath Street, Denver, CO 80204",1326 Kalamath Street,Denver,CO,80204,521911.0,2017.0,259900.0,269800.0,281200.0,271600.0,277800.0,286600.0,296900.0,299400.0,306100.0,307000.0,321000.0,322800.0,Lincoln Park
986,245913032,https://www.zillow.com/homedetails/1326-Kalamath-St-Denver-CO-80204/245913032_zpid/,525000.0,"1326 Kalamath Street, Denver, CO 80204",1326 Kalamath Street,Denver,CO,80204,521911.0,2016.0,232000.0,231400.0,235300.0,238300.0,243000.0,243600.0,248900.0,251500.0,253200.0,257800.0,260700.0,280400.0,Lincoln Park
987,245913032,https://www.zillow.com/homedetails/1326-Kalamath-St-Denver-CO-80204/245913032_zpid/,525000.0,"1326 Kalamath Street, Denver, CO 80204",1326 Kalamath Street,Denver,CO,80204,521911.0,2015.0,237800.0,237300.0,242800.0,247000.0,209900.0,203400.0,215000.0,231000.0,238300.0,258700.0,258600.00000000003,260700.0,Lincoln Park
988,245913032,https://www.zillow.com/homedetails/1326-Kalamath-St-Denver-CO-80204/245913032_zpid/,525000.0,"1326 Kalamath Street, Denver, CO 80204",1326 Kalamath Street,Denver,CO,80204,521911.0,2014.0,194800.0,204400.0,196900.0,190400.0,186500.0,194000.0,177800.0,170100.0,169200.0,164400.0,163700.0,169500.0,Lincoln Park
989,245913032,https://www.zillow.com/homedetails/1326-Kalamath-St-Denver-CO-80204/245913032_zpid/,525000.0,"1326 Kalamath Street, Denver, CO 80204",1326 Kalamath Street,Denver,CO,80204,521911.0,2013.0,149200.0,143400.0,134800.0,151300.0,169600.0,193600.0,190800.0,203400.0,201300.0,189000.0,177800.0,176300.0,Lincoln Park
990,13335338,https://www.zillow.com/homedetails/727-Kalamath-St-Denver-CO-80204/13335338_zpid/,720000.0,"727 Kalamath Street, Denver, CO 80204",727 Kalamath Street,Denver,CO,80204,720004.0,2022.0,705200.0,725200.0,783200.0,808100.0,802000.0,779600.0,745700.0,722600.0,749000.0,720000.0,720000.0,0.0,Lincoln Park
991,13335338,https://www.zillow.com/homedetails/727-Kalamath-St-Denver-CO-80204/13335338_zpid/,720000.0,"727 Kalamath Street, Denver, CO 80204",727 Kalamath Street,Denver,CO,80204,720004.0,2021.0,538600.0,540700.0,544700.0,553500.0,566900.0,653700.0,694200.0,686300.0,684600.0,688000.0,691500.0,697700.0,Lincoln Park
992,13335338,https://www.zillow.com/homedetails/727-Kalamath-St-Denver-CO-80204/13335338_zpid/,720000.0,"727 Kalamath Street, Denver, CO 80204",727 Kalamath Street,Denver,CO,80204,720004.0,2020.0,496400.0,500500.0,507300.0,508500.0,504800.0,512400.0,509400.0,509600.0,515300.0,522300.0,527500.0,532800.0,Lincoln Park
993,13335338,https://www.zillow.com/homedetails/727-Kalamath-St-Denver-CO-80204/13335338_zpid/,720000.0,"727 Kalamath Street, Denver, CO 80204",727 Kalamath Street,Denver,CO,80204,720004.0,2019.0,556700.0,556000.0,552100.0,565600.0,559000.0,540000.0,495300.0,490200.0,491300.0,491200.0,491200.0,494900.0,Lincoln Park
994,13335338,https://www.zillow.com/homedetails/727-Kalamath-St-Denver-CO-80204/13335338_zpid/,720000.0,"727 Kalamath Street, Denver, CO 80204",727 Kalamath Street,Denver,CO,80204,720004.0,2018.0,541800.0,551300.0,539300.0,551600.0,560700.0,565500.0,563300.0,566100.0,567000.0,553600.0,557100.0,561500.0,Lincoln Park
