,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
220,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2022.0,347300.0,349600.0,397800.0,425800.0,434600.0,427300.0,417800.0,406100.0,398600.0,395200.0,395700.0,0.0,Mar Lee
221,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2021.0,348600.0,353900.0,360600.0,383400.0,396900.0,378900.0,368400.0,355800.0,349800.0,352300.0,349800.0,348600.0,Mar Lee
222,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2020.0,324200.0,326700.0,330000.0,332900.0,329900.0,329100.0,327300.0,325600.0,330500.0,333500.0,338300.0,342700.0,Mar Lee
223,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2019.0,319300.0,314400.0,318400.0,317500.0,318000.0,314400.0,318000.0,323200.0,321100.0,320000.0,319100.0,321300.0,Mar Lee
224,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2018.0,286400.0,291500.0,297600.0,306000.0,307300.0,310800.0,311200.0,317900.0,318700.0,321400.0,321900.0,320600.0,Mar Lee
225,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2017.0,243900.0,250300.0,255200.0,253100.0,258200.0,268300.0,269900.0,273900.0,277900.0,277100.0,282600.0,286200.0,Mar Lee
226,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2016.0,227800.0,234500.0,235800.0,235000.0,236600.0,235600.0,242300.0,241000.0,245700.0,251200.0,255500.0,256400.0,Mar Lee
227,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2015.0,181700.0,187300.0,194100.0,199000.0,195900.0,209300.0,218400.0,212900.0,213000.0,217300.0,221600.0,224100.0,Mar Lee
228,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2014.0,145900.0,151400.0,158100.0,164700.0,167700.0,170600.0,170400.0,174000.0,174800.0,179600.0,184500.0,186700.0,Mar Lee
229,13362705,https://www.zillow.com/homedetails/1205-S-Patton-Ct-Denver-CO-80219/13362705_zpid/,400000.0,"1205 S Patton Court, Denver, CO 80219",1205 S Patton Court,Denver,CO,80219,393700.0,2013.0,140300.0,140700.0,139900.0,137000.0,137300.0,143700.0,147900.0,151600.0,150200.0,150000.0,153300.0,157600.0,Mar Lee
270,13366308,https://www.zillow.com/homedetails/1650-S-Julian-Way-Denver-CO-80219/13366308_zpid/,570000.0,"1650 S Julian Way, Denver, CO 80219",1650 S Julian Way,Denver,CO,80219,558100.0,2022.0,393000.0,396300.0,440000.0,464500.0,455100.0,447000.0,532500.0,535100.0,534900.0,575000.0,560900.0,0.0,Mar Lee
