,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
1300,13390518,https://www.zillow.com/homedetails/1125-Leyden-St-Denver-CO-80220/13390518_zpid/,2050000.0,"1125 Leyden Street, Denver, CO 80220",1125 Leyden Street,Denver,CO,80220,2049100.0,2022.0,2100000.0,2200000.0,2400000.0,2500000.0,2500000.0,2400000.0,2200000.0,2200000.0,2200000.0,2000000.0,2000000.0,0.0,Montclair
1301,13390518,https://www.zillow.com/homedetails/1125-Leyden-St-Denver-CO-80220/13390518_zpid/,2050000.0,"1125 Leyden Street, Denver, CO 80220",1125 Leyden Street,Denver,CO,80220,2049100.0,2021.0,1500000.0,1500000.0,1500000.0,1700000.0,1800000.0,2000000.0,2000000.0,2000000.0,2000000.0,2100000.0,2100000.0,2100000.0,Montclair
1302,13390518,https://www.zillow.com/homedetails/1125-Leyden-St-Denver-CO-80220/13390518_zpid/,2050000.0,"1125 Leyden Street, Denver, CO 80220",1125 Leyden Street,Denver,CO,80220,2049100.0,2020.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,397200.0,392600.0,392900.0,398900.0,417600.0,421500.0,425700.0,Montclair
1303,13390518,https://www.zillow.com/homedetails/1125-Leyden-St-Denver-CO-80220/13390518_zpid/,2050000.0,"1125 Leyden Street, Denver, CO 80220",1125 Leyden Street,Denver,CO,80220,2049100.0,2019.0,412600.0,412600.0,376100.0,378200.0,378100.0,379000.0,378900.0,380500.0,380800.0,1400000.0,1400000.0,1400000.0,Montclair
1304,13390518,https://www.zillow.com/homedetails/1125-Leyden-St-Denver-CO-80220/13390518_zpid/,2050000.0,"1125 Leyden Street, Denver, CO 80220",1125 Leyden Street,Denver,CO,80220,2049100.0,2018.0,380300.0,372200.0,393700.0,399800.0,405600.0,401400.0,404100.0,405200.0,406400.0,406100.0,408900.0,424900.0,Montclair
1305,13390518,https://www.zillow.com/homedetails/1125-Leyden-St-Denver-CO-80220/13390518_zpid/,2050000.0,"1125 Leyden Street, Denver, CO 80220",1125 Leyden Street,Denver,CO,80220,2049100.0,2017.0,339200.0,352400.0,358500.0,361300.0,358800.0,364000.0,381800.0,369100.0,362900.0,364800.0,358800.0,367800.0,Montclair
1306,13390518,https://www.zillow.com/homedetails/1125-Leyden-St-Denver-CO-80220/13390518_zpid/,2050000.0,"1125 Leyden Street, Denver, CO 80220",1125 Leyden Street,Denver,CO,80220,2049100.0,2016.0,335900.0,340700.0,348200.0,348800.0,338400.0,335600.0,334200.0,337800.0,342000.0,344600.0,343100.0,337200.0,Montclair
1307,13390518,https://www.zillow.com/homedetails/1125-Leyden-St-Denver-CO-80220/13390518_zpid/,2050000.0,"1125 Leyden Street, Denver, CO 80220",1125 Leyden Street,Denver,CO,80220,2049100.0,2015.0,293300.0,302900.0,308400.0,318200.0,313900.0,311900.0,325200.0,328200.0,328600.0,329800.0,332000.0,336100.0,Montclair
1308,13390518,https://www.zillow.com/homedetails/1125-Leyden-St-Denver-CO-80220/13390518_zpid/,2050000.0,"1125 Leyden Street, Denver, CO 80220",1125 Leyden Street,Denver,CO,80220,2049100.0,2014.0,258000.0,259300.0,273500.0,265700.0,262100.00000000003,259400.0,268400.0,277500.0,280200.0,278600.0,288000.0,305200.0,Montclair
1309,13390518,https://www.zillow.com/homedetails/1125-Leyden-St-Denver-CO-80220/13390518_zpid/,2050000.0,"1125 Leyden Street, Denver, CO 80220",1125 Leyden Street,Denver,CO,80220,2049100.0,2013.0,242200.0,245400.0,248500.0,252200.0,258100.00000000003,256600.00000000003,255300.0,258100.00000000003,262700.0,264700.0,262000.0,262700.0,Montclair
1500,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,749000.0,"1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651.0,2022.0,801500.0,823500.0,879400.0,898900.0,895900.0,876300.0,839300.0,787500.0,777000.0,762000.0,736300.0,0.0,Montclair
1501,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,749000.0,"1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651.0,2021.0,683600.0,692900.0,703800.0,754200.0,777900.0,794400.0,796300.0,771200.0,762300.0,763300.0,771500.0,789600.0,Montclair
1502,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,749000.0,"1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651.0,2020.0,634200.0,632100.0,637900.0,641800.0,637700.0,642000.0,645200.0,648500.0,657400.0,666000.0,667200.0,675200.0,Montclair
1503,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,749000.0,"1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651.0,2019.0,620600.0,610600.0,610400.0,618200.0,615300.0,605000.0,605200.0,619400.0,624600.0,624800.0,628400.0,633000.0,Montclair
1504,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,749000.0,"1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651.0,2018.0,563800.0,570800.0,595100.0,609800.0,609700.0,615300.0,624200.0,624900.0,622000.0,626600.0,624300.0,613200.0,Montclair
1505,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,749000.0,"1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651.0,2017.0,535300.0,544400.0,553700.0,553900.0,558300.0,560900.0,557500.0,550700.0,549100.0,545300.0,553900.0,555700.0,Montclair
1506,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,749000.0,"1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651.0,2016.0,493500.0,498100.0,498100.0,504400.0,503500.0,509200.0,510900.0,514600.0,516900.0,519300.0,523900.0,527500.0,Montclair
1507,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,749000.0,"1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651.0,2015.0,430700.0,439900.0,443700.0,447300.0,450400.0,453100.0,460300.0,465400.0,469800.0,475100.0,479200.0,484100.0,Montclair
1508,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,749000.0,"1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651.0,2014.0,430400.0,417500.0,417800.0,421100.0,419900.0,419900.0,406500.0,407500.0,407400.0,413300.0,419500.0,424100.0,Montclair
1509,13389793,https://www.zillow.com/homedetails/1275-Pontiac-St-Denver-CO-80220/13389793_zpid/,749000.0,"1275 Pontiac Street, Denver, CO 80220",1275 Pontiac Street,Denver,CO,80220,737651.0,2013.0,383000.0,397500.0,401200.0,409200.0,380600.0,390800.0,386200.0,421700.0,420000.0,275000.0,275000.0,272100.0,Montclair
2200,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,1650000.0,"930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300.0,2022.0,1200000.0,1200000.0,1300000.0,1300000.0,1300000.0,1200000.0,1200000.0,1100000.0,1100000.0,1100000.0,1600000.0,0.0,Montclair
2201,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,1650000.0,"930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300.0,2021.0,1000000.0,1000000.0,1000000.0,1100000.0,1100000.0,1100000.0,1200000.0,1100000.0,1100000.0,1100000.0,1100000.0,1200000.0,Montclair
2202,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,1650000.0,"930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300.0,2020.0,911500.0,929100.0,935000.0,944500.0,945900.0,947300.0,953300.0,967200.0,995500.0,1000000.0,1000000.0,1000000.0,Montclair
2203,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,1650000.0,"930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300.0,2019.0,799100.0,815500.0,802500.0,815900.0,819800.0,824500.0,824900.0,823500.0,885800.0,882500.0,887500.0,893600.0,Montclair
2204,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,1650000.0,"930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300.0,2018.0,764200.0,765300.0,847700.0,841400.0,844500.0,835500.0,836200.0,832300.0,815000.0,810300.0,804300.0,811200.0,Montclair
2205,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,1650000.0,"930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300.0,2017.0,769700.0,776600.0,783800.0,768300.0,784100.0,783600.0,769400.0,784600.0,792600.0,774400.0,773500.0,783700.0,Montclair
2206,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,1650000.0,"930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300.0,2016.0,690600.0,710500.0,714200.0,721900.0,730200.0,734800.0,746800.0,733500.0,724100.0,725000.0,725400.0,727000.0,Montclair
2207,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,1650000.0,"930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300.0,2015.0,684100.0,695400.0,698600.0,699400.0,660100.0,671700.0,677400.0,675500.0,668600.0,678800.0,677000.0,679800.0,Montclair
2208,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,1650000.0,"930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300.0,2014.0,659200.0,661200.0,659200.0,650600.0,647500.0,652400.0,666300.0,666900.0,644800.0,654600.0,664300.0,693700.0,Montclair
2209,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,1650000.0,"930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300.0,2013.0,580800.0,563900.0,590100.0,585600.0,626000.0,629900.0,633600.0,642300.0,660000.0,658700.0,652300.0,645900.0,Montclair
3780,13391540,https://www.zillow.com/homedetails/6800-E-10th-Ave-Denver-CO-80220/13391540_zpid/,1100000.0,"6800 E 10th Avenue, Denver, CO 80220",6800 E 10th Avenue,Denver,CO,80220,1084615.0,2022.0,1200000.0,1200000.0,1300000.0,1400000.0,1400000.0,1400000.0,1400000.0,1200000.0,1100000.0,1100000.0,1100000.0,0.0,Montclair
